iteration,trainLoss,trainRMSE-avg
0,230380.86,479.98
30,142508.61,377.5
60,107292.17,327.55
90,81614.17,285.68
120,74484.75,272.92
150,73665.97,271.41
180,66283.59,257.43
210,57815.844,240.39
240,48740.332,220.65
270,40340.914,200.82
300,39177.52,197.87
330,36274.387,190.39
360,34397.16,185.42
390,31988.781,178.81
420,30956.752,175.87
450,30090.928,173.41
480,30071.404,173.34
510,25599.91,159.97
540,25185.176,158.67
570,25849.277,160.69
600,27056.553,164.36
630,22991.031,151.59
660,21134.246,145.35
690,22498.436,149.97
720,21290.191,145.87
750,19780.734,140.61
780,19746.217,140.49
810,19743.404,140.49
840,20884.604,144.5
870,17985.36,134.06
900,18974.186,137.72
930,18919.166,137.52
960,18390.518,135.57
990,17051.385,130.53
1020,17218.559,131.19
1050,16200.579,127.22
1080,15245.951,123.38
1110,15430.299,124.15
1140,20726.994,143.93
1170,15584.187,124.79
1200,13893.286,117.79
1230,13754.843,117.19
1260,13766.967,117.27
1290,13506.598,116.15
1320,13650.897,116.76
1350,12642.993,112.36
1380,13328.158,115.36
1410,11431.293,106.82
1440,17958.693,133.86
1470,11619.993,107.71
1500,16424.135,127.96
1530,16042.525,126.53
1560,11072.407,105.14
1590,10629.363,103.02
1620,9776.986,98.76
1650,11820.694,108.65
1680,10796.285,103.76
1710,9853.573,99.16
1740,9349.527,96.59
1770,8944.411,94.47
1800,8934.073,94.41
1830,9992.88,99.92
1860,8838.877,93.88
1890,10425.072,102.01
1920,8586.53,92.56
1950,10521.268,102.53
1980,8442.678,91.79
2010,7994.758,89.31
2040,8119.9478,90.04
2070,19433.473,138.47
2100,8432.69,91.76
2130,8063.76,89.68
2160,8057.173,89.64
2190,8471.824,91.98
2220,7335.241,85.52
2250,6704.596,81.74
2280,6796.248,82.3
2310,6349.822,79.54
2340,6635.328,81.31
2370,6727.3716,81.89
2400,6584.4014,80.98
2430,6493.5806,80.46
2460,6833.6577,82.56
2490,6456.565,80.25
2520,6491.016,80.45
2550,6043.44,77.56
2580,6447.148,80.2
2610,6917.5146,83.12
2640,6065.7666,77.74
2670,7352.672,85.64
2700,5275.6216,72.46
2730,5281.3535,72.52
2760,5173.385,71.76
2790,5249.8784,72.35
2820,6347.6685,79.56
2850,6394.158,79.87
2880,4966.4937,70.32
2910,6157.0835,78.35
2940,5056.08,70.98
2970,7558.6147,86.81
