iteration,trainRMSE
0,"[480.4983573225488, 480.72228181342155, 480.8982847371384, 480.9476657994079, 480.9171755227673, 480.8439913416752, 480.63076869521586, 478.97014325866724, 478.74823347261065, 478.6709375408689, 478.8657396132202, 479.0350816529321]"
30,"[379.508875194849, 378.3331541395668, 378.1752046086952, 378.155070346651, 378.1466127242835, 378.1444113865919, 378.0525655783854, 376.3267532416541, 376.1889596611468, 376.1589086882035, 376.3414498427985, 376.48243372063575]"
60,"[329.65899240261524, 328.428820653631, 328.2500955859315, 328.2134910884582, 328.19343420584386, 328.18806924722793, 328.1313724160401, 326.33563256081817, 326.2170294409646, 326.19193004502597, 326.3473004637039, 326.47278360450275]"
90,"[287.33464781138906, 286.54634326076973, 286.4115502385634, 286.35838303130663, 286.3214930523943, 286.3112856060052, 286.31440047161965, 284.5242079768125, 284.44414956651366, 284.428621413865, 284.530231796618, 284.62263196422197]"
120,"[271.7157200045193, 273.5372591587703, 273.80418027330404, 273.770072239569, 273.7191397933247, 273.7042875203617, 273.780346291819, 272.19567014873945, 272.1717808584983, 272.16971185093246, 272.19411129454153, 272.2356551355823]"
150,"[268.78531363278455, 271.6346372025947, 272.487283609289, 272.6986017194088, 272.64601453378555, 272.5671240935279, 272.48574318568996, 270.7810233020299, 270.69047642542677, 270.63286415964535, 270.67481648845404, 270.850402986711]"
180,"[250.49366259055836, 252.7731963910369, 253.52858135423864, 254.16320886177567, 255.33549403815968, 257.2992543598918, 259.4818037546037, 259.4180994288498, 260.7251250711523, 261.28719770785034, 261.9324478903242, 262.66644580916324]"
210,"[232.37312243026713, 241.93280982561728, 242.1690362806361, 238.34010326514706, 236.06989205081248, 235.55088737256574, 236.5039641378551, 237.58682260323204, 241.2047256749728, 243.8329037084711, 247.35010904071945, 251.77363643420338]"
240,"[206.79728379489808, 221.3599844100971, 222.51345093751675, 217.47338070499313, 213.9603888732483, 214.52814126108632, 218.96020540896652, 221.36235015757822, 222.6404385000383, 223.16356260697998, 227.5223640780005, 237.52784878971462]"
270,"[191.19354940679295, 201.68378104701682, 201.70900368578404, 199.45380512737242, 200.41587019040819, 202.05577356703293, 203.18161265467788, 201.85158093949974, 201.60121259804652, 199.89273996824812, 200.39831321607895, 206.40391111551938]"
300,"[183.81203775850432, 197.23061186482434, 196.82244365949538, 195.8861329296379, 197.60125419102837, 201.01907568635428, 203.50136754282374, 200.8784932157303, 199.5994252636698, 198.19137274793712, 198.3375385934156, 201.60752282116056]"
330,"[176.45013477877984, 192.92877372031026, 191.30160823731572, 189.6117983477385, 190.18125658815293, 191.32404820122645, 191.80726661401948, 187.5833660920978, 188.5157537403328, 190.72318319029978, 194.24218948091755, 199.956487183953]"
360,"[176.00915189353404, 190.65399634081822, 187.75216551553189, 184.02496819531584, 182.9893816392086, 185.1211632474447, 186.88557109617977, 183.35657261620844, 183.76290561714242, 184.54798978060506, 187.55300075229118, 192.37272611492563]"
390,"[169.2188809076124, 179.91401924433714, 178.24165444731344, 177.21470238603627, 177.9709279444233, 180.4517597470618, 182.39079470838064, 178.7916843071496, 177.18008854357285, 176.62040235647547, 180.87366253126675, 186.82442956815402]"
420,"[165.88620350448835, 176.8215413542067, 176.44030580637406, 174.92243286695876, 175.32843588913119, 175.79384638563917, 175.29169426698172, 172.4641202623656, 173.16253633693307, 175.32481592781733, 180.93352125744957, 188.09899380890354]"
450,"[164.02388484711702, 174.37548222176792, 173.30941273129923, 173.5305860594999, 173.90658941357694, 174.51885873275282, 173.86197751256378, 169.848723503923, 171.73183432801665, 172.19531512229045, 175.57951528982093, 184.04327098579802]"
480,"[163.06917566562916, 174.358183300151, 173.4099836888097, 170.94200338909724, 169.49888839706014, 170.40967592676668, 173.07068060554695, 174.05533939591638, 174.8094129159845, 174.78234078920937, 177.93498407607166, 183.77853162535712]"
510,"[159.82691319920139, 163.49994858206162, 159.27434823659317, 157.67889255660793, 158.95344276417117, 160.3736554262407, 161.3419367738445, 157.43280252991582, 157.14736235475684, 157.13552380518294, 159.70260354626313, 167.28888266440242]"
540,"[158.51363039675854, 162.17265139917384, 158.78898284121271, 158.07325819834992, 158.6319638909055, 158.33317567576256, 156.92619323442662, 154.14512436443889, 155.83046342333876, 156.98034160295276, 158.8334370143778, 166.75884830831183]"
570,"[155.97085040010643, 160.07113314741343, 157.23470343633562, 155.28073653303284, 158.26364254741932, 159.22724494705568, 160.83852590856213, 158.05074925897353, 159.23675277435416, 161.859562448898, 167.07954445805126, 175.14104320037723]"
