iteration,trainRMSE
0,"[481.1612469867641, 480.99996963645395, 481.16078432162874, 481.29438488206017, 481.51636617865046, 481.62257001474563, 481.7135352983621, 481.6776943299876, 480.04746944162997, 479.87720048438456, 479.777864928316, 479.7595957390155]"
30,"[429.5801168542315, 428.3416325457952, 428.33101222526557, 428.4370890133421, 428.64776054836176, 428.74279786430094, 428.82528943858483, 428.79668492510683, 427.08382527029374, 426.9271183723405, 426.84422867639944, 426.8372509687878]"
60,"[357.77140215720544, 355.92982224245804, 355.81195947619636, 355.8792430119823, 356.0516553453196, 356.1079322384737, 356.1570150923198, 356.13066543867103, 354.2747737886068, 354.1366715644083, 354.0782417330583, 354.08596490957484]"
90,"[288.0028467673568, 286.652513131748, 286.55469343009776, 286.56101438938015, 286.6339620230384, 286.6004818512323, 286.5719066175846, 286.55331999289484, 284.6141816956207, 284.5325347736692, 284.5334499008643, 284.57156095315077]"
120,"[224.4564520632866, 239.6622936175172, 250.4470437735232, 254.21486717271512, 255.17594185415274, 254.96170375373745, 255.51922158200426, 256.60434943387924, 254.34432751885544, 254.24633365594957, 255.10358913754047, 256.397767014226]"
150,"[195.505287322419, 205.88054616156217, 210.70705932148368, 214.4486174380121, 217.0135313837852, 220.64637845457963, 226.8779996217758, 228.15591220552042, 225.13017762679502, 224.85275238476356, 226.81384889475348, 233.77235671233518]"
180,"[179.30464428180773, 191.61044625031744, 195.13356855710856, 199.10918889409427, 202.3200284798718, 205.1373387890884, 210.90207831830566, 211.6892191104404, 207.840759237578, 206.90536352461257, 207.90849678851853, 214.2667493262836]"
210,"[174.8846034579508, 187.01703815880722, 188.01125935945515, 188.26812242855576, 188.5898429166604, 191.17197072418324, 197.36082699681768, 199.11042150532253, 195.95521259299724, 197.05010159755346, 198.52981147747377, 201.78301682188658]"
240,"[167.40874314438088, 174.41737109801906, 171.00243867764885, 170.4181251412208, 170.36276538714125, 173.3674186374677, 175.7990144429322, 176.6438439288371, 174.4855003740996, 176.28239116158278, 179.5786078139378, 187.31882382334177]"
270,"[160.86265062442402, 169.6265360452877, 165.71551131781814, 166.24801358780732, 166.48286927318387, 168.41613413785132, 169.8002062548103, 169.3355931903323, 167.7859598189519, 169.6490452610179, 173.40362612077652, 179.86991832364552]"
300,"[154.85784803089118, 160.02252224942896, 157.7749778693981, 158.41600977816748, 158.36871180500535, 160.63140001648398, 163.31408920543797, 161.7309051150885, 160.51510197554882, 162.26273404085742, 164.31184013895393, 168.8941958538785]"
330,"[151.99277124097964, 155.30651904174118, 149.86786622461506, 147.69878298609825, 148.61268139775694, 149.64976428595511, 148.68807429212416, 148.231929951613, 146.07074691884776, 149.02866123053866, 151.44327856241765, 157.5075769439633]"
360,"[145.05059348129677, 145.8041578197877, 138.27751512997077, 139.32582155078236, 141.53453071333388, 143.6120131820219, 144.52516110722812, 142.81039296369556, 138.0314497253515, 138.75505592145842, 140.71658177781043, 145.8781559443464]"
390,"[141.64856065403993, 140.9743086660702, 133.8855048241005, 132.78456385049682, 133.79659894442682, 135.4376525329683, 134.8941049517592, 134.50262509302664, 131.42847515843852, 133.79814859567776, 136.0898566133785, 140.9785969510638]"
420,"[139.06842737908713, 137.93318640370717, 130.8738418458719, 128.41968574024222, 128.1808133541866, 129.52792516925285, 129.02595249263916, 128.8328172859868, 126.04338068705194, 128.64163893776637, 130.93414623266187, 134.50338175049413]"
450,"[136.01278044773784, 133.02846340094047, 125.94935171013019, 125.32372686618945, 125.96518303326594, 127.05829491120548, 126.96372149380572, 126.38919092455174, 123.69273706612206, 124.6598577720706, 126.27647452665225, 129.51963754375134]"
480,"[131.17910734292352, 126.36819392763856, 118.42470098344263, 118.5156936215157, 119.94522451547877, 120.27424975158864, 120.77589504644344, 120.24226288599425, 118.74575976482016, 118.2401814006125, 120.10949637781245, 123.5354572298226]"
510,"[127.73201769182847, 124.11700640333125, 116.13458197375647, 116.91417164503108, 116.27785848103296, 117.47843234421123, 118.8752373849784, 119.42518233697973, 118.88260832725224, 120.26719972258695, 121.5210532971787, 123.3221740332482]"
540,"[122.01839988201873, 116.7213636028637, 109.49152506580813, 109.8972800171172, 108.33072812900951, 107.67135899655953, 108.70630083535713, 109.06556811181476, 107.67407711331384, 108.40959950444964, 109.7658506660954, 110.1805205239615]"
570,"[121.9701604852181, 118.54120663097599, 111.43421650425908, 111.40300563782843, 111.61128735361069, 110.73710029864881, 112.39223971879107, 112.93399015940474, 110.93505739062206, 111.6639060380311, 114.49117771294691, 119.92072866232427]"
600,"[115.36475116959433, 109.22511039820449, 102.40898275764498, 102.20633408673443, 101.65190865738046, 100.81092405843077, 101.41099464862616, 101.10830437071974, 99.92160524888374, 99.85852547295585, 100.79954741539231, 102.4126566677829]"
630,"[116.1146601431311, 109.15870043058659, 103.68250728384454, 103.27320925580422, 103.83040623859382, 103.43700755337028, 103.89427878853951, 106.19357323824768, 106.48130553687186, 106.60009684830736, 109.79377678312326, 115.78851541581616]"
660,"[110.3860930750495, 103.9752847766449, 102.05757871113798, 101.09205983229842, 101.51192668053706, 100.26237423099934, 98.33900957048972, 97.45290231997737, 96.18563301065025, 96.3370850824975, 97.02813643678414, 97.54110801809755]"
690,"[108.41877086154034, 108.37378983553337, 100.07888255194497, 98.31538485649234, 97.59702143477622, 98.34665049391047, 98.91723192336845, 98.02867557860509, 98.73383557511289, 101.38310068681952, 102.58486007718926, 104.58010452838809]"
720,"[103.14540995534983, 98.35447687331134, 90.81537419046856, 91.07137212934245, 90.09190382591295, 90.01657393959194, 90.91581080150671, 88.20356394074066, 87.99982824224809, 88.06204818283133, 89.02205586188227, 89.26438075510744]"
750,"[99.45211874829465, 93.83571339895971, 85.73586356472882, 85.59755568544328, 84.65878748897921, 84.26334198131828, 84.23998619419883, 82.29010157874959, 82.64577451054807, 82.71275148087304, 82.11929039386337, 81.84775739964408]"
780,"[97.69861300632795, 95.36546286068483, 92.50062026141084, 91.49116238080917, 88.01363121285718, 87.22342570491544, 86.21236937960701, 85.97701325559326, 85.64539782479622, 87.40840882445855, 88.67628373737614, 87.09597534383168]"
810,"[92.21106884453812, 85.57143725515598, 79.70893681458139, 79.55723026810556, 78.92173971928123, 78.96162026955601, 78.04322637614673, 77.1714043911635, 75.9901989729463, 76.22346324409526, 76.65924186055196, 75.63745872148701]"
840,"[93.45482573498057, 86.65626263934914, 79.82394821184975, 79.91377817569894, 78.55327477590767, 78.15150553583825, 79.5801254470068, 79.81312447753324, 77.24770132732745, 76.43538344249322, 78.12217432493227, 77.53486947845921]"
