iteration,trainLoss,trainRMSE-avg
0,230222.4,479.81
10,108628.484,329.55
20,93865.05,306.36
30,82629.43,287.45
40,74678.84,273.26
50,69226.15,263.05
60,64789.97,254.5
70,63811.742,252.57
80,62242.477,249.38
90,60225.64,245.35
100,59114.16,242.93
110,57698.2,240.05
120,57063.465,238.71
130,56935.297,238.52
140,56569.914,237.74
150,53931.79,231.93
160,53401.19,230.81
170,54939.86,234.18
180,53651.383,231.49
190,50370.6,224.27
200,52363.184,228.31
210,49710.37,222.86
220,50834.594,225.25
230,48900.543,220.99
240,44837.324,211.62
250,46303.395,214.97
260,50054.992,222.77
270,50415.97,224.31
280,46829.53,216.24
290,44417.17,210.62
300,47050.703,216.76
310,48906.863,220.75
320,43870.992,209.27
330,46158.36,214.41
340,49753.84,222.02
350,46158.383,214.26
360,52010.8,227.79
370,54599.31,232.79
380,44676.016,211.26
390,42802.01,206.79
400,40293.227,200.6
410,39989.49,199.83
420,46657.48,215.71
430,39983.49,199.64
440,48121.39,218.25
450,39184.863,197.78
460,39732.754,199.22
470,40745.016,201.44
480,49014.4,220.63
490,39669.555,198.98
500,37269.875,192.91
510,38783.965,196.66
520,37813.066,194.34
530,35707.56,188.86
540,38140.863,195.2
550,39036.83,197.03
560,35183.04,187.41
570,34278.992,184.99
580,34664.523,186.04
590,35917.12,189.38
600,34605.082,185.82
610,34350.363,185.12
620,33972.676,184.2
630,32891.61,181.15
640,32050.28,178.92
650,31753.639,178.08
660,35787.867,188.93
670,32212.312,179.35
680,31149.693,176.43
690,31155.236,176.4
700,31203.605,176.51
710,29686.625,172.23
720,29502.082,171.66
730,36251.58,189.46
740,34184.633,184.67
750,30192.66,173.66
760,29499.676,171.68
770,29080.217,170.47
780,29518.066,171.68
790,28928.285,170.01
800,29959.596,172.93
810,27440.49,165.62
820,30478.666,174.48
830,27915.95,167.03
840,28602.338,169.06
850,27727.664,166.49
860,29734.236,172.25
870,26981.117,164.22
880,27897.139,166.94
890,27840.041,166.74
900,26984.662,164.23
910,27987.334,167.19
920,26054.709,161.39
930,26293.072,162.12
940,26183.924,161.78
950,27326.816,165.19
960,26419.318,162.51
970,31355.82,176.73
980,36735.383,190.89
990,27646.268,166.24
