iteration,trainLoss,trainRMSE-avg
0,66877.98,258.61
10,27271.262,165.14
20,23796.74,154.26
30,21563.0,146.84
40,20767.73,144.11
50,20404.557,142.84
60,19986.363,141.37
70,17884.629,133.69
80,15831.874,125.75
90,15446.786,124.21
100,14595.122,120.7
110,16472.11,128.22
120,14445.186,120.01
130,13717.305,116.8
140,14858.009,121.74
150,13635.104,116.54
160,13881.308,117.24
170,12738.811,112.73
180,12166.187,109.85
190,11712.3545,108.0
200,11825.788,108.39
210,12124.659,109.63
220,18820.812,136.98
230,15327.575,123.48
240,11377.24,106.4
250,10357.831,101.61
260,9803.26,98.91
270,9576.259,97.77
280,9624.125,97.96
290,10319.061,101.26
300,8625.076,92.81
310,8538.622,92.34
320,9902.578,99.06
330,9769.603,98.46
340,8427.254,91.71
350,7955.035,89.12
360,7710.4673,87.74
370,7614.054,87.2
380,7415.8555,86.06
390,7011.3535,83.67
400,6870.742,82.83
410,7056.3506,83.95
420,6627.202,81.34
430,6491.713,80.49
440,6485.883,80.41
450,6105.546,78.07
460,6010.369,77.46
470,6426.6885,79.97
480,6158.5815,78.32
490,5688.3696,75.38
500,5481.9927,74.0
510,5369.242,73.24
520,5596.822,74.75
530,5238.039,72.35
540,5136.6133,71.65
550,5039.341,70.96
560,5137.9707,71.64
570,4876.0996,69.81
580,4902.181,70.0
590,4748.785,68.89
600,4957.9194,70.37
610,4684.3916,68.43
620,4590.5103,67.74
630,4841.111,69.49
640,5516.727,74.08
650,4637.5464,68.08
660,4413.147,66.42
670,4266.2,65.31
680,4616.6333,67.9
690,4244.0054,65.13
700,4230.6357,65.03
710,4534.849,67.26
720,4149.5386,64.41
730,4084.2632,63.89
740,4085.0374,63.9
750,4694.171,68.33
760,4055.166,63.67
770,3933.025,62.7
780,4213.397,64.87
790,3765.3186,61.35
800,3744.2114,61.18
810,3855.8936,62.08
820,3659.5894,60.48
830,3609.9473,60.07
840,3603.58,60.01
850,3522.2463,59.33
860,3623.0718,60.17
870,3445.348,58.69
880,3585.0002,59.84
890,3521.1812,59.32
900,3829.3057,61.86
910,3408.096,58.36
920,3566.1162,59.7
930,3391.8005,58.23
940,3683.6213,60.68
950,3553.3757,59.59
960,3299.092,57.41
970,3915.6482,62.51
980,3178.8286,56.36
990,3085.127,55.52
