iteration,trainRMSE
0,"[257.93838470537065, 258.20416306908174, 258.43859598858904, 258.7111400130823, 258.8986938311066, 259.01771373834947, 259.06873916370404, 258.2153694305726, 258.32897245307265, 258.5365413878435, 258.80555616592534, 259.1229397897188]"
10,"[167.08929338952083, 165.68118305227594, 165.44216101149883, 165.387454351992, 165.37198531071815, 165.37006731105313, 165.38022024772735, 164.3159319272901, 164.33209549911322, 164.36609947416338, 164.43185130002632, 164.49345719098608]"
20,"[155.44613660833554, 154.77289976908926, 154.64882027144066, 154.60255583174742, 154.58947496841938, 154.5861322202379, 154.6008752249353, 153.53099551582903, 153.53786577134625, 153.55258670290104, 153.60397026036898, 153.64679326143272]"
30,"[147.58583082853164, 147.35424746172532, 147.2841296551354, 147.22924504825343, 147.21440154960166, 147.2102649298625, 147.2338040989043, 146.1892893343252, 146.18517867769324, 146.17637388218276, 146.20905470411324, 146.22817350936452]"
40,"[142.8124296973143, 144.49850859304738, 144.7330008223221, 144.69440070659397, 144.68000262739974, 144.6752487194375, 144.70790478635197, 143.7305865577365, 143.71418792070173, 143.67904210449254, 143.68930401348797, 143.68082362028284]"
50,"[141.00272251753438, 142.7659435271656, 143.06156113054632, 143.0340091442842, 143.04641105329148, 143.16857940338838, 143.41517227904507, 142.6977844476649, 142.90695283726967, 142.97655493664877, 143.01519077901807, 143.0184882583968]"
60,"[137.73041430463485, 140.90414991042707, 141.67310162855827, 141.94433714433012, 142.0218177213927, 142.08137057195867, 142.27530041447002, 141.45499019180514, 141.59443479006276, 141.637912002884, 141.6008848070548, 141.49242379906246]"
70,"[123.84509888818836, 130.31793237094118, 134.3240695400794, 136.56600208779534, 136.9647756985121, 136.29269198616163, 135.5959464967309, 133.8072475390697, 133.45325308891324, 133.87346827755945, 134.44656878250447, 134.77969867898193]"
80,"[113.24148411622761, 119.9802653531707, 125.683979325991, 128.47130400721448, 128.63243411394646, 128.39140071075082, 128.37046424846525, 126.82292219317807, 126.60397387991601, 127.07589890153238, 127.6764432612411, 128.0113686054649]"
90,"[111.95303499428391, 119.69141488996655, 123.55814879751314, 125.02162225916061, 124.93019972220179, 125.11049273195232, 125.35694172118494, 124.83303461705381, 126.06165154495335, 127.28986389630958, 128.2160376609653, 128.48995915595938]"
100,"[108.47212324365235, 117.44589446521415, 121.61164980103412, 121.1476918364148, 118.81863512699829, 117.44538800758566, 118.63050109467028, 120.19792114166465, 123.51545875361384, 125.81906159313233, 127.24952774277769, 128.0652205965359]"
110,"[110.99879259431921, 124.2182721237765, 131.618582496371, 132.4921846614367, 131.61316268139458, 131.64878843145638, 132.1654585125483, 130.11951399742995, 129.20181711959899, 128.47654526914877, 127.98475204073164, 128.06704159302143]"
120,"[102.6647445087985, 112.29636429944587, 117.63871778368734, 119.69737316573196, 120.02449334504426, 120.74732596076785, 122.3345041085292, 122.26266712446483, 123.44617894403359, 124.89075608936905, 126.37211451379757, 127.73059209664008]"
130,"[99.19736085977308, 105.9781702871085, 109.44657511316622, 112.3613925817108, 114.15534449022327, 116.3937441055591, 119.18665880375038, 120.25362567096549, 122.62314987191132, 125.23255624699024, 127.57999577421467, 129.17752321117112]"
140,"[107.02518225232168, 118.00894463279951, 126.1954874684943, 127.47543954793359, 123.03703887157984, 116.68157036303943, 115.88829226320969, 120.62541970440854, 124.71404320596406, 126.45032669922156, 127.08902897840336, 127.70263114602226]"
150,"[99.15135342406005, 108.04687418182594, 111.91448210023742, 113.33521944798072, 115.25821709581724, 118.22535393811484, 120.36788528182058, 119.32250547139635, 119.73554178737868, 121.28691206918514, 124.35201298917885, 127.45084237572028]"
160,"[97.39165733771544, 105.34856285668084, 109.07161372286373, 110.3496733479565, 109.84839193291299, 111.52242302084478, 115.602450950967, 120.24963374365161, 126.8714832501128, 131.75387882643804, 133.90250169840502, 134.91218892558354]"
170,"[100.2864758882208, 108.67645091771168, 111.50964203379785, 110.75730556029497, 109.06371369087191, 109.81227510765471, 113.20766789715692, 114.54091909219733, 116.40894410299477, 117.22525869658513, 118.85250988960752, 122.40893653606142]"
180,"[94.38173254723166, 100.3293957665206, 101.37205815511001, 101.78636750323405, 103.3606447182482, 106.14912012043698, 110.17617708414123, 112.62091681725599, 116.61502124227208, 120.42095980559756, 123.63023284327095, 127.36257571483729]"
190,"[94.69719767604373, 100.18926156436002, 101.30781951938845, 101.68271742747338, 105.79404639234566, 110.84810594363235, 114.10932369996263, 112.09419339043889, 110.37244909463398, 110.65483657624308, 114.4683044317391, 119.7516297261079]"
200,"[95.05898498761495, 98.33272672826486, 98.60109421113422, 99.48822404035485, 103.2842514547801, 111.55928059343553, 120.6680230964556, 120.93352135217137, 116.95903355928911, 111.58879898382415, 109.01412592477384, 115.17432707628187]"
210,"[91.29721236923645, 98.71412149143886, 100.22316600093309, 101.53960295122455, 105.86590842270283, 113.06103368704123, 117.39312292698247, 114.54930490857973, 110.56553552265055, 111.56255067257518, 121.10828827543027, 129.71327362366048]"
220,"[136.18483294834434, 149.35898956143626, 149.42597863550967, 143.16856054639513, 139.7713018895071, 139.23526628163654, 138.6564377662631, 134.9738945464429, 131.0025921530806, 127.51669335997146, 126.74684696946865, 127.72081110665881]"
230,"[102.04786620646875, 114.727939384124, 122.10784185661068, 127.26094143952062, 131.12863502479846, 134.24727798921606, 135.28912709218324, 130.50098658295047, 123.99939734792109, 118.54578193526267, 117.85888388464147, 123.99224701982817]"
240,"[91.87220491899858, 98.7371347643982, 100.19457002105908, 100.08886734531946, 101.68914772142509, 107.07819283789476, 113.32643009986509, 116.57035401867918, 116.52131022979442, 113.0080341734273, 108.66288308028898, 109.00629061902329]"
250,"[90.46661824113315, 95.63315142905115, 97.0375217874709, 97.04555293230655, 97.99909696358246, 101.70636880039336, 106.12505288417861, 106.81786367139036, 105.31996777659056, 103.87173314842487, 105.50510147721928, 111.76642067788839]"
260,"[88.48435945209972, 94.03441446646067, 95.7480167855621, 96.25995384895641, 97.43774645929652, 100.53435426638717, 103.05204220490764, 102.99038488930128, 103.49325220584765, 103.1253481476069, 101.04849307224438, 100.71894825509504]"
270,"[88.5331172446618, 93.1757031020648, 95.10120544559855, 95.86168338560523, 97.54344713037541, 99.83921874250245, 101.63977436384909, 100.35354659196194, 99.07929588154583, 97.72214503968291, 99.62224407539084, 104.79401340912639]"
280,"[86.0918662475649, 91.9218571251343, 94.43047837747231, 95.90006582395088, 97.39326427309834, 99.04085227807806, 101.17137384743094, 100.39939259192838, 99.6614892834426, 99.41486101032767, 102.33551812879863, 107.75321422780763]"
290,"[85.09927773871432, 90.99295306316293, 94.24494178098972, 95.89052294581708, 97.59707504065383, 101.76139305114972, 107.60454056694627, 109.76528417103881, 111.50993730613953, 110.48654020433794, 105.26167560652407, 104.8596745395982]"
300,"[84.70772165400044, 89.34569147952186, 91.53167814644, 92.03393272756355, 92.6873463717054, 94.34471745974956, 94.93282373419282, 92.99954130887726, 93.89761433423745, 94.03244542231184, 95.03611479926913, 98.21310699898237]"
310,"[83.55884133918056, 88.65006837653685, 91.26585953854766, 91.76114976068516, 93.77904616521505, 95.25713426649175, 96.26830937789391, 93.89365061955954, 92.48813067118314, 91.13607137139829, 92.66642356029372, 97.30885279892398]"
320,"[82.07628819838021, 87.79081843828722, 90.93846594388279, 91.89812994702116, 93.9136709800116, 96.57928509298068, 101.50793589609174, 104.92334209579444, 109.28810777415738, 110.01030504020696, 107.45803700305262, 112.31011845791443]"
330,"[82.16444511644023, 87.17742568748798, 91.16303955427801, 93.21570229746462, 96.81515496830632, 99.11835560347704, 102.74895398810997, 101.70524252834164, 101.74929359596698, 102.92743147963054, 107.72860053384568, 115.01329037757094]"
340,"[81.43121279201402, 86.43555783873559, 90.188382693642, 91.1177324048294, 92.64229544391056, 93.36784055875162, 95.03690993518644, 92.35611472383857, 92.31033638072104, 93.41192218259563, 94.89436820965507, 97.31198841449225]"
350,"[80.70800582073683, 84.43067211375568, 88.4437864378804, 89.85596156523809, 90.73744410959713, 91.17408439146868, 92.16337225357097, 89.91386958477688, 88.85619722591464, 88.35652368221949, 90.57485605677351, 94.26488327345913]"
360,"[80.12426674117062, 83.43945228940714, 87.94967072954695, 89.47298079373654, 89.99842302277764, 89.66998389052549, 90.2441785222424, 87.21955927673962, 86.09314541091697, 85.96713546627008, 89.09182703569344, 93.62874892225723]"
370,"[78.93644093011855, 82.78656735768548, 87.81393652023439, 88.98678360141524, 89.57298067162249, 89.84584758964562, 90.39881147727718, 87.45816393171367, 86.15219878076157, 86.50312264445527, 88.26498684735775, 89.64753269817898]"
380,"[78.27319594695223, 82.22072330003819, 86.3962342414675, 88.35762108637245, 88.44568729235301, 88.60529377581571, 88.92367198810999, 86.62794141319243, 84.86446052844346, 84.78500892524687, 85.73445031375728, 89.44459032134661]"
390,"[76.46226363678097, 79.27360905730441, 83.77030837620265, 85.2335395235852, 85.34838156429387, 85.29698788346478, 85.8732324962803, 83.82709529576749, 82.34174149768754, 82.10457790268723, 84.61137880859066, 89.86829496151071]"
400,"[75.43417326767191, 78.5279637384382, 82.29713208140492, 83.65271143052404, 83.89501656564453, 84.79374927988857, 85.05719334404625, 83.7551870062953, 82.76863109735382, 82.44830778531161, 84.04261954018415, 87.3285280646623]"
410,"[76.61487264161745, 81.02924800098297, 84.19498510785807, 83.51245149626845, 83.8786046365465, 84.20683631913404, 85.8288598892553, 85.29877601682378, 84.4775358591266, 83.8503716973538, 84.87221571468335, 89.62371913389079]"
420,"[74.14806132819224, 76.67872049736646, 79.83795712969147, 81.26009170764796, 81.86271234144307, 82.2539369486381, 83.01199861351334, 82.00123408275716, 82.09632674712364, 81.97731629350814, 83.32144007621652, 87.64108996953587]"
430,"[73.33837002371362, 75.69026231865683, 78.69172231861927, 79.67789371027571, 80.8664399572854, 81.88475684403673, 81.7497362984044, 80.00555016233744, 80.50058530320904, 81.14903112438284, 83.83955098680656, 88.449886869538]"
440,"[72.83417751435812, 74.84247754116066, 76.80963009079098, 77.66086884904244, 78.44827780517035, 80.24054460254784, 81.62282211855724, 81.07341369279904, 82.67704929341195, 83.76587088729032, 85.62995918529867, 89.30336456766913]"
450,"[72.02905698410605, 74.54016881207764, 76.86977348824196, 76.74816088413229, 76.66604047786998, 78.15952492574066, 78.903025528304, 77.67155671054827, 78.83694926879373, 79.37371703951976, 81.13238843138895, 85.87190771172536]"
460,"[71.80088448472681, 73.51901640991456, 75.66709306896612, 75.7613954977016, 76.32335211433313, 77.53463784176942, 78.2280656334387, 76.9481625865657, 79.17836888539158, 80.38967926842714, 80.7780978878602, 83.41732665261219]"
470,"[71.46819290242378, 74.07291349883126, 75.91502516881128, 76.01682668261711, 77.67994153743096, 79.82200184106733, 80.97862425236792, 79.8643922462394, 81.2720503021015, 82.86540165052719, 86.5717052615539, 93.11320803523316]"
480,"[70.78564160145217, 72.77521437831543, 74.82597594467943, 75.31167915782946, 76.01584806792961, 77.15340770373864, 78.75791211937187, 77.83612043398287, 80.2034575806167, 81.9873756896987, 84.96372434952103, 89.18326705831494]"
490,"[70.8524327817545, 72.61615139795362, 74.36866626012626, 73.66604412274557, 73.86407971143053, 75.23837427197684, 76.26567481412506, 75.24160782995398, 76.68001106297389, 76.92338485713397, 78.11931037823715, 80.68253148993298]"
500,"[69.51967179724254, 71.65846588628224, 73.12649007069564, 72.74637606552444, 72.96018128560499, 74.21062649811653, 75.22779933188546, 73.93242160426217, 74.91491385623999, 75.16126234642064, 76.0913048718529, 78.50739095917046]"
510,"[68.90515372368421, 70.92931310284904, 72.25118085611244, 72.67624727576016, 72.40301332266138, 73.22642167601076, 73.91809349502739, 72.33810921761433, 73.88833416155433, 74.74923186845746, 75.1616924160169, 78.4000516954628]"
520,"[69.44748730338769, 71.21370107537388, 73.13435817291062, 73.63129500724177, 73.45558026388008, 74.8519872801149, 75.98569019949201, 74.4979817438237, 75.27459670184753, 75.80761429930989, 77.46708278957723, 82.18588170198169]"
530,"[68.93604457631342, 70.67641958844068, 72.13739520607497, 72.02029242715487, 71.57745668623673, 72.13607047871974, 73.357012873529, 71.73673894598564, 73.31118250052279, 73.54727018390938, 73.46225076826856, 75.34808522538947]"
540,"[68.21925854262422, 69.51420123035828, 71.32014415186089, 71.9600123315922, 71.87805902151376, 72.47072894716851, 73.14426804743174, 70.87161095268038, 71.55816800657631, 71.6989652748699, 72.17316966467111, 74.97000642205282]"
550,"[67.88808875402636, 69.42771703622199, 70.66868299155662, 70.50841311078452, 70.37915675821779, 71.60845938430522, 72.37030788842186, 70.48696200449534, 70.74830934651735, 70.66246747058358, 71.31470138766352, 75.49877918463548]"
560,"[67.64348172994251, 68.71712829366462, 70.55528949420734, 71.3035729332973, 71.23448099716916, 71.95232225103719, 72.88133510509039, 71.20864744368987, 72.0745842318944, 72.0329165729443, 73.22162313161871, 76.8802490508729]"
570,"[67.52551297131241, 68.31852022500293, 69.53386166775267, 69.74149362956051, 69.16752684890072, 69.78985342371293, 70.71750962764924, 68.714707692322, 69.86146418740225, 70.49231361674853, 71.13470570026425, 72.75595278007079]"
580,"[67.12840079642886, 68.06076720529411, 69.40149152857819, 69.42296306072886, 69.17018063738881, 69.76059639272061, 70.55880527239668, 69.29391465909464, 71.38598189489045, 71.78691475858045, 71.48242014711866, 72.48994126139395]"
590,"[66.61251088364517, 67.32976676640784, 68.8249264865791, 68.95186420957712, 69.02711829779668, 69.61302228755957, 69.82211569081251, 67.76653504159273, 68.23786524703594, 68.87884396578629, 69.05336569484948, 72.59420527626823]"
600,"[66.55726645587804, 67.50581688364846, 69.17578599465055, 70.1918051061013, 70.65905055098376, 71.95981915055683, 72.59676572414494, 70.13285143392822, 69.46335852829516, 69.47300483657713, 70.89005420901704, 75.84534435055471]"
