iteration,trainLoss,trainRMSE-avg
0,66167.8,257.22000000000003
10,33762.8,183.30000000000001
20,27344.9,164.81999999999999
30,22993.8,151.13999999999999
40,20353.2,142.47
50,19654.3,140.13
60,18852.5,137.25
70,17921.4,133.81
80,16776.5,129.44999999999999
90,15702.3,125.18000000000001
100,14731.7,121.16
110,14382.5,119.78
120,13662.6,116.70999999999999
130,13168.9,114.55
140,13023.6,114.0
150,12903.6,113.3
160,12331.1,110.92
170,12231.9,110.5
180,12473.1,111.56
190,12071.4,109.75
200,12261.9,110.59
210,11929.2,109.06999999999999
220,11726.0,108.17
230,11394.8,106.59999999999999
240,11186.0,105.65000000000001
250,10907.5,104.28
260,10399.7,101.89
270,10535.0,102.55
280,10188.8,100.84
290,9986.2,99.849999999999994
300,9867.16,99.219999999999999
310,9739.64,98.629999999999995
320,9501.34,97.439999999999998
330,10132.5,100.51000000000001
340,9214.52,95.939999999999998
350,9379.92,96.790000000000006
360,8862.38,94.090000000000003
370,8755.97,93.540000000000006
380,9626.01,97.959999999999994
390,8930.62,94.430000000000007
400,8749.76,93.480000000000004
410,8109.93,90.019999999999996
420,8261.64,90.829999999999998
430,8011.2,89.450000000000003
440,7612.56,87.219999999999999
450,7766.3,88.090000000000003
460,8101.52,89.920000000000002
470,7777.7,88.129999999999995
480,7437.22,86.109999999999999
490,7284.03,85.269999999999996
500,6765.76,82.219999999999999
510,6946.77,83.239999999999995
520,6717.55,81.900000000000006
530,6423.8,80.099999999999994
540,6467.07,80.390000000000001
550,6448.26,80.189999999999998
560,6455.78,80.209999999999994
570,6249.36,79.010000000000005
580,6369.26,79.709999999999994
590,5794.34,76.090000000000003
600,6288.25,79.230000000000004
610,5860.71,76.480000000000004
620,6011.84,77.430000000000007
630,5633.34,75.030000000000001
640,5615.43,74.900000000000006
650,5357.44,73.170000000000002
660,5399.9,73.439999999999998
670,5098.63,71.370000000000005
680,5115.13,71.489999999999995
690,4915.04,70.069999999999993
700,4912.62,70.060000000000002
710,4763.26,68.969999999999999
720,4837.38,69.519999999999996
730,4930.5,70.180000000000007
740,4859.54,69.650000000000006
750,4649.09,68.150000000000006
760,4494.08,67.0
770,4561.15,67.5
780,4411.21,66.370000000000005
790,4370.91,66.069999999999993
800,4753.18,68.870000000000005
810,4363.19,66.019999999999996
820,4329.12,65.760000000000005
830,4337.97,65.810000000000002
840,4202.39,64.780000000000001
850,4571.11,67.510000000000005
860,4079.27,63.810000000000002
870,4125.52,64.180000000000007
880,3972.17,62.969999999999999
890,3965.9,62.890000000000001
900,4098.69,63.969999999999999
910,4023.37,63.369999999999997
920,3877.34,62.200000000000003
930,3910.17,62.479999999999997
940,3948.9,62.789999999999999
950,3800.05,61.590000000000003
960,3786.66,61.460000000000001
970,3621.82,60.109999999999999
980,3612.51,60.030000000000001
990,3574.66,59.710000000000001
