iteration,trainRMSE
0,"[251.91951514087756, 255.13958781279104, 256.40884914941756, 257.075225823287, 257.57148373416607, 258.00169691691923, 258.3761147064791, 258.7484846704543, 258.11016605635035, 258.3527660347473, 258.4709686756716, 258.51413067584093]"
10,"[225.45455009068968, 183.21095782468214, 179.67230958082763, 179.1641286108762, 179.11480396737988, 179.3298476217408, 179.50989335524557, 179.6418308947618, 178.62532852174593, 178.63768799561802, 178.62749033140886, 178.63001232137512]"
20,"[209.05501893990063, 163.35453365171406, 161.48417497067877, 160.97587581377158, 160.8291095244608, 160.8374556828693, 160.86634384768635, 160.94815019420446, 159.85716813335844, 159.88106595149637, 159.8736089165463, 159.88180591433505]"
30,"[191.84244896385408, 148.7179879993618, 148.34467959507873, 148.2698252950429, 147.80795980688978, 147.51283863100522, 147.43937758912767, 147.5184528019437, 146.41680480206168, 146.51734920558224, 146.59356833275766, 146.6546826785689]"
40,"[166.64628371285528, 138.7668844424788, 140.54307897031998, 141.32504880695424, 141.4380066993171, 141.21270002694018, 140.92054859674533, 140.7344538995913, 139.35344326482803, 139.45627170702258, 139.58319708851724, 139.70699911121213]"
50,"[153.4046736407073, 134.6303621019155, 138.41543620708177, 139.62490265749778, 140.09111680906938, 140.2652281575929, 140.17680812280804, 140.05129236762687, 138.59897377864326, 138.61459585439158, 138.72560550326008, 138.92510322192814]"
60,"[148.93085774276014, 131.5003436249422, 135.0107373243268, 136.3925174432509, 137.21465919124327, 137.5469079502821, 137.5450452834957, 137.47460763810378, 136.07017684302983, 136.1847650641062, 136.42677117354773, 136.68005059291505]"
70,"[145.79124519130482, 129.5220122637672, 131.01659931284908, 131.83171091893658, 132.65906150206354, 133.25994274978052, 133.66611592124724, 134.13315336418853, 132.95326890108691, 133.2833316829013, 133.6651213968737, 133.9799487838364]"
80,"[141.42084367433424, 123.4706304531772, 125.41671444610276, 126.32188259224844, 127.69894639557559, 128.89442193914647, 129.64255412930328, 130.25431114002467, 129.17501525723742, 129.815962963455, 130.4286608223488, 130.90062675808576]"
90,"[139.1944008865913, 123.37539011242973, 122.1823563985414, 120.17610248390322, 118.86291665317214, 119.22908726449198, 121.63913346527202, 124.89771537878508, 126.00166827908814, 127.92760235262136, 129.12668509472448, 129.60426347888637]"
100,"[132.23215224662965, 116.46393833134806, 116.8489949686469, 113.84501762025901, 111.47822739517683, 112.51198129153443, 116.65448834892644, 121.58631114487386, 124.12144384168631, 127.26859385514187, 129.64500229115134, 131.22466246436053]"
110,"[130.0833151548045, 116.5173617964626, 120.62371109427173, 117.62526271015864, 114.3298660416025, 112.61778970207179, 113.2818846661669, 115.84699312121221, 117.76230477944421, 122.18512858898895, 126.49044696438864, 129.97453803634704]"
120,"[126.3424228459956, 113.4822644413279, 117.305779644156, 115.1425361594523, 111.5463154817436, 109.29362114486288, 109.317964590169, 111.83793373442576, 113.75428860749777, 118.90465701565108, 124.1212270614378, 129.4352478059414]"
130,"[123.69917758533138, 111.69736503447658, 113.80596656937331, 111.58487737534502, 108.83479895508177, 107.54036866231577, 107.86554549482906, 109.8575559267541, 111.00680700641827, 116.10435823591331, 122.4980340230299, 130.05877232859623]"
140,"[122.29195715294696, 110.42847965426196, 113.55469746422362, 112.01554047827388, 109.82884116318225, 109.30562515379495, 109.73376738945225, 110.99165965974227, 110.76908711976334, 114.17580701949923, 119.14845945259138, 125.74048270744342]"
150,"[119.19639720986095, 106.50835597207102, 107.92201404939671, 106.63282048121323, 106.5204853153848, 107.48059157083384, 108.6243733409657, 110.58822741542606, 111.70467113551575, 117.40783742119459, 124.42917021616354, 132.638720277624]"
160,"[118.89453136697648, 105.54778340895399, 107.2548170297836, 106.49977998402682, 105.84509360120184, 107.03483818519649, 108.66980786954458, 110.75557770415203, 110.0704509625429, 112.46795059957644, 116.12041594851674, 121.89662108357305]"
