iteration,trainLoss,trainRMSE-avg
0,424588.16,651.6
10,342295.4,585.06
20,318987.75,564.79
30,293997.06,542.21
40,268733.22,518.39
50,243878.69,493.84
60,220490.0,469.56
70,199582.89,446.74
80,182551.92,427.26
90,170650.6,413.1
100,165450.7,406.76
110,165608.47,406.95
120,165331.0,406.61
130,164165.48,405.17
140,161054.8,401.31
150,148084.47,384.8
160,119282.336,345.31
170,104407.8,322.97
180,97512.3,312.0
190,91697.2,302.35
200,87378.7,295.15
210,88054.195,296.14
220,83719.67,288.73
230,84058.78,289.33
240,80356.82,282.91
250,76935.66,277.02
260,79202.945,281.04
270,78722.67,279.87
280,74391.164,272.15
290,73448.19,270.47
300,79569.59,281.19
310,81551.96,284.84
320,71805.69,267.45
330,68999.31,262.1
340,73619.26,270.7
350,70945.18,265.87
360,69005.625,261.97
370,71420.46,266.66
380,67791.83,259.86
390,69355.3,262.88
400,70188.77,264.03
410,66200.41,256.95
420,65508.586,255.49
430,62804.434,250.11
440,63157.96,250.7
450,61170.836,246.88
460,63417.62,251.23
470,60570.777,245.77
480,60477.93,245.39
490,61100.58,246.8
500,66891.04,257.7
510,60474.504,245.52
520,59538.047,243.5
530,56031.91,236.43
540,63020.453,250.29
550,56256.07,236.74
560,53266.387,230.51
570,60043.19,244.6
580,57813.426,239.88
590,58817.777,241.92
600,55858.07,235.95
610,56623.86,237.6
620,53003.78,229.7
630,53651.17,231.21
640,51707.754,227.15
650,50438.605,224.17
660,50780.516,225.09
670,52661.52,229.09
680,50426.188,224.32
690,49712.598,222.69
700,57493.7,239.2
710,52593.227,228.99
720,51732.46,226.99
730,48119.85,219.07
740,48802.812,220.63
750,51016.582,225.43
760,47166.56,216.9
770,47981.773,218.62
780,60401.4,245.27
790,52760.055,229.03
800,51811.727,227.13
810,45311.824,212.61
820,43398.355,208.15
830,50482.734,224.3
840,44602.426,210.95
850,43544.94,208.47
860,42676.48,206.34
870,39899.258,199.58
880,43668.094,208.71
890,42391.01,205.74
900,44377.223,210.41
910,53214.832,230.31
920,43306.86,207.87
930,43907.05,209.39
940,41065.74,202.45
950,44904.426,211.63
960,41829.887,204.38
970,41841.43,204.34
980,41301.605,202.98
990,40591.418,201.28
