iteration,trainRMSE
0,"[652.3973218277089, 652.3804321743947, 652.4449617484541, 652.4299798736723, 652.2719881724407, 651.777736410332, 651.4092649317021, 651.3786347318756, 651.0009126951275, 650.6918647696399, 650.6086504055198, 650.4573684061413]"
10,"[587.6940893640432, 586.1169724317153, 585.791264141949, 585.6516508871988, 585.4583115590661, 584.963688523728, 584.6158790443179, 584.6001606519683, 584.2452897762204, 583.9535124104398, 583.8800392644795, 583.735642324591]"
20,"[567.434856051979, 565.8116409113671, 565.4850894800808, 565.3537358453904, 565.1701010870039, 564.6843449266728, 564.3465017250617, 564.3359165638254, 563.9906130829165, 563.7066864345741, 563.6381303957138, 563.4979084377768]"
30,"[545.0707000372208, 543.2039278717108, 542.8495318808464, 542.7240309135777, 542.5519612890997, 542.0779926973009, 541.7532231013198, 541.7491102366066, 541.41642323563, 541.1428738846091, 541.080620098042, 540.9459149440727]"
40,"[521.494870294344, 519.3391413901111, 518.9515134289762, 518.8333317919336, 518.6757602907733, 518.2173463619871, 517.9093040634666, 517.9130436958884, 517.5965696313816, 517.336351965956, 517.2819173143193, 517.154262373627]"
50,"[497.03784693413013, 494.71864258004564, 494.3198847154161, 494.2149609366358, 494.07621085308574, 493.638658491696, 493.3522501742159, 493.3655801181075, 493.0701444795013, 492.8272281641583, 492.78255233703584, 492.6640081782708]"
60,"[472.82256528916594, 470.351708820745, 469.94678434479687, 469.8592887838271, 469.74430483495263, 469.33463889549245, 469.076209185807, 469.10107474854686, 468.83291480307577, 468.6124308764294, 468.57986744847807, 468.47308178660063]"
70,"[449.8460659852453, 447.40692064963355, 447.02890943226186, 446.96753429262856, 446.8829002224563, 446.5106331708282, 446.2883113251745, 446.3269754495982, 446.09417903513076, 445.9027809003314, 445.8851767140451, 445.79356178182]"
80,"[429.8821700763761, 427.74904524551755, 427.44175896741484, 427.4167176459916, 427.3698195524139, 427.0466240010949, 426.8699294191604, 426.92450491961984, 426.73656857492637, 426.5820637912481, 426.5824386480379, 426.5099684164495]"
90,"[414.84467739767143, 413.355939873128, 413.179806809377, 413.204121802071, 413.20312044292, 412.9430449290905, 412.8228449576567, 412.89516073591267, 412.7629712734316, 412.6543086311199, 412.67574403525725, 412.626919105139]"
100,"[407.0185985598379, 406.7248178139153, 406.7644582469555, 406.85215461043015, 406.90366829909055, 406.7198968530442, 406.66543908711424, 406.7560070996299, 406.6889463212681, 406.63382869015396, 406.67831007185197, 406.656944868484]"
110,"[406.3793323142535, 406.78004749504606, 406.9391387344487, 407.0577492879381, 407.13288402714164, 406.9847798084217, 406.9602541459774, 407.0583397894421, 407.02100246451766, 406.9903167522684, 407.0448062515243, 407.0359166178887]"
120,"[405.94311940569395, 406.5189512674865, 406.6927973323729, 406.79820715235496, 406.85334259716944, 406.6720587489492, 406.61908297197743, 406.7094438598335, 406.6440428523712, 406.59052149785856, 406.63584613453077, 406.61563380533755]"
130,"[402.73321461789976, 405.0841280928826, 405.5347355871754, 405.63895314373303, 405.68623130238143, 405.4806089354321, 405.3760649434818, 405.39658026306336, 405.2969226180584, 405.2343182572914, 405.2890523501021, 405.3042144876164]"
140,"[397.6838892962845, 400.1647903627005, 400.8978445621013, 401.31369330704393, 401.6204412384853, 401.65792613224204, 401.78302391672383, 401.9904298660927, 402.0346168130228, 402.089350133129, 402.22606113942425, 402.29331333321176]"
150,"[376.85157864558124, 380.82457975593104, 382.4470540783252, 383.7204893218608, 384.80784986666333, 385.46692570602687, 386.063067370837, 386.648708505321, 387.1271001511808, 387.5749690442589, 387.92308119704944, 388.17430042095395]"
160,"[332.56616329474446, 335.218364163384, 338.94928546741266, 341.5701803376062, 343.993256187639, 345.9987610356439, 347.77986906453, 349.27465251273316, 350.54428597115907, 351.58393451161487, 352.65041781140167, 353.5534900369087]"
170,"[301.6126634417508, 308.96486051691335, 315.00881722776137, 319.0274218066021, 322.3591157283105, 324.8614457223825, 326.84148708349903, 328.54206649108085, 330.0470605580404, 331.43605126762134, 332.76332999811365, 334.2324829993525]"
180,"[280.1265616251021, 292.68651267367716, 303.0261132350871, 309.68016381613353, 314.0816326549885, 316.7706997575635, 318.76696278319287, 319.9364400108392, 320.73596330139384, 321.4415383872296, 322.56127703580574, 324.13527971466755]"
190,"[263.23918036361374, 279.3946444478312, 289.4735494444849, 296.3608224914756, 302.27107565478286, 306.3855191639608, 309.4835802982146, 312.0087724831403, 314.52863918883065, 316.7467826573076, 318.31718250297655, 320.02331997735314]"
