iteration,trainLoss,trainRMSE-avg
0,446333.0,668.08000000000004
10,402444.0,634.38
20,381830.0,617.91999999999996
30,360038.0,600.02999999999997
40,335729.0,579.41999999999996
50,311094.0,557.75
60,285848.0,534.63999999999999
70,260990.0,510.86000000000001
80,237034.0,486.85000000000002
90,214922.0,463.58999999999997
100,194932.0,441.5
110,177993.0,421.88999999999999
120,163393.0,404.22000000000003
130,153105.0,391.27999999999997
140,144245.0,379.79000000000002
150,135414.0,367.95999999999998
160,126377.0,355.44999999999999
170,112192.0,334.87
180,105268.0,324.31999999999999
190,100864.0,317.43000000000001
200,100815.0,317.31999999999999
210,101498.0,318.42000000000002
220,94847.0,307.76999999999998
230,91397.9,302.06999999999999
240,88235.3,296.75
250,90922.0,301.33999999999997
260,89017.5,298.06
270,86544.6,293.69
280,85985.6,292.69999999999999
290,83648.6,288.76999999999998
300,82297.9,286.61000000000001
310,82290.3,286.60000000000002
320,79797.0,282.04000000000002
330,78892.0,280.57999999999998
340,77912.6,278.73000000000002
350,77026.0,277.06
360,79264.5,281.17000000000002
370,76266.9,275.75
380,75753.1,275.02999999999997
390,74997.7,273.62
400,74587.1,272.74000000000001
410,73619.0,270.87
420,75569.7,274.57999999999998
430,74210.8,272.13
440,82595.2,286.55000000000001
450,77013.8,277.06
460,73338.9,270.37
470,72132.2,268.10000000000002
480,74126.4,272.01999999999998
490,73861.7,271.41000000000003
500,71747.7,267.41000000000003
510,72092.1,268.13999999999999
520,72140.2,268.31
530,72430.2,268.91000000000003
540,72586.4,269.05000000000001
550,69304.3,262.91000000000003
560,69319.5,263.00999999999999
570,68690.0,261.75
580,71803.0,267.69
590,68577.6,261.56
600,69254.6,262.83999999999997
610,71719.8,267.44999999999999
620,79118.0,280.79000000000002
630,70676.8,265.29000000000002
640,66840.5,258.25
650,66920.8,258.36000000000001
660,68300.1,261.01999999999998
670,71932.3,267.63
680,67102.0,258.70999999999998
690,65347.8,255.31999999999999
700,64031.8,252.75999999999999
710,62698.3,250.13
720,63270.0,251.25999999999999
730,63281.4,251.21000000000001
740,67908.4,260.11000000000001
750,64153.8,252.97
760,67899.9,260.13999999999999
770,63840.2,252.36000000000001
780,64157.1,252.97
790,72046.2,267.69999999999999
800,69324.6,262.77999999999997
810,65932.8,256.26999999999998
820,64531.5,253.77000000000001
830,64344.1,253.40000000000001
840,61939.1,248.56
850,66674.3,257.68000000000001
860,67460.0,259.25
870,61867.6,248.44
880,73406.4,270.33999999999997
890,67880.8,260.29000000000002
900,63908.7,252.50999999999999
910,63647.7,251.99000000000001
920,62178.2,249.08000000000001
930,62517.1,249.78
940,65616.0,255.78999999999999
950,67762.1,259.97000000000003
960,63562.6,251.88
970,72460.6,268.87
980,64092.5,252.93000000000001
990,61794.9,248.38
