iteration,trainRMSE
0,"[666.2975771142311, 670.0567871748103, 669.6455471185321, 669.6180573003006, 669.4876089175601, 669.2697407811756, 668.7364495027671, 668.3447504470893, 668.2993564827328, 667.8776019191488, 667.4989903429852, 667.3397623046218]"
10,"[618.4515378799414, 503.7837490664131, 490.95827772207247, 488.8130555528687, 488.59327526626726, 488.52888222562905, 488.15482526794216, 487.92903091702084, 487.95154634850616, 487.6620162797057, 487.43126256060924, 487.4198534730942]"
20,"[599.3855615868681, 448.735964260482, 452.0284191380794, 451.0500695871669, 451.3608523674896, 451.76109702117844, 451.718320564026, 451.70074897012233, 451.89329961194113, 451.85085215003966, 451.8727897417604, 452.0862239454742]"
30,"[580.3255460680214, 411.7326445015112, 415.0524552602304, 415.4477717997021, 416.6115979023108, 417.7227439313244, 418.27207532274275, 418.727865917749, 419.34510728657443, 419.75951500911685, 420.2795959589634, 421.01554014557115]"
40,"[564.0775204549458, 381.6119159796311, 383.8415377729527, 384.7784870360744, 386.64280391968924, 388.7300638815875, 390.0217990971911, 390.88002271907334, 391.68203897551825, 392.35409351045223, 393.04464754551054, 393.8862840010515]"
50,"[546.7467007984245, 355.6573127657673, 359.37109361694166, 361.46183185047687, 363.4185859036591, 365.7388400211392, 367.4225651819719, 368.4531968629835, 369.4092280473749, 370.39100850080166, 371.29108835779505, 372.3382063542559]"
60,"[528.0606244116675, 331.83354697128607, 337.93377387611355, 341.0614359954718, 343.3754237336053, 346.0409380114248, 348.27350652323025, 349.8291121610043, 351.08723979571397, 352.36710844435606, 353.6059846236741, 355.13022342958993]"
70,"[514.4906576521116, 309.75857337683976, 312.8788700265765, 317.7111691957993, 321.6187553628639, 325.5077499262603, 328.81638952716946, 331.3891460785281, 333.4098472985686, 335.68604685307247, 337.9838234381018, 340.3714720187972]"
80,"[503.61846514610704, 305.2431672430319, 308.4348587122579, 310.4227465385931, 311.84840025118285, 314.55545266480925, 317.3699879822274, 319.6227830679761, 321.7051840728654, 324.22483026312955, 327.0772342715425, 330.14038657473526]"
90,"[496.99111938402086, 297.60744340487787, 299.157161936897, 299.89745351328304, 299.7385728344234, 301.23566156304184, 302.6508536512193, 304.04762568571925, 306.68376321915645, 311.20677713607154, 316.40998928707774, 322.5512240953782]"
100,"[489.1566688299279, 294.40410318036373, 300.318389591435, 301.7441994238803, 299.9506706610954, 297.6870569821587, 295.1389153609762, 292.55255282301596, 292.96193154601053, 296.95240455503296, 303.09611081618334, 311.38925642509105]"
110,"[482.6303066537006, 288.9308091241606, 292.7640230957949, 292.5154239793659, 290.27296790075786, 288.6875203100324, 287.65237835956094, 287.226603866917, 289.3526830021452, 295.5010714963151, 303.031213031761, 312.28059315741564]"
120,"[478.3444081408267, 287.16879230983386, 291.1532171573246, 293.45176783680273, 293.8257374929256, 292.94297585344685, 290.8917900487957, 288.63507175803477, 288.8374797061234, 293.18495959502064, 300.31376371000596, 310.7465839329109]"
130,"[475.0719388811453, 284.3185113285465, 287.31905743953047, 287.26991501905786, 285.13262389279333, 284.1061909873241, 282.9000812448893, 281.0420860919158, 281.9775581859616, 286.9826575773123, 294.99305208405684, 305.01752544399574]"
140,"[473.34823313067193, 281.0654701023539, 282.0787047740188, 281.0174743062519, 281.766193776861, 283.80386576448313, 285.0519405766278, 287.7656454123148, 291.82191180613773, 298.9204046945887, 307.52137195905135, 316.7383535755142]"
150,"[469.4092771698207, 280.9136259878508, 284.7529307739982, 286.2077248545803, 287.2156348856458, 287.3057477919013, 286.36632654649463, 285.08960579341755, 286.70157564409936, 292.1037554869736, 300.8893735805902, 311.73461251301546]"
160,"[467.26149808604913, 281.85717395911144, 283.864479962241, 282.0537900791567, 279.37295253748243, 279.30040117922493, 279.992841646585, 279.7633818299863, 282.924115249072, 291.00880766494197, 300.76169588333414, 312.22849243527]"
170,"[464.48744017599387, 281.6186356743455, 283.5010651392173, 281.606111483931, 278.2870321250786, 276.09457987107857, 274.20118893458084, 271.73743445442517, 271.0484645291001, 276.2415978414028, 284.6147547600471, 297.67048878879797]"
180,"[461.3462224490993, 277.74826120066666, 279.1874149041987, 277.18785604043654, 274.25160257717476, 273.232580629417, 273.0966335539254, 273.11688660134917, 276.91977211516735, 286.52939080041415, 297.15889803779555, 310.23518088856633]"
190,"[461.326265463634, 279.8066615152684, 285.12963351399424, 287.11347208752, 286.55748315185184, 284.8121619201737, 281.1998179562213, 276.27866835446474, 275.09158749359705, 281.16139449236243, 290.71074241798516, 303.663038386178]"
200,"[459.94015427811564, 277.9077647810997, 278.8233227856965, 275.77949833357917, 271.90375023041867, 269.74163431577375, 267.4416727317504, 265.16621266112736, 268.1956571337956, 276.68760788988845, 287.073310689383, 302.00517110132824]"
210,"[456.92294275503315, 279.2709107796388, 280.82208010336564, 278.8828455392328, 276.27578956463776, 275.85081572907654, 273.49175076989525, 268.33057470000585, 267.98144208900703, 275.0626113939502, 283.49716069127476, 297.2457576781274]"
220,"[454.6696149866386, 275.0918837930995, 278.33135369090223, 277.2303538660271, 277.0142288437978, 277.3458001704096, 273.6823992744104, 268.71710315154854, 268.17705404022377, 272.8771946676509, 280.8956118284259, 293.48496938461517]"
230,"[449.5975942731675, 272.2716036467642, 276.4465455991872, 277.92549672678047, 279.17259728799223, 284.59410009047497, 290.62749139445015, 294.9354270476876, 300.41795238470735, 310.28902689700175, 320.5946737852321, 332.12771369735475]"
240,"[450.2594021509521, 271.2593292618646, 269.5566831488917, 263.36802332786795, 258.17890761271457, 259.7235377202426, 261.10327772942475, 262.3610890391126, 267.9208466691046, 277.8157162667327, 291.50357423822777, 306.3630053392009]"
250,"[449.02061349895433, 271.79580233099404, 269.2523340492541, 263.6132417457863, 261.0624096724929, 262.0878585598653, 261.547586457349, 260.30195684998387, 262.0076092589363, 266.8396596645366, 275.01903580772415, 287.5271833707527]"
260,"[448.6312200812185, 271.5886565330398, 273.90955616380097, 271.5705132751116, 268.43154854744483, 267.3931664026871, 263.9442319792385, 259.4244132260189, 259.20750187819846, 265.55962041764496, 276.0397183738236, 290.9494843949396]"
270,"[445.039799966699, 268.22393927254956, 264.376608061995, 261.1800825809222, 261.8736729758309, 267.98019396326254, 273.2687687251022, 276.9597030296902, 282.8572445287803, 293.2246909860363, 307.35028424777215, 323.5716812242719]"
280,"[447.4496124739693, 275.44030024689425, 280.1636761597981, 281.5923270249593, 283.7437813392041, 286.70307886447426, 285.0846222826276, 277.73315401424395, 269.3857600629208, 266.1812310960521, 266.56347121199855, 274.97772989682227]"
