iteration,trainLoss,trainRMSE-avg
0,284205.47,533.11
50,246330.31,496.32
100,196090.03,442.82
150,139810.83,373.91
200,94051.41,306.68
250,59946.75,244.78
300,47271.43,217.07
350,42285.16,205.39
400,36208.914,190.19
450,30080.398,173.4
500,26667.596,163.24
550,24917.396,157.79
600,23220.623,152.34
650,21498.666,146.48
700,20121.488,141.71
750,19471.2,139.42
800,19880.791,140.92
850,22899.006,150.83
900,20297.516,142.3
950,19834.547,140.63
1000,17679.424,132.76
1050,16508.684,128.34
1100,16610.07,128.67
1150,15493.533,124.38
1200,15467.577,124.26
1250,16204.707,127.17
1300,14770.094,121.42
1350,14236.342,119.18
1400,14283.461,119.39
1450,14595.716,120.63
1500,14540.743,120.39
1550,16556.373,128.55
1600,14390.882,119.67
1650,13774.329,117.3
1700,13013.953,114.02
1750,12934.573,113.67
1800,12712.095,112.64
1850,12193.413,110.37
1900,15249.89,123.21
1950,15399.75,124.03
2000,11822.4375,108.67
2050,12123.5,110.0
2100,12997.388,113.91
2150,11690.835,108.05
2200,11579.987,107.49
2250,10734.675,103.56
2300,11729.162,108.2
2350,10899.907,104.35
2400,10390.097,101.89
2450,10332.96,101.59
2500,11618.93,107.68
2550,16904.469,129.01
2600,11397.352,106.71
2650,10471.738,102.26
2700,11826.632,108.61
2750,9544.338,97.63
2800,9571.1875,97.77
2850,9798.067,98.92
2900,9865.219,99.28
2950,16883.826,129.32
3000,10291.307,101.34
3050,10264.282,101.23
3100,11450.224,106.9
3150,11225.814,105.87
3200,10975.269,104.65
3250,12110.957,109.54
3300,11578.397,107.51
3350,10916.751,104.42
3400,11365.564,106.52
3450,13262.559,115.1
3500,13706.232,116.77
3550,12673.531,112.39
3600,13001.176,113.71
3650,13789.237,116.77
3700,14727.96,121.07
3750,11734.081,108.25
3800,12079.068,109.87
3850,12698.558,112.4
3900,13890.85,117.63
3950,15308.737,123.34
4000,11666.078,107.92
4050,14702.618,120.8
4100,10817.738,103.79
4150,13995.703,118.16
4200,10345.46,101.63
4250,13795.975,117.32
4300,16643.775,128.5
4350,11037.93,104.86
4400,11270.045,106.09
4450,9219.681,95.92
4500,9591.752,97.89
4550,13553.652,115.79
4600,15496.138,124.2
4650,11694.093,107.87
4700,10572.54,102.73
4750,10879.054,104.17
4800,10180.123,100.78
4850,11737.049,108.17
4900,12423.859,111.17
4950,13843.0205,117.09
