iteration,trainRMSE
0,"[532.6208367215307, 532.8380143571524, 532.9703804155981, 533.014739523073, 533.0206049138259, 533.0264702400364, 533.0362558229139, 533.0507963988682, 533.169059596146, 533.3338670893098, 533.5583030245773, 533.6766125048349]"
50,"[496.23863007497584, 496.0945934603231, 496.1634871373021, 496.1911747062085, 496.1918207415079, 496.19332656029144, 496.1978196263076, 496.20686003276853, 496.3168980420065, 496.4761739952118, 496.701069798972, 496.8335689714713]"
100,"[443.19778262804766, 442.6768619476385, 442.6695788767048, 442.67245892671843, 442.66440669046983, 442.65808078429774, 442.65287949544654, 442.651805585682, 442.74613761702625, 442.8943572305571, 443.1148243819366, 443.24092978000687]"
150,"[374.6014924177164, 373.8917168219955, 373.81761015345603, 373.78392645953784, 373.7609522705785, 373.7400006132325, 373.71648774769955, 373.6961716415666, 373.75864069736963, 373.88271570332824, 374.0901510957132, 374.201517783793]"
200,"[306.9533775186566, 306.55696633637865, 306.47960176821226, 306.4358096464518, 306.4454473976396, 306.47827038441415, 306.52982579300954, 306.57087392810695, 306.6398930769487, 306.7952410494452, 307.04230102303995, 307.19790266436945]"
250,"[233.9751380728998, 237.71736865676158, 239.71291848716544, 241.345648418072, 243.38895844152577, 245.51674196249033, 247.32511816165461, 248.60862597580294, 249.4851832607109, 249.95162182830637, 250.129296767573, 250.21898358246168]"
300,"[201.80739478806052, 205.20284430424493, 208.9491235641899, 208.51027377763668, 206.8560979915335, 207.48946857443448, 212.97535983659125, 220.83757351743247, 227.3413129970159, 232.20010006134316, 235.57396801922008, 237.08367880979407]"
350,"[196.04533641879232, 202.7062297548558, 207.75804825432587, 210.82634141767917, 210.60862781888008, 204.60406642740224, 197.1230193787084, 192.96393442694264, 194.3971382256566, 202.35956323569062, 215.52159905479093, 229.72371192250483]"
400,"[181.2166655570336, 188.49898915252214, 195.22976369562187, 194.46977460528572, 192.78367545245445, 194.96623504479714, 195.38925973702666, 190.85998201049136, 183.79237119558354, 180.97630609842022, 185.16282311280352, 198.96960974642806]"
450,"[169.50659117188363, 173.63594743419588, 175.14452590599495, 174.6288046896764, 173.64772907092487, 173.6541651400131, 174.4169565896412, 173.67213507996277, 170.14116872517974, 168.08444189730508, 171.3424315756842, 182.88073833835162]"
500,"[156.5946122443446, 160.789157090257, 161.4036852486468, 161.38615799426876, 161.44497476454728, 163.25037903417916, 165.18785903021174, 165.047125900355, 162.18636987818454, 160.77047721943478, 164.516809498822, 176.24753873664227]"
550,"[151.25041626277863, 157.09036903571888, 159.22430025301904, 160.73113788017127, 159.10038771508763, 156.47504962129028, 157.95320973753377, 155.31942476076344, 152.8166129766552, 155.2442900932845, 160.60616951156356, 167.72739439580653]"
600,"[144.69831802407654, 151.9107492800829, 154.34728600732475, 153.1865223237184, 150.2329663539437, 151.32866779001165, 153.37987230825436, 151.94033611382852, 149.43638659936738, 151.4482837679841, 155.84150985867876, 160.28337841862336]"
650,"[138.12440459049034, 147.0006335004522, 148.81153232609896, 148.16555311427513, 142.87224776362117, 142.63811812349954, 144.28266629492154, 143.67195303359497, 141.7552510627038, 144.65226572661894, 151.2246006109871, 164.54853868118025]"
700,"[134.358259127211, 143.79264142802552, 143.62478433341394, 140.6302748373238, 136.80212665261163, 138.31517229989453, 139.90439144302536, 138.43020069765754, 137.64510487798998, 140.5797938016876, 147.04486387312417, 159.3536312241945]"
750,"[132.70616071493512, 143.01675619761244, 140.62312002778424, 138.02564650226526, 135.6687409977444, 137.13790241985262, 138.34623393293498, 135.97209520780157, 135.055444496502, 137.77880391028793, 143.530844263133, 155.1794375458272]"
800,"[132.70482618340884, 140.33977285812136, 139.56821686982124, 137.904132496308, 138.3725539654619, 140.99332236995303, 143.09102679668752, 140.2061461672683, 139.793801331883, 141.18604617222573, 144.33562822471393, 152.5802539076574]"
850,"[132.06609866194339, 141.37218947676095, 142.86225560898524, 140.19958818066277, 139.3965767823957, 144.38057475436867, 150.50723355157575, 155.6183189808705, 162.71880233655241, 169.6195292951044, 169.17301343921105, 162.05494887561633]"
900,"[132.03663538371455, 137.1648089261359, 136.05782756005408, 137.3817535414541, 141.85762286531005, 146.28488646727547, 145.34595170152303, 140.050997069855, 140.04210879172334, 143.29623120797365, 149.7051696888794, 158.42403752947888]"
950,"[125.62811851200287, 137.8012736842665, 138.83298601960675, 136.93474397736495, 135.53135824200436, 138.72671258043772, 141.97757981955252, 141.62884766196512, 141.56925330542796, 142.40403520083711, 147.28945432968618, 159.2263930723091]"
1000,"[124.18288166327203, 131.28962313802165, 130.29200742681832, 128.49326781234453, 128.23611201385197, 130.92187487426995, 133.11311513694784, 131.18926668141907, 129.81590597952888, 131.86750675358, 139.4033869339393, 154.27196839186755]"
