iteration,trainLoss,trainRMSE-avg
0,276339.97,525.68
10,241973.36,491.91
20,225842.4,475.23
30,209035.67,457.2
40,191073.19,437.12
50,172451.69,415.27
60,153713.5,392.06
70,135435.48,368.01
80,118177.43,343.77
90,103076.516,321.05
100,88992.016,298.31
110,76906.01,277.32
120,68531.42,261.77
130,59834.38,244.57
140,57358.12,239.44
150,53942.098,232.15
160,52300.59,228.53
170,50515.54,224.37
180,55152.47,234.5
190,53280.086,230.4
200,47460.305,217.45
210,46222.26,214.53
220,44014.926,209.29
230,45177.562,211.92
240,44847.35,211.28
250,42057.598,204.6
260,43084.184,207.06
270,43257.9,207.51
280,43656.6,208.3
290,40943.938,201.95
300,41821.72,204.24
310,41741.38,204.05
320,40309.17,200.4
330,42822.047,206.52
340,40938.043,201.94
350,37818.375,194.18
360,37266.984,192.69
370,35925.895,189.36
380,35446.086,188.18
390,34925.14,186.7
400,34299.066,185.04
410,35125.688,187.18
420,33668.04,183.32
430,32161.57,179.21
440,31037.076,176.02
450,30829.404,175.44
460,30442.086,174.27
470,31588.297,177.52
480,30893.41,175.54
490,30352.234,174.0
500,32154.73,178.8
510,40461.68,200.49
520,40870.15,201.08
530,30116.734,173.33
540,29357.744,171.16
550,31193.264,176.27
560,29142.596,170.52
570,29600.102,171.8
580,28695.969,169.21
590,28414.213,168.37
600,29099.553,170.3
610,27397.814,165.38
620,27263.352,164.96
630,29089.756,170.3
640,29624.059,171.73
650,28349.822,168.16
660,26967.227,164.07
670,26817.611,163.61
680,26463.062,162.5
690,26204.158,161.73
700,25901.23,160.76
710,25458.873,159.4
720,27060.004,164.28
730,27797.393,166.43
740,26617.682,162.95
750,26282.266,161.87
760,25210.709,158.62
770,24831.484,157.42
780,27601.559,165.68
790,25346.281,159.02
800,25022.582,158.01
810,25722.701,160.15
820,24216.072,155.46
830,24119.13,155.13
840,24186.773,155.35
850,23311.668,152.54
860,23779.19,154.06
870,24202.87,155.4
880,23084.473,151.77
890,23321.004,152.53
900,23164.74,152.04
910,23357.979,152.66
920,23037.701,151.6
930,22659.861,150.36
940,22500.314,149.83
950,22493.688,149.83
960,21932.297,147.95
970,21926.287,147.89
980,23964.104,154.6
990,22513.566,149.88
