iteration,trainRMSE
0,"[525.4248968894772, 525.6683861654824, 525.9564513802694, 526.1967101815453, 526.6963715125088, 526.9415329305673, 527.1673392893754, 527.4599122524711, 527.6550325411569, 527.7159079381224, 527.7595497197449, 527.7247722413324]"
10,"[517.172979359748, 503.2994427441092, 503.3638948064056, 503.50358514185126, 503.9549710870354, 504.182612334264, 504.39920533272664, 504.68772583073127, 504.8842715889185, 504.9596745314804, 505.02710458569277, 505.020787404746]"
20,"[511.7053751334999, 484.42938115926216, 485.5329112235769, 485.34008097724075, 485.76101910247, 485.9794674112148, 486.1905011407776, 486.4741298518024, 486.66015894401346, 486.71504510711134, 486.75433236674036, 486.7234432557806]"
30,"[505.01149304981533, 463.9758814027513, 462.9732490211791, 462.6148083801886, 463.00630536014137, 463.20961906177547, 463.4098881649646, 463.685021449165, 463.86450643341846, 463.91686603511005, 463.9571448887264, 463.9383474480735]"
40,"[493.7809067965038, 440.51303329085016, 438.682071667031, 438.066433580833, 438.4251505860728, 438.6167544728619, 438.805108380692, 439.06584401069136, 439.2297282527223, 439.2724598246613, 439.3055519211242, 439.2800716073335]"
50,"[483.28927605252846, 414.4269768889135, 411.5033332017263, 410.78013672674433, 411.12473412979176, 411.29441426152306, 411.45614708231045, 411.69673329833734, 411.84696390852423, 411.88158308062015, 411.90905809127935, 411.89763254311185]"
60,"[472.833414026661, 386.5048276656512, 382.40097992215027, 381.5550874865806, 381.8642581022038, 381.9999286004538, 382.13195755244124, 382.35473113930965, 382.4977422687187, 382.5233440655674, 382.5503908912313, 382.54671559329034]"
70,"[456.4841614355663, 358.4485934812057, 353.85084538170577, 352.8671771210637, 353.15391065136805, 353.25398993751327, 353.3485292988639, 353.54748346838915, 353.67934036359577, 353.70374619195513, 353.7259460783037, 353.7405747596227]"
80,"[424.3523120803389, 330.67020654774177, 326.9815136594339, 326.10886860017234, 326.3912646083136, 326.42538351233947, 326.40554926624327, 326.4847559494155, 326.5797021479612, 326.58963425826323, 326.61678858574004, 326.6531907754292]"
90,"[389.32017805843196, 304.3782673132893, 302.2581628021778, 301.7801183744876, 302.1557342801695, 302.20738446022153, 302.0993979881577, 302.01640782448226, 302.0040032952794, 301.97127553911946, 301.98584393995156, 302.05359122081785]"
100,"[364.4185808596099, 281.20167434937576, 281.9028743338398, 282.171482462024, 282.60719511433666, 282.55878099542696, 282.32571295668214, 282.1339791389426, 281.9654294496384, 281.90003255441627, 281.9342223858123, 282.0434610845572]"
110,"[332.270834244281, 265.118067451413, 269.5481952628143, 271.06544290268386, 271.689112338787, 271.6000645913662, 271.4601775587161, 271.3676263788223, 271.2482972454528, 271.2883228379493, 271.40183359151587, 271.5783789238488]"
120,"[311.178669404134, 259.1480487123985, 266.5715388847618, 269.0996649249048, 269.66693220295286, 269.5776932926388, 269.5830654943921, 269.64708383885306, 269.612148297158, 269.7479869567235, 269.9558037371411, 270.2215131182003]"
130,"[306.13179766640957, 253.94930505625, 261.4733123848987, 264.0922312319612, 265.1310790542406, 265.6725577292707, 265.82817564186263, 265.86896899324597, 265.71981722655255, 265.7509164767023, 265.8418744238934, 266.127779887599]"
140,"[301.4104350138288, 249.4923813342157, 253.19401133368066, 256.9721038483192, 260.31737562780114, 261.83639469907325, 262.4490737102654, 262.6580856216206, 262.6799592114427, 262.8235644321398, 263.0865206943195, 263.6180695704401]"
150,"[303.8963603244467, 252.74467876406717, 250.27696123599478, 249.66955514137027, 251.51419252452789, 254.41878295414173, 257.2225174065876, 259.2851286628097, 260.48638102044333, 260.8174188999668, 260.64887055320224, 260.5674047079285]"
160,"[300.3276331008389, 245.25246346801697, 241.85988377971069, 243.10116391183632, 246.545661814628, 250.09151963438322, 253.03738425926784, 255.00804617543477, 255.89788453952, 256.20948641912236, 256.3331081027835, 256.8081369477688]"
