iteration,trainLoss,trainRMSE-avg
0,221399.28,470.53
5,80780.266,284.21
10,66799.82,258.36
15,58769.977,242.37
20,56402.805,237.36
25,53822.652,231.79
30,51715.715,227.06
35,49163.28,220.96
40,46440.36,214.25
45,42800.344,206.12
50,61056.535,246.32
55,47617.74,217.08
60,46453.816,214.5
65,45045.027,211.6
70,52488.715,228.62
75,42770.695,205.91
80,40841.43,200.63
85,36341.445,190.35
90,35751.254,188.75
95,33448.586,182.68
100,51597.48,226.35
105,40773.246,200.96
110,58961.96,240.68
115,44423.887,209.54
120,40164.945,199.85
125,41916.11,203.17
130,38556.53,194.75
135,40053.836,198.2
140,31591.521,177.36
145,30649.59,174.77
150,39558.95,197.46
155,44893.33,211.36
160,38619.2,195.97
165,35906.8,188.51
170,32446.182,179.71
175,43165.582,205.1
180,29533.92,171.22
185,32771.113,180.29
190,27329.031,165.02
195,27792.111,166.42
200,34599.047,183.95
205,26780.895,163.38
210,25333.943,159.05
215,45009.598,211.32
220,29302.732,170.85
225,29381.99,170.68
230,27598.521,165.48
235,25740.527,160.15
240,24277.537,155.61
245,23795.209,154.18
250,24371.312,155.93
255,23603.316,153.41
260,26891.934,163.41
265,24504.682,156.28
270,24225.12,155.44
275,24714.1,157.12
280,23185.826,152.15
285,21707.22,147.29
290,21958.488,148.13
295,23506.059,153.17
300,23657.99,153.74
305,21554.203,146.77
310,21713.498,147.21
315,21116.19,145.23
320,20181.68,142.02
325,21045.053,145.02
330,20018.428,141.45
335,19242.258,138.67
340,21428.307,146.23
345,22778.857,150.62
350,20144.594,141.89
355,24309.07,155.6
360,23242.143,152.15
365,20854.838,144.31
370,19291.09,138.83
375,19372.19,139.13
380,18713.26,136.73
385,19053.098,137.99
390,19101.34,138.15
395,18063.139,134.35
400,17505.008,132.28
405,16804.355,129.6
410,16204.857,127.24
415,16034.294,126.57
420,21576.021,146.59
425,26602.912,161.32
430,18929.635,137.39
435,21490.715,146.36
440,17609.182,132.6
445,15867.123,125.91
450,16715.271,129.16
455,15500.653,124.45
460,15610.933,124.79
465,17417.191,131.81
470,14672.046,121.02
475,16844.633,129.44
480,14289.786,119.43
485,16006.942,126.36
490,14042.18,118.33
495,14931.417,122.04
