iteration,trainRMSE
0,"[471.7638345145347, 471.0925121786917, 470.5903776537585, 470.37078253406986, 470.3113711689423, 470.31314089489115, 470.2890188658128, 470.2077668748927, 470.13852972678774, 470.2437761807123, 470.39051866576443, 470.6530020209171]"
5,"[279.1726116238399, 284.2676612979811, 284.7043809648989, 284.72818931422375, 284.7132246723851, 284.7249904583905, 284.7528309035482, 284.7882364533237, 284.7243757033231, 284.68838632276055, 284.6482411608592, 284.65530760596164]"
10,"[242.06843510125913, 256.09922504877187, 267.97507592804595, 264.1987286385354, 256.98096495447913, 254.5074201568091, 254.15631133466172, 255.66841680741433, 257.584918307108, 259.71177959023146, 263.0017434080647, 268.42614623251933]"
15,"[225.99653431670015, 238.51354633469225, 242.58812916688623, 242.35625233978757, 242.82104332615506, 243.80846086926817, 244.50585223931924, 245.03480538397886, 245.52136223708084, 245.795848052881, 245.68297157679413, 245.76372751818138]"
20,"[214.59363347987266, 228.7904440452687, 235.58120558647707, 238.16732524087507, 240.45439772885962, 241.98571085622206, 242.49300647837384, 242.19077699781536, 241.65124369962325, 240.96581148892213, 240.61687278198718, 240.87272808103324]"
25,"[201.63848926266093, 223.19858879965966, 233.4978581979788, 234.60735062476962, 234.79550154966896, 235.16624787906406, 235.6464588872375, 235.93182562046763, 236.14237432892838, 236.48431265103093, 236.86422910040724, 237.51110505471263]"
30,"[194.98132391133817, 207.30391173671785, 221.15722949141696, 227.35332535888358, 230.32116390586842, 232.58729789611957, 234.2250107685648, 234.82225238414904, 235.2403364169829, 235.34441950004643, 235.47248039868785, 235.94639032736688]"
35,"[181.99592069269485, 194.21017424528284, 203.99114058612213, 210.86357417299791, 217.62586877326783, 226.07006013081653, 232.7258101448774, 236.20430795553523, 236.50926807279117, 236.6770781642701, 237.01225961747357, 237.67158475146422]"
40,"[179.82370392762024, 184.86672570935593, 190.06312943699032, 192.30462266504594, 198.04310741068727, 210.94901594247636, 224.25199781798955, 232.26081008406834, 235.87122963275453, 238.41995603148328, 240.9924419479675, 243.20777530163312]"
45,"[175.05627250874727, 182.86680250586795, 189.95254227524723, 193.05137191406135, 196.36355555718436, 203.5265697914341, 211.01224629895773, 219.15693782444484, 223.70263202238132, 226.04867490624795, 226.15792929594426, 226.57618551049467]"
50,"[205.63042847500805, 248.68656630683054, 280.3007207289076, 279.8758481898205, 261.39300458635563, 239.8655650217253, 234.3890518265638, 237.44830347658856, 237.63424775515995, 238.14379953103966, 241.78041380255422, 250.64485314525322]"
55,"[176.2453662620515, 188.502512369701, 193.70619865762106, 196.82536544499936, 207.01722575722607, 221.96781403287557, 234.02199057529353, 237.68106430420028, 236.64793687454872, 236.28284812073085, 237.31990700165238, 238.77200431904532]"
60,"[174.7189332128933, 186.760510257949, 194.88391805789564, 199.91331975968316, 204.13221529056756, 212.87123617543625, 225.5375283329064, 234.61923118835082, 236.29025920797847, 235.02335330731023, 233.8162535093028, 235.48308616124706]"
65,"[177.0039340039092, 188.93650016926418, 197.21378904437944, 202.0320012182155, 207.21399843234985, 214.0537235472602, 222.56695988033192, 226.79656738337476, 224.5705779479164, 223.51968387792365, 225.83096247752354, 229.5096065646272]"
70,"[189.23022491010252, 207.8615972306785, 224.59562619297125, 228.79952317438256, 229.18192597668443, 231.19713179942067, 237.90386212643986, 242.20823247443113, 241.84403933479152, 239.4972451941093, 236.5583116535818, 234.53106219261122]"
75,"[172.47512115921506, 179.42299717045242, 186.27942109078407, 190.89097333719502, 195.7791444460089, 205.57308162200997, 219.31800478965172, 228.48351683700398, 226.65721571905385, 221.10887044303146, 220.9653784412206, 224.00740166459002]"
80,"[172.0761184632975, 174.52230990616738, 176.3576267667457, 176.02666220106408, 179.56410079739206, 191.17647317277678, 205.3254998647174, 213.35591015832233, 218.64773867319602, 226.13801791577495, 233.64510516563254, 240.68435405640864]"
85,"[171.70301347948796, 176.9021923162909, 181.5824375341113, 182.66634180682703, 183.66735958089865, 190.9053919275116, 200.5688244659033, 205.15081675931646, 202.9530788437773, 196.44578427383638, 193.2036586724743, 198.42781959857615]"
90,"[169.68476351296755, 172.62221082414447, 177.0618811289177, 179.5675785727363, 183.9917762587168, 192.3505382542635, 199.2906833218024, 200.0297336395001, 196.18477429177972, 193.64496841680284, 196.87566388360477, 203.701935820637]"
95,"[168.25946526982747, 171.72882103764516, 175.29408797652613, 174.7871467340107, 176.59316201852633, 183.9027166270374, 191.93954587809324, 194.72625625437976, 190.76760040122383, 186.21634006571503, 185.4236213821541, 192.56432667028213]"
100,"[189.11212919037288, 193.76395525728972, 211.31979388675325, 232.68689602666268, 247.09261844888346, 250.8746299989328, 244.50407601638557, 230.13941542554747, 218.50805530199722, 224.46382853185236, 236.21851351463928, 237.46265172317868]"
105,"[178.46292986918147, 176.70472760458816, 180.7900838390154, 183.25743009232596, 187.21095258252163, 195.32991373656867, 204.9040526903125, 209.46342132146458, 211.69680388262464, 217.22081863683124, 227.1358122901208, 239.32687837038287]"
110,"[181.92844280499213, 194.50707878053458, 213.68401029244563, 245.3775121861055, 282.6403243006867, 292.2364900305227, 276.6164309082874, 253.81561572486942, 234.24743211931244, 230.04895875570182, 238.66266966478028, 244.44665629554402]"
115,"[170.82060202050064, 177.37881884209807, 183.7869743597906, 190.87126478759592, 201.69529309284383, 212.9748720385617, 219.5761471721747, 224.7763649756246, 229.37509323340788, 232.31528516391768, 234.208039554445, 236.67199018555445]"
120,"[173.8720466434473, 178.8570686323634, 184.91261233619778, 188.794480961241, 194.77813389407893, 201.3278590667602, 206.53231510744405, 208.5595025880759, 208.81432220233287, 211.03298136947154, 216.87503743462065, 223.870957698048]"
125,"[164.42794500816532, 173.80806437366692, 178.8805640563463, 181.70727444387964, 186.8984987900161, 196.3738264696871, 208.7702874764449, 216.98354937292336, 221.7276897605489, 228.58732895083935, 236.61656172749417, 243.23199010663538]"
130,"[162.57243704504572, 166.51972064620293, 168.76771868694968, 170.66650076160568, 176.82984228734935, 186.93892702297669, 198.7958998357343, 206.19775071736586, 213.42799629688193, 221.00120172588416, 229.23469894020326, 236.02909244525884]"
135,"[159.2700752970268, 167.66936665233234, 172.76974214060712, 174.37343186375065, 179.4034724801947, 188.77745473898173, 200.1631597977611, 208.765521899389, 217.04191397399495, 226.09964551201176, 236.9457870893824, 247.1058675833081]"
140,"[161.90321259583874, 164.65763318357838, 167.0182150513714, 169.55276283990477, 173.42143957844746, 178.1536331323678, 180.4410650893378, 177.86359718303748, 176.70442498797004, 181.42223502392187, 192.21736669214363, 205.01041197601282]"
145,"[160.67010335564396, 161.13573643873244, 162.6814217470304, 164.32728935474216, 167.6365321915406, 174.89051874125866, 182.69521389091267, 185.65624901041463, 185.19860473937896, 182.06601560672232, 181.81353233122888, 188.42153674085378]"
150,"[163.48542423300879, 171.28582447895275, 173.3828492366904, 174.34130758957858, 178.13796885775537, 190.98421698913862, 208.30103562302438, 215.1895673417052, 215.070465625225, 217.61189413165482, 224.39099876773966, 237.3017962004823]"
155,"[184.16587433937855, 189.33601134681328, 197.33319123918835, 201.10850549633645, 209.05645968829768, 221.80272611781695, 227.99249089381286, 222.21465320506795, 213.02892801404334, 213.75314895241291, 224.0117453689752, 232.48435374057033]"
160,"[174.94524888343983, 177.69809907466828, 180.80725695434882, 183.588159672519, 188.09773879072526, 195.02221171431844, 202.4819380911897, 204.1872738308774, 202.86563920975297, 204.43065853325155, 212.2651908370517, 225.24678279604544]"
165,"[159.42752510650791, 163.44825162481038, 169.8634643705053, 173.98708947602523, 180.14331156892595, 188.91119376382875, 195.18696312337656, 195.37315763236958, 195.56359563188815, 200.99673086417903, 212.62607724023343, 226.61566446319975]"
170,"[160.4282901430915, 161.92610999895393, 164.74119574496882, 169.38309901963444, 177.09420112487723, 185.89748962606288, 194.97110549760072, 193.3456576724292, 185.25649366290648, 182.8506786318177, 186.1283360437737, 194.53659427318317]"
175,"[161.05139627430518, 163.82872341856012, 168.0349201066838, 174.90963261972232, 185.87194672192157, 200.74336763265032, 213.22195703655981, 219.28072213760888, 227.2956475421, 236.2864022934484, 247.800624311357, 262.83017072778676]"
180,"[155.38025027860192, 156.49729939437518, 158.4485652966725, 159.40689703904573, 162.5622498860013, 169.016557559492, 173.72517213139957, 172.26393786571683, 171.38971480322576, 177.796099276401, 191.11550177055315, 207.09763990358232]"
185,"[158.48293710084266, 160.8937875272503, 164.7342430645223, 168.5827238154854, 174.33778257580843, 181.47759673314118, 185.69591950160043, 182.10589950300295, 180.56159826045467, 187.7237606459798, 201.97342793172808, 216.96932603588147]"
190,"[152.4630925735043, 154.48781095946717, 156.12082987094567, 156.69595273269428, 158.58239612442358, 163.28695633497543, 168.46452391416915, 169.45317457671737, 168.8009045800946, 168.80182424731112, 174.82626588656683, 188.26697364334422]"
195,"[154.43750069680033, 157.4723045797951, 157.67279272112643, 156.5480955082181, 157.8162869536561, 163.23429213088346, 169.70002215192198, 171.71944248954006, 170.7436823686532, 172.1817996450565, 178.0235616560963, 187.48827544447596]"
200,"[155.28936255019408, 156.13763279650505, 157.4129926760164, 158.8105937333433, 163.06100975054193, 171.1920587270262, 181.35261699654396, 189.9456893024082, 200.0138641505148, 212.06084232542074, 224.23653793018272, 237.83698614720453]"
