iteration,trainLoss,trainRMSE-avg
0,219140.27,468.12
5,193886.44,440.32
10,186604.61,431.98
15,179318.67,423.46
20,171695.64,414.36
25,163764.38,404.68
30,155596.14,394.46
35,147285.33,383.78
40,138920.7,372.72
45,130576.25,361.35
50,122441.26,349.91
55,114621.94,338.56
60,107244.805,327.48
65,100434.13,316.91
70,94387.27,307.22
75,89205.8,298.67
80,85106.25,291.73
85,82378.4,287.01
90,80809.11,284.27
95,80692.44,284.06
100,80805.54,284.25
105,78633.445,280.4
110,76108.22,275.82
115,72433.73,269.03
120,68326.3,261.26
125,63691.77,252.25
130,60076.555,244.97
135,58062.414,240.8
140,55950.305,236.24
145,52835.613,229.42
150,50959.56,225.26
155,48603.21,219.48
160,47118.703,216.51
165,45288.0,211.24
170,41936.543,203.77
175,41223.316,202.12
180,39212.8,196.96
185,38976.91,195.99
190,44522.555,209.57
195,49801.504,221.87
200,43712.887,207.35
205,45957.117,212.0
210,46183.51,213.15
215,37668.75,192.53
220,41311.098,202.2
225,36304.074,189.61
230,32191.713,179.22
235,39405.555,196.64
240,48536.05,219.15
245,37585.527,192.59
250,39089.344,196.52
255,38879.816,195.76
260,29618.479,171.88
265,34376.555,184.51
270,28284.654,168.0
275,40034.676,197.57
280,34331.98,184.55
285,45674.617,209.7
290,37147.875,192.36
295,30916.002,175.62
300,40375.906,198.94
305,28053.727,167.26
310,27222.74,164.89
315,25944.244,160.95
320,28064.234,166.92
325,25434.117,159.34
330,26039.709,161.15
335,30619.723,174.0
340,25408.12,159.17
345,27103.783,164.23
350,24281.799,155.69
355,24270.738,155.62
360,23450.957,153.0
365,23165.756,152.05
370,24190.191,155.31
375,23405.102,152.87
380,22733.236,150.63
385,23994.896,154.65
390,22076.924,148.44
395,21704.531,147.19
400,22289.27,149.13
405,20781.916,144.04
410,21236.545,145.6
415,22402.256,149.46
420,22597.635,150.08
425,20983.047,144.71
430,20350.592,142.53
435,19559.72,139.76
440,19411.691,139.2
445,19436.947,139.28
450,18797.96,137.02
455,19327.363,138.8
460,18352.504,135.35
465,20323.986,142.31
470,18098.133,134.44
475,17465.238,132.04
480,17969.582,133.92
485,17948.654,133.79
490,17472.33,132.04
495,16735.283,129.27
