iteration,trainRMSE
0,"[467.16972455681116, 467.23988411669706, 467.5146379007047, 467.7063943375818, 467.9306637956728, 468.0471400841546, 468.2305792611016, 468.40378081478127, 468.56928408236615, 468.6790166056048, 468.6923369050975, 468.684040729097]"
10,"[456.1570592313393, 454.97440371306857, 454.99359920132343, 455.13255562841823, 455.3414315673983, 455.45319338489435, 455.6365350995113, 455.81346718092635, 455.98655163481953, 456.10436515320134, 456.12734715162986, 456.12879107326165]"
20,"[443.606629220915, 441.8255150293442, 441.7318743269837, 441.85583183211526, 442.0590541284079, 442.16586557480673, 442.3439515503457, 442.5162461786352, 442.68562322367706, 442.79841474319454, 442.8181628321328, 442.8187512630803]"
30,"[428.7782462939124, 426.1967731324199, 425.97996231269786, 426.0827868226008, 426.27773021373383, 426.3778400945958, 426.5489486860325, 426.71512779251503, 426.87959966038716, 426.9858218930542, 427.001381578167, 427.0008855865161]"
40,"[411.17639370305284, 408.51362620055306, 408.3256126572629, 408.4245817400344, 408.610788522938, 408.7022261148117, 408.8641661886732, 409.0223400354442, 409.1803574979199, 409.2781675742203, 409.2884372404187, 409.28656538090456]"
50,"[392.04936156290694, 388.9929767017372, 388.73009476406503, 388.8088985758445, 388.9822680174335, 389.062682720002, 389.2130646689296, 389.36094701945626, 389.51050375239447, 389.5975635791952, 389.60117618540016, 389.59777177901634]"
60,"[371.39925419187654, 368.08273538556307, 367.7325637511193, 367.7862532225736, 367.94293740244035, 368.00895328759515, 368.1440437578086, 368.27888121509056, 368.41737371569377, 368.4910529840006, 368.4866272497256, 368.4828211431653]"
70,"[349.55681292060893, 346.56961174412334, 346.14481566795837, 346.1724950616945, 346.30780145547516, 346.3571879703268, 346.4705245626109, 346.5861387084824, 346.7100181506065, 346.76681642780005, 346.7538135761114, 346.7483879510637]"
80,"[326.76432163291423, 325.30744478287795, 325.00609535451775, 325.07267049100045, 325.21983158678773, 325.2478059894701, 325.3182342295791, 325.39404325009457, 325.487959956119, 325.5153698723787, 325.49317830345234, 325.50191290120773]"
90,"[303.78816215951565, 304.2523888743271, 305.39598176743897, 305.59715507777787, 305.7226531323386, 305.7414977167683, 305.8028311464308, 305.86878475294856, 305.9509071239579, 305.9611833932982, 305.93319512750793, 305.947073791598]"
100,"[280.18246969479566, 285.878629892456, 288.8968469236028, 289.61585060720245, 290.02871638293806, 290.411208859358, 290.75925813095205, 290.94508166748625, 291.07176395414393, 291.11055186789497, 291.1635638087219, 291.2947540003782]"
110,"[264.72986714982585, 264.37463607791506, 265.45815724593757, 265.65164689705756, 266.2251728322288, 266.54445447099016, 267.20961610994186, 267.4470056012822, 267.9871874805025, 268.31464419687603, 268.700193277628, 269.36430284516564]"
120,"[246.09180300816428, 248.64718402035493, 250.49104871788674, 250.72671893171426, 251.06346411884536, 251.41841033883088, 251.8419355848155, 252.32031213365414, 252.7246345907158, 253.10803794396142, 253.45024117467474, 254.04149374482054]"
130,"[223.5155825305657, 231.21425007179522, 236.69247850606013, 237.16681872837594, 237.4011504067754, 238.09587753374478, 238.82912667961853, 239.49823236411174, 239.87023166213706, 240.24156224233954, 240.98544914826056, 242.40417430728635]"
140,"[205.6681553101313, 216.22854627142462, 221.86032491337244, 224.5049149977444, 226.56575539904608, 229.23874718068043, 231.8934151795501, 234.2204658528791, 235.9948736055108, 236.879970926725, 237.42340220253865, 237.79765267301988]"
150,"[192.28628656673828, 201.68409432064854, 209.2617524001817, 216.2717505402454, 223.28902076033654, 227.0382003840555, 228.73717604190753, 230.5915312229766, 232.68327241869278, 234.72798030865474, 236.3163966854481, 237.8577915243416]"
160,"[189.7426619030781, 200.73959572727483, 203.80770236278772, 204.579514256377, 208.02734663560358, 213.29665930263954, 218.41337800641062, 222.87852690544725, 227.3196441358184, 231.77221572998513, 234.8944671617471, 236.81018894240302]"
170,"[190.05041849008379, 205.1989786592112, 209.17850710096053, 208.4384487980529, 208.6849571360402, 210.31340251958764, 212.2430738019894, 212.75246461551646, 212.13839198510303, 212.34928795936, 215.4312875338193, 221.36360635748395]"
180,"[208.32397190052964, 233.53334571959803, 246.57046142627354, 247.79344919606092, 241.27646726347604, 232.4146980169059, 226.6555126267541, 225.50253679203092, 224.15249084725775, 223.49577991653172, 224.47929042826527, 227.70010614555378]"
190,"[189.84301210404064, 199.1761966653662, 202.611802980868, 200.30090893536527, 198.86064131834942, 200.60614116810262, 205.8658673504786, 212.02042887785876, 217.72455449783627, 223.6409712647677, 228.68935846212682, 234.10539993954856]"
200,"[183.03485365533388, 191.63541733110708, 195.79075011289652, 197.79095330086284, 201.47580146259043, 205.3589741630903, 208.1365224598505, 209.76527450785585, 209.51000796873095, 209.7816265077879, 213.854898645411, 221.0115730829403]"
210,"[185.2615071934897, 191.81115974628673, 192.76319494196278, 189.92644727852522, 188.08072770001397, 191.08449243033996, 195.68065111597957, 199.17740550031584, 203.0334495062859, 206.22422142103608, 210.24954951201613, 217.02475321850352]"
220,"[182.15574292346517, 193.15625775388494, 196.38358309703122, 196.12908473901584, 197.18359650450014, 200.82961573584782, 205.39196015741427, 209.10345686719387, 211.2081304278654, 211.604267660353, 214.31608509851387, 221.4118181688967]"
230,"[182.14169309865625, 186.52556300285025, 187.8291786736898, 189.09362523862842, 192.58521204282417, 196.1126118402314, 198.35705762621305, 199.8166293182427, 199.85448232632106, 198.21655153193808, 200.99551323205523, 208.15105879313688]"
240,"[175.68715339508688, 180.676389213321, 182.42858351983554, 181.54074720905402, 184.09552754462064, 188.73417012566242, 192.13520868191816, 194.54804564021774, 195.68566707559586, 195.31750891931483, 198.2614571576683, 205.71445999200276]"
250,"[173.29379852838667, 178.21054481974605, 180.24356051651958, 179.2536788860237, 180.18249251027598, 184.92930764951882, 189.69842534582097, 192.71915008328116, 193.8487658986111, 191.89566013623534, 192.518336559989, 199.91113745792399]"
260,"[172.3899061341656, 177.12849129748665, 180.35496436882997, 181.1772190791963, 182.47343421425805, 187.60342908172842, 193.07283665360342, 197.51128389802787, 197.2823139326774, 194.94977115186813, 194.40128738915334, 199.39562568455918]"
270,"[172.55150709969126, 178.76652097997098, 182.29175067470126, 182.48999414138913, 183.89973842889515, 188.5794948816529, 193.68981939643768, 196.08370880697055, 195.0927097374705, 194.47284867363842, 195.65935606247155, 201.33519302279163]"
280,"[168.1560046823115, 171.00937189561833, 172.38168146639399, 173.30300362389207, 176.11955999100763, 182.1856845491237, 186.257313540591, 187.37039746955125, 186.36130310713563, 184.42241286690574, 186.5197193204516, 196.49071265201601]"
290,"[172.13071894303388, 174.2162985338778, 178.42728220103717, 184.69139879936017, 191.1552590534117, 196.13935543595775, 197.08787010636954, 196.02275282924776, 192.5397035378648, 189.46522223479926, 193.06351163217454, 203.86053938960663]"
