iteration,trainLoss,trainRMSE-avg
0,41628.223,204.03
5,31919.975,178.66
10,31617.889,177.81
15,31567.543,177.67
20,31305.428,176.93
25,31021.373,176.12
30,30664.748,175.11
35,30169.395,173.69
40,29423.852,171.53
45,29085.19,170.54
50,28551.773,168.97
55,28068.65,167.53
60,27654.318,166.29
65,27603.93,166.13
70,27241.61,165.04
75,27097.26,164.61
80,27024.375,164.37
85,26853.258,163.85
90,26477.506,162.71
95,26214.205,161.9
100,26076.93,161.47
105,25799.951,160.61
110,25647.1,160.14
115,25367.7,159.26
120,25181.941,158.68
125,25709.875,160.33
130,24971.16,158.01
135,24751.834,157.32
140,24549.396,156.67
145,24360.088,156.06
150,24166.607,155.44
155,23943.771,154.72
160,23605.934,153.62
165,23264.002,152.51
170,23004.545,151.66
175,23285.438,152.58
180,22683.701,150.58
185,22644.602,150.45
190,22258.312,149.16
195,21853.115,147.8
200,21756.125,147.46
205,21367.967,146.15
210,21481.586,146.53
215,20758.525,144.05
220,20482.887,143.1
225,20071.941,141.66
230,19960.96,141.27
235,19474.732,139.53
240,19023.3,137.91
245,19721.807,140.39
250,19359.885,139.11
255,18474.637,135.9
260,18672.793,136.63
265,20189.264,141.99
270,18578.283,136.29
275,17687.463,132.98
280,18000.197,134.14
285,18556.125,136.21
290,17783.15,133.34
295,17462.393,132.13
300,16963.812,130.22
305,16715.307,129.27
310,16798.303,129.6
315,15876.517,125.99
320,15641.0205,125.05
325,16369.186,127.92
330,15400.179,124.08
335,15365.585,123.94
340,15236.35,123.42
345,14785.91,121.57
350,14751.243,121.43
355,14371.513,119.85
360,14367.285,119.76
365,14148.472,118.93
370,13447.692,115.95
375,13627.445,116.73
380,13122.004,114.54
385,13119.422,114.5
390,12371.834,111.2
395,12248.641,110.65
400,12338.77,111.05
405,11861.33,108.88
410,11939.694,109.24
415,12036.717,109.67
420,12200.578,110.41
425,11867.609,108.91
430,11749.05,108.36
435,11058.409,105.13
440,10888.12,104.32
445,10449.528,102.19
450,10329.434,101.61
455,10118.51,100.55
460,10278.426,101.33
465,9997.147,99.96
470,10666.245,103.13
475,10730.3125,103.54
480,10450.672,102.19
485,9973.32,99.85
490,9627.612,98.1
495,9479.863,97.32
