iteration,trainRMSE
0,"[204.2115555149151, 204.4600796109505, 204.53469130729673, 204.57041945838364, 204.58621994719041, 204.55636011091994, 204.40223540844153, 204.08079043527744, 203.69252583233262, 203.18296335573154, 203.040310853568, 203.02717209830848]"
5,"[179.8948360812124, 179.14404649467184, 179.00296545038705, 178.97171440772902, 178.96344695486803, 178.9612725221819, 178.85693404514979, 178.5710543795442, 178.24716492384619, 177.8368180313456, 177.74045412758787, 177.72776996606802]"
10,"[178.06600698306772, 178.18561265661813, 178.19501370885206, 178.19880724639373, 178.2005798482182, 178.20261366002464, 178.10907937289807, 177.83734654812696, 177.52978141630786, 177.13768543200726, 177.05077763237136, 177.04004196633534]"
15,"[176.7320502550767, 178.0207475176289, 178.14131527877393, 178.15885828813475, 178.16236523883776, 178.1648259682294, 178.0787029902091, 177.8179417357274, 177.52240350829908, 177.1431017677029, 177.06258003895647, 177.05315176141193]"
20,"[172.9716702730962, 175.4119675833108, 176.98883338476355, 177.63770727569528, 177.84256485891947, 177.91249159998313, 177.93468073464922, 177.74767057358864, 177.4852119632564, 177.1164690868192, 177.04409074248002, 177.03621448094722]"
25,"[172.1748243569506, 174.48720922171267, 175.64620258340176, 176.45986467090933, 176.82259604796033, 176.98401556603892, 177.14214599938228, 177.07751428269563, 176.89346451735318, 176.54626689606528, 176.61014250395672, 176.6297014480572]"
30,"[171.49753028265485, 173.46453710563023, 174.5464854865115, 175.3295295826342, 175.65197978731277, 175.9154003664034, 176.12286006989478, 175.9251491132254, 175.65391671031432, 175.5345051491625, 175.73989264268303, 175.9146212150652]"
35,"[170.20637895925486, 172.1717035472927, 172.70469332439924, 173.13002766552594, 173.49287098062672, 174.08097781574784, 174.34953412313473, 174.47988312725852, 174.6048591169304, 174.52999893472023, 175.1083145388944, 175.38551415932363]"
40,"[169.62417182441197, 171.55697726322282, 171.56391648066807, 171.43094143460462, 171.24176988218213, 171.20005977853825, 170.9414818609538, 170.93489415789503, 171.3313538569883, 171.5714287104699, 172.89995343525817, 174.06291890266218]"
45,"[167.718202700446, 169.87402077072872, 170.07570722679043, 170.05908596577794, 170.142776107476, 170.15507346480277, 169.8838270862509, 169.88646257426495, 170.31664883254015, 170.89626308459194, 172.90663418009936, 174.50916486150294]"
50,"[166.57275630773574, 169.12887013155046, 168.98481683054843, 168.95557008718387, 168.92260939034998, 168.84511568491067, 168.4184206825505, 168.25034866935775, 168.1987496052917, 168.77756157416977, 170.5923550702875, 171.96003119141076]"
55,"[165.11505116737013, 167.79484902741663, 167.7434192740858, 167.63034205024636, 167.24430184676393, 166.77794795895304, 166.57699557265784, 166.70665747531496, 166.64254397349333, 167.3146120424045, 169.59744316828863, 171.20961373930618]"
60,"[164.16900138084412, 166.93312936338518, 166.44223179775193, 166.08735791474172, 166.11476784788363, 165.65973233578507, 165.1800659269124, 165.27845301411566, 165.4912897636633, 166.22004994799047, 167.92257966113473, 169.9676194458195]"
65,"[163.0909380596083, 165.96652422156617, 165.68326002220064, 165.0380587208899, 164.96479474657028, 164.6829837249036, 164.66686609157418, 165.198258633656, 165.76692362811164, 167.41794865924498, 169.63100986813902, 171.43541231944513]"
70,"[162.63779537265157, 165.51774531397032, 164.99810632471733, 164.6602682067644, 164.48746811668832, 164.22235641882153, 163.83545213476236, 163.92909647597182, 164.29832158221157, 165.7134059640762, 167.3406001858886, 168.8598844592174]"
75,"[161.96530027358185, 164.95136895187525, 164.54997229934892, 164.51752450517557, 164.6884938989237, 164.43118823092962, 164.0725719838747, 163.97762902604413, 163.19644391268938, 164.74682716661104, 166.2517087767478, 167.91713143004324]"
80,"[160.91512429885344, 164.49954457525064, 164.2617414667111, 163.79681684810302, 163.28156525908463, 162.79024211980715, 162.9260319226624, 163.38495015350898, 163.9623221034756, 165.28088316682835, 167.3540598448711, 170.04078996169008]"
85,"[160.2743735206276, 163.55469463891336, 162.72342081079853, 162.97820234667572, 162.89695951570624, 162.40430609996355, 162.11674346870944, 162.80899237787244, 163.38938818638312, 165.38261480085438, 167.58083916644708, 170.07722000117914]"
90,"[160.06583197159708, 163.2932107876775, 162.43571098813146, 162.2483579742899, 162.30410822646476, 161.85295616658533, 161.9231037150268, 162.20112006842083, 161.89267232123063, 162.78132267869688, 164.60344239976342, 166.9188525475156]"
95,"[159.50858033477766, 162.37326879982788, 161.36619337252108, 161.34062353782667, 161.560726771586, 161.33354969895083, 161.0312738006058, 161.11123149235692, 160.85071051513907, 161.80045801890913, 164.0259911738876, 166.47382399145042]"
100,"[158.97796692977906, 161.8072432662494, 161.0870318926292, 160.66554935831772, 160.63043637097968, 160.51600595949932, 160.21872297415763, 160.14384405418235, 160.3103037829798, 162.3938926493162, 164.11955476937348, 166.76704400028527]"
105,"[158.42235931934704, 161.16130826032813, 160.51157705502933, 159.9868356281555, 159.8145867627186, 159.39810573530863, 159.04638122059094, 159.32559911434706, 159.49998495038957, 161.18536406041443, 163.2670356044268, 165.7078191371041]"
