iteration,trainRMSE
0,"[210.19487818735627, 210.1683600594937, 210.00922313828676, 209.9273903032641, 209.8701594019449, 209.80804325259368, 209.80442822859501, 209.66978886701358, 209.3201617885198, 208.89829194435447, 208.40339511519502, 208.25697977178515]"
10,"[192.09527866690289, 191.23987648157723, 191.11717171479128, 191.09880883001853, 191.09709350673026, 191.0991611299536, 191.0996740720384, 190.96316891933594, 190.63253160665488, 190.2597148217584, 189.79981080754987, 189.67917332660946]"
20,"[186.2229444407971, 185.8156914988891, 185.72965689689212, 185.70757422057522, 185.69685518881812, 185.68848767208047, 185.67758016139513, 185.54531359279795, 185.22856025530794, 184.88264073990646, 184.43847913857408, 184.33275586184817]"
30,"[181.64600968482569, 182.42888538666773, 182.493178046743, 182.50762196603586, 182.5106879104708, 182.51107362075686, 182.50454539140497, 182.40009997228984, 182.11918662540714, 181.7975411352506, 181.39239381678428, 181.30851559313263]"
40,"[178.6027948634526, 181.24677969971748, 181.66748388698542, 181.86057462296117, 181.942199968937, 181.98763353252772, 182.0157445521124, 181.96905080028412, 181.719186239414, 181.3493178464228, 180.97034412769898, 180.8682475321976]"
50,"[175.39827826532436, 178.27800873732915, 179.21253999124605, 179.93504404967305, 180.18484175536315, 180.2544728688094, 180.3085060780958, 180.39076076559076, 180.17878319607138, 179.7606354576645, 179.6031746216288, 179.60463389226305]"
60,"[171.9166455658586, 175.5444046100061, 177.11255967383983, 178.09719741609476, 178.149741385979, 177.9675474702935, 177.75989297101253, 177.63473798028758, 177.23104105436516, 176.9368798587433, 177.38399070885225, 177.94398865638644]"
70,"[169.5086415626802, 172.88456068838198, 173.63131287143588, 173.5363011881607, 173.69203084007336, 173.86571830691554, 173.96155910065733, 173.92147743938827, 173.59708727007356, 173.77568498773215, 175.10416145450938, 176.5774462287858]"
80,"[167.08066227213183, 170.82698135896516, 171.44591958021135, 172.16079849651544, 172.49497826609846, 172.676604402712, 172.67610488229812, 172.1578350296745, 171.97876188672785, 172.48821637286113, 174.17697701441324, 175.73079683920074]"
90,"[165.68666752262575, 169.3665651908427, 169.7682567204526, 170.6967636573378, 170.60428213647762, 170.88775814629287, 170.52731976526508, 170.85785778018473, 170.6398041842795, 170.7602315653626, 171.8121709091592, 173.25421695305525]"
100,"[163.93567730366516, 166.8999228636948, 167.59116893530683, 168.2099295632162, 168.42862516557673, 168.82153830485964, 168.94220985839226, 170.30116262240807, 171.86612863744008, 174.0646561458011, 176.65465521035551, 179.89026610796114]"
110,"[163.07956884138648, 166.26133336087025, 166.11154398439447, 166.43538436693285, 166.44943242339204, 166.69232143688112, 166.7828389274533, 166.7879285091115, 167.26586216944665, 168.30827941896965, 170.64325860325891, 173.00202049112545]"
120,"[162.06969732593882, 165.37192383232144, 164.52930946219357, 164.42263646757294, 164.04503325806363, 164.43956304570304, 164.9873303759598, 165.05668621099446, 164.74616667688264, 165.46141683402197, 168.23310807988392, 171.088727599945]"
130,"[160.8573657321903, 163.59833562721587, 162.98639264589184, 162.80571927491678, 162.0048255993771, 161.99889446981217, 162.10426501403867, 161.96352717743338, 161.87977787330507, 163.19875764029302, 166.2153913787443, 169.9647337005119]"
140,"[159.37989543699524, 161.44904558699818, 160.1009889225955, 160.21055452962136, 159.98171595907397, 160.305360235094, 160.45321555685027, 160.9293755552176, 161.15011434034108, 162.362180531502, 165.8756476877757, 169.81598367339882]"
150,"[158.20467912030733, 159.97382119587968, 158.48247465409824, 158.6535026025522, 158.6328206416378, 158.16684014830705, 158.05612692872174, 158.4884551379182, 158.84548861422175, 161.4624579371495, 165.1613904043317, 168.31586226532553]"
