iteration,trainLoss,trainRMSE-avg
0,255453.62,505.42
10,180697.94,425.08
20,165890.88,407.3
30,152038.83,389.92
40,138113.36,371.64
50,124700.74,353.13
60,111550.84,333.99
70,99217.34,314.99
80,87799.766,296.31
90,77181.484,277.81
100,68289.12,261.32
110,59296.97,243.51
120,51219.348,226.31
130,43900.527,209.52
140,37770.42,194.34
150,32614.404,180.59
160,28587.264,169.06
170,25084.969,158.37
180,22804.955,151.0
190,20851.87,144.39
200,18780.049,137.01
210,17863.105,133.63
220,16070.614,126.73
230,15015.34,122.5
240,15550.741,124.6
250,14900.966,122.03
260,13922.379,117.95
270,14614.501,120.81
280,14044.493,118.46
290,13757.931,117.24
300,13469.433,115.99
310,14672.068,121.04
320,13583.072,116.45
330,14486.667,120.3
340,14154.691,118.9
350,13318.211,115.34
360,13109.379,114.41
370,12709.697,112.69
380,13206.593,114.84
390,12741.326,112.82
400,12975.781,113.86
410,12789.103,113.03
420,12640.81,112.36
430,12935.398,113.66
440,12411.892,111.35
450,12554.079,111.93
460,12803.794,113.05
470,12643.636,112.33
480,12714.535,112.69
490,12306.213,110.86
500,12233.127,110.5
510,12095.662,109.83
520,11801.178,108.5
530,11661.298,107.87
540,11363.049,106.44
550,12289.276,110.69
560,11939.0625,109.14
570,11453.935,106.92
580,11069.417,105.09
590,11738.646,108.26
600,12697.042,112.65
610,11368.915,106.58
620,11582.43,107.49
630,11333.972,106.29
640,11122.589,105.39
650,10837.754,103.96
660,11250.214,106.02
670,10497.398,102.35
680,10555.302,102.55
690,10788.085,103.72
700,11486.31,107.05
710,10074.413,100.26
720,10046.699,100.11
730,9804.986,98.9
740,10174.684,100.78
750,9837.258,99.04
760,9580.454,97.74
770,9796.902,98.89
780,10079.515,100.28
790,10683.084,103.2
800,9808.391,98.93
810,9595.715,97.81
820,9253.79,96.12
830,8971.892,94.59
840,9085.959,95.22
850,8674.022,93.05
860,9332.141,96.52
870,9859.182,99.13
880,8675.076,93.07
890,9290.3955,96.3
900,10503.951,102.36
910,8920.447,94.32
920,8683.728,93.08
930,9022.942,94.85
940,8534.44,92.28
950,8672.505,93.04
960,8578.623,92.52
970,8328.918,91.15
980,7992.462,89.31
990,8007.0615,89.36
