iteration,trainRMSE
0,"[506.52303576215303, 506.35185583796516, 506.1667458869375, 505.92862517685154, 505.6694822424873, 505.54611726586126, 505.3635464167309, 505.075330640759, 504.8921823499656, 504.7250190897273, 504.53339955843285, 504.2939899271919]"
10,"[427.6713703202986, 425.85159100737866, 425.4896021091943, 425.2635262124205, 425.0344454619811, 424.9510187334353, 424.83829797219886, 424.62403326863694, 424.51494780322827, 424.41930126358847, 424.2671274138788, 424.09071907245]"
20,"[409.1220566904115, 407.8269632334865, 407.5925439516426, 407.45628115259785, 407.3257502357877, 407.2838780464957, 407.1831825132992, 407.02022008229204, 406.9030231013029, 406.7931572161551, 406.6042240926585, 406.4437260528836]"
30,"[391.443541203538, 390.47886088950037, 390.2816620429778, 390.1376352415945, 389.9812315751992, 389.9210012459809, 389.81377120075723, 389.60743002790593, 389.5090706508754, 389.419970717872, 389.2988710182963, 389.15817987901005]"
40,"[372.9908125623121, 372.0946925496174, 371.9191716524126, 371.8007335858133, 371.66789402449615, 371.64336655638976, 371.559747016204, 371.36834883297627, 371.29444033017376, 371.2212195013286, 371.10690123009846, 370.96079740503484]"
50,"[354.30368982127123, 353.46363718568597, 353.31893189350143, 353.2504900931279, 353.13758111711945, 353.1450033093437, 353.0629194380385, 352.87750081209293, 352.8489907427999, 352.81467413436155, 352.71503897766274, 352.61346860677077]"
60,"[334.57239692045846, 334.0803584156077, 334.0417010545951, 334.02022965375096, 333.93214909959744, 334.00469194013635, 334.0074767617189, 333.8875002484547, 333.89422948567113, 333.88385651370584, 333.84561983394644, 333.72832484818554]"
70,"[315.1783995503541, 314.9591493623266, 314.9444772085936, 314.926685349331, 314.85317817841894, 314.96842443367876, 314.99695893537296, 314.9210227882538, 314.9843190182615, 315.0209569888613, 315.0637412447093, 315.02998707352174]"
80,"[296.1256292897893, 295.9031654572422, 295.98751084265683, 296.0241312058929, 296.0002291001066, 296.1818497933461, 296.3351782503631, 296.3981147668308, 296.5385027347505, 296.64508025972776, 296.7515433861455, 296.82062886238884]"
90,"[277.4743457285881, 277.3412364972164, 277.4015867291207, 277.40766530547955, 277.4441891258719, 277.70856189961876, 277.87458116667216, 277.91410345023263, 278.0710324233191, 278.26036444056155, 278.4013151876537, 278.4742702807379]"
100,"[260.19626238191444, 260.13359129526793, 260.44304876333075, 260.7247732109742, 260.9522897967613, 261.3209101598125, 261.61022168594906, 261.68845596560584, 261.8827194790257, 262.1028657641257, 262.3216121411864, 262.46006057817243]"
110,"[242.4533348334262, 242.780747959774, 242.92924683136965, 242.96481007596773, 243.06032461386306, 243.35344003682798, 243.56929429467476, 243.73906153606904, 243.97730040871062, 244.2484937434332, 244.43742716318397, 244.57842945824518]"
120,"[224.55513066845154, 224.62166647479216, 224.9379124276064, 225.2705757585078, 225.54060226218212, 225.93717364211875, 226.2073233089359, 226.48616852004, 226.8484207411932, 227.58359434760547, 228.32083814353612, 229.42184904334172]"
130,"[207.51706176644242, 207.92420698668448, 208.4883087091571, 208.85649923293528, 209.06490697019328, 209.3481566459813, 209.71285756502206, 209.9802174780217, 210.35532242544446, 210.62493672288065, 211.00444821216755, 211.36050881486582]"
140,"[191.83572705237293, 192.72866532909129, 193.19924308873996, 193.40295668399727, 193.73638530826858, 194.11251864275323, 194.50644448931217, 194.8092244932855, 195.17009358448365, 195.70773516669325, 196.2588440759395, 196.60474128480615]"
150,"[177.85595882366943, 178.7630782896046, 179.30296767594942, 179.62214116795894, 179.9618195933617, 180.53997132170602, 180.90941113562573, 181.1847908854099, 181.58276299185027, 182.0643893722436, 182.50731890192557, 182.7439529884355]"
160,"[165.14640268530104, 166.67976158669254, 167.33942675189382, 167.72542013438155, 168.1439589978647, 168.94283371729102, 169.59841703037998, 170.0639431664831, 170.54579092783487, 171.07586588369747, 171.51038421565093, 171.9871992217161]"
170,"[155.10893427806317, 156.61877472387744, 157.53816129508976, 157.9102558161075, 157.91186184835814, 158.1636837548042, 158.51308002741604, 158.88211448239093, 159.34488534308747, 159.8064022983247, 160.17460059137858, 160.50211623438952]"
180,"[147.68081153355865, 149.05498711889967, 149.6012698109425, 149.8360121622766, 149.94754851879873, 150.53393748623716, 151.05796566858254, 151.61248236514365, 152.18107458684642, 152.83630667233848, 153.55394443426457, 154.09242804804893]"
190,"[140.96941780634108, 142.32616616439037, 142.84747716859965, 143.29019460602026, 143.62824816493094, 144.28827918772626, 144.83741913441892, 145.20411185221587, 145.5888325698973, 145.99696504057388, 146.54707541250352, 147.13130267345167]"
200,"[131.32719343512701, 133.84168634489842, 135.21499392007024, 136.1116569384931, 136.48699476167866, 136.96197075034644, 137.57971412952486, 138.12286732571508, 138.77117506560828, 139.33807271577993, 139.88317111193126, 140.52228917275744]"
210,"[128.3911416468622, 131.25148338742972, 132.2516283219231, 132.76657843448837, 132.72330583821844, 133.1641553425174, 133.8495017581649, 134.5693811567234, 135.35946690845873, 135.96428731729554, 136.33710396316027, 136.92367912746212]"
220,"[120.41225988336716, 123.55748428642462, 124.81086069296155, 125.23821183168779, 125.42830905507174, 126.3589543338724, 127.22451554541922, 127.76401163792474, 128.60829696321534, 129.53173570599455, 130.44441699762763, 131.39608302891702]"
230,"[116.27694686798144, 119.93266748954363, 120.98901967842997, 121.53749710956176, 121.6018610944409, 122.07533296931382, 122.733757399229, 123.26550368278735, 124.07123018640628, 124.98879865871734, 125.86326770726714, 126.7025838247401]"
240,"[112.87952273847937, 118.35006947074662, 121.70384168803005, 123.19787636687244, 123.69977381717338, 124.910390653678, 126.27205058818332, 127.12885395546905, 128.50396001812013, 129.416042082971, 129.47951333530855, 129.69697403273997]"
250,"[114.41238666068, 119.85268108609363, 121.32984499976385, 121.8158262241498, 121.7112801773681, 121.8662423715007, 122.33957489744813, 122.83811174873973, 123.3839227330498, 124.03581875285487, 124.88622371522143, 125.92895613438722]"
