iteration,trainLoss,trainRMSE-avg
0,74877.125,273.64
10,70356.57,265.25
20,68140.44,261.04
30,65809.58,256.53
40,63323.22,251.64
50,60720.715,246.42
60,58076.83,240.99
70,55474.703,235.53
80,53008.95,230.24
90,50776.94,225.34
100,48854.23,221.03
110,47433.266,217.79
120,46588.324,215.84
130,46167.434,214.86
140,44868.28,211.82
150,41394.89,203.43
160,40978.043,202.41
170,39118.344,197.75
180,37707.285,194.17
190,36775.938,191.69
200,35498.438,188.38
210,34911.957,186.83
220,34330.453,185.27
230,33167.33,182.06
240,32338.113,179.8
250,31282.586,176.84
260,31133.473,176.41
270,29830.812,172.69
280,28578.566,169.02
290,28200.508,167.9
300,27281.053,165.14
310,26994.16,164.25
320,27242.844,165.01
330,25388.018,159.3
340,24965.123,157.96
350,24413.268,156.22
360,23904.348,154.58
370,24239.18,155.68
380,23248.156,152.45
390,22327.834,149.39
400,22493.977,149.95
410,21474.328,146.51
420,22252.834,149.15
430,21993.01,148.29
440,21810.951,147.67
450,21109.004,145.26
460,20535.053,143.28
470,20042.506,141.54
480,19591.22,139.94
490,19522.428,139.7
500,18780.29,137.0
510,18885.076,137.38
520,18828.184,137.18
530,18540.926,136.14
540,18024.516,134.22
550,18401.926,135.63
560,17277.633,131.4
570,19882.088,140.94
580,17458.559,132.09
590,17278.48,131.4
600,17302.645,131.49
610,16462.117,128.26
620,16766.67,129.46
630,15956.608,126.27
640,15765.012,125.51
650,18880.213,137.3
660,16561.488,128.67
670,15761.244,125.5
680,15237.462,123.39
690,15146.586,123.01
700,14622.066,120.87
710,15273.6455,123.55
720,15311.085,123.68
730,14457.763,120.19
740,14129.516,118.82
750,15057.692,122.67
760,15901.95,126.09
770,18500.125,135.97
780,17496.027,132.26
790,15258.286,123.48
800,14898.099,122.03
810,14343.892,119.71
820,14492.98,120.35
830,16545.322,128.62
840,13522.256,116.22
850,13312.981,115.32
860,13326.011,115.38
870,13537.12,116.31
880,12761.418,112.9
890,12878.091,113.43
900,12577.029,112.1
910,12675.012,112.53
920,13426.912,115.84
930,12395.622,111.28
940,11977.918,109.39
950,13500.071,116.12
960,12731.793,112.79
970,12085.122,109.89
980,12263.636,110.68
990,12219.403,110.49
