iteration,trainRMSE
0,"[273.78725683781744, 273.78351449280257, 273.807376678225, 273.79522847864473, 273.8195391395401, 273.7997547166205, 273.7761831426926, 273.7344404565562, 273.52374071248767, 273.4707011459046, 273.3174322582706, 273.01997074601394]"
10,"[266.0959107133928, 265.5947662776568, 265.42598178006494, 265.3636753042768, 265.35786561711836, 265.3163465217085, 265.2757760274566, 265.22601674896356, 265.01626165180693, 264.9648628535743, 264.8143742027427, 264.5193866171005]"
20,"[261.5104685678299, 261.27271352106266, 261.23519974459737, 261.1938298383529, 261.19188893319824, 261.1537230386997, 261.11571291917033, 261.06833860996267, 260.8616633666705, 260.8123850600146, 260.663917746628, 260.37056024606215]"
30,"[257.0282120200206, 256.7603269555391, 256.71920388691694, 256.6800089094509, 256.6789928029589, 256.64318191140717, 256.6074730436945, 256.56255678601735, 256.35940094369676, 256.3124931850654, 256.1663723404555, 255.8749918367684]"
40,"[252.18984803087, 251.86243485227905, 251.81246579540738, 251.77457546838147, 251.77420967144224, 251.74099282295046, 251.7078910242691, 251.66580642775176, 251.46689179216088, 251.4227470158149, 251.27945920505258, 250.99061749205714]"
50,"[247.02417235853673, 246.63010533439754, 246.57000862360138, 246.53362462778995, 246.53398948145838, 246.50385905616892, 246.4738654239862, 246.43515696406354, 246.24147297500485, 246.20063148404503, 246.06085109903663, 245.7753502223308]"
60,"[241.65539777343216, 241.19574463161854, 241.12574693546733, 241.0914080594564, 241.0926537467967, 241.06616630555396, 241.03983889213447, 241.00512732589823, 240.81785474575176, 240.78092656376384, 240.64546234440283, 240.364328099293]"
70,"[236.23620144867053, 235.7238534120715, 235.64602458973653, 235.61459499731222, 235.61691290222055, 235.59469557218767, 235.57265381867728, 235.5426333191568, 235.36317262465698, 235.33084008725336, 235.20065594764802, 234.9251863107036]"
80,"[230.95365066490982, 230.41278847345444, 230.33095968949365, 230.3036012159794, 230.30723178052668, 230.2899696088959, 230.27289980833677, 230.24832344237421, 230.07831636134384, 230.05133188854478, 229.92756461585054, 229.65937840596695]"
90,"[225.9873468913098, 225.48833104906342, 225.41370328894442, 225.39263846637093, 225.3979498276295, 225.38640367983854, 225.3750286064938, 225.35672008783706, 225.1980644102794, 225.17724078445198, 225.06121040140854, 224.80228987466404]"
100,"[221.6343839394284, 221.15475275761926, 221.08340888240554, 221.06892803604583, 221.07604701988186, 221.07110348499907, 221.0663222050923, 221.05529498942443, 220.91045323270387, 220.8968040789842, 220.7902272861571, 220.54322314998873]"
110,"[218.20228797976606, 217.87866129290003, 217.83191070429896, 217.8275300457468, 217.83696160440417, 217.83927663220786, 217.841702161805, 217.83865263943426, 217.7096850844708, 217.70391190731564, 217.60824301739373, 217.37566499935585]"
120,"[215.759839508157, 215.8637176596312, 215.89177837028797, 215.90446906120565, 215.91702469974405, 215.92732996853414, 215.93760160887194, 215.94328274977934, 215.8325555027788, 215.8354284175117, 215.75235278047063, 215.5371809703249]"
130,"[214.79908889264505, 215.16376496131832, 215.21735454977306, 215.18941647755312, 215.1196378105738, 215.05827545585632, 214.97172076465316, 214.87206331275863, 214.67928530722926, 214.60896754646427, 214.4649397539202, 214.23154971368177]"
140,"[210.81263472861886, 211.9219069199556, 212.09486831107847, 211.84924365351117, 211.57073952984302, 211.4353517922119, 211.5131558727448, 211.72806603746218, 211.8713064439847, 212.16214888673338, 212.39741749326214, 212.4804431295325]"
150,"[201.71994785208813, 198.66494454248004, 198.8983152120918, 199.77031673194972, 200.91478006576446, 202.2249195089589, 203.4778339013868, 204.72096341278643, 205.81295453411272, 207.1220554494463, 208.42767772098293, 209.35503974645837]"
160,"[196.3850011251585, 199.35562223918689, 200.57790931582957, 201.10022325472644, 201.36038436863902, 201.7390491755234, 202.3229941944469, 203.10157411238987, 203.92374931678734, 205.14270680397965, 206.33314636260687, 207.5492208383253]"
170,"[195.26608438998983, 195.84343153821365, 196.31921872467575, 195.74323579463885, 195.19978279915517, 195.10490629653447, 195.61573438357922, 196.68907202961137, 198.17858816759386, 200.43785720289583, 202.8331680247023, 205.81850977379605]"
180,"[191.91359449738457, 193.40154908592663, 194.66921897031168, 194.9354180356037, 194.24061583263108, 193.34514029295093, 192.72737207751308, 192.76941157133626, 193.22084144438077, 194.3346286706362, 196.02549554931795, 198.51435398529634]"
190,"[185.39637864649097, 186.42201172136984, 188.00031839395473, 188.3794755788517, 188.3070825918777, 188.70025152429426, 189.57120349640036, 191.3849066456879, 193.71568024337438, 196.44922736328866, 199.9867500556138, 203.9674497968752]"
200,"[184.67561202791427, 185.86912630870353, 187.37196768058712, 187.57894795833522, 187.3642287830844, 186.95852137353663, 186.83796752450834, 187.1820499126918, 188.18513414107966, 190.03406285870935, 192.38985135527633, 196.17003558610108]"
210,"[184.23470682779114, 185.28659257944923, 187.25594898435344, 188.4825086789654, 188.01189612681588, 186.344701467942, 185.08480564764136, 184.32056278229777, 184.7640992113001, 186.51884699803747, 189.0997382282189, 192.5693333220419]"
220,"[183.77291864631005, 183.99708499246762, 184.5433523353718, 184.98025177298584, 184.81791052966278, 184.90911975025747, 184.5323664541921, 184.3616132582178, 183.79172389288067, 185.21388349365384, 187.7063815522921, 190.6534827712013]"
230,"[179.4611907431432, 179.73372618667025, 180.45597425768733, 180.68032026825853, 179.71617024152195, 178.37359668044616, 178.0355036148231, 179.21253982910395, 181.53920395017124, 185.10304600146947, 189.0622680151152, 193.3566230669354]"
240,"[179.1246817476032, 179.59489590029364, 180.64453664207988, 180.47019870895065, 178.73462729863226, 177.25869770227325, 176.33055449286468, 176.28685580633157, 177.57203813260645, 180.04559199826863, 183.2944579819382, 188.21744477079164]"
250,"[176.59193641814497, 176.89545222918315, 177.54318093331582, 177.12359947328343, 176.0854094447919, 174.4696529854711, 173.48970320557174, 173.77468122795403, 174.95634023736807, 177.04931006082873, 179.98271047949575, 184.17244659835265]"
260,"[173.9706140017216, 174.84902055373018, 174.74183872600457, 174.5142322905377, 174.23766812031195, 173.90592881480492, 174.0767473679962, 175.0365597334273, 176.8105846942733, 178.56945461764732, 180.97821800550818, 185.258349853273]"
270,"[172.08318615975455, 171.7445216089418, 171.84250952705554, 171.6703571246957, 170.61231240921842, 170.48413716743002, 170.49687491301276, 171.0467725424728, 172.33278386428978, 173.68680923155765, 176.27108401907492, 180.0413308132029]"
280,"[170.04400287776127, 169.65443780743368, 170.11057595941958, 168.57644459169154, 166.70619427206245, 165.6785292939928, 165.5268129923626, 166.20186829626928, 167.49516372999062, 169.53632674570008, 172.30457729357144, 176.4428752006977]"
290,"[167.60762931509908, 166.6099580686864, 166.42654849545025, 166.34180561110563, 165.3748364205465, 165.56299638062376, 165.7617251723456, 166.51344521946027, 166.89476104847498, 168.34678634744017, 171.99042786776292, 177.31201585574001]"
300,"[166.29441009496003, 165.23457489111087, 165.29481772356158, 164.9149275941055, 163.49310221660767, 162.2936629883901, 161.99467069213148, 162.17954072767304, 163.2918723837049, 165.38339254852815, 168.47515513667088, 172.84155000629286]"
310,"[164.69113276346997, 164.00862742792947, 164.08166022008166, 163.16240732277043, 161.73304145773523, 160.97108854459808, 160.72360487112323, 160.7488519684498, 162.17232484245983, 164.58261784808184, 168.90908723808022, 175.1984489110847]"
320,"[163.57769191569307, 163.15269788957303, 163.53538371427422, 163.17705852493754, 162.0182329724625, 162.09580093310066, 162.09783818711824, 163.37728205257426, 164.51012320557317, 167.4989970353718, 170.64656658382503, 174.42662053308322]"
330,"[161.88781943629502, 160.22979079051936, 159.8764806741231, 159.0165244645699, 157.03800043230237, 156.35684133623622, 155.38306767004198, 156.2878943945098, 156.64274478594092, 158.80205683099496, 162.3745855354983, 167.68843940184325]"
