iteration,trainLoss,trainRMSE-avg
0,78475.484,280.13
10,50896.164,225.24
20,47887.355,218.58
30,45751.07,213.71
40,43648.637,208.73
50,41658.305,203.92
60,38334.33,195.67
70,35880.18,189.3
80,34210.445,184.83
90,32369.951,179.78
100,31538.336,177.46
110,30351.379,174.08
120,29667.932,172.1
130,29178.611,170.69
140,27887.121,166.85
150,29104.9,170.48
160,28306.723,168.13
170,26573.93,162.87
180,25960.854,160.98
190,25900.92,160.79
200,24718.867,157.05
210,23885.021,154.35
220,22965.84,151.32
230,22223.234,148.83
240,22066.098,148.34
250,21162.688,145.21
260,21824.957,147.53
270,21727.893,147.24
280,20123.443,141.56
290,22048.164,148.34
300,20107.488,141.54
310,20216.488,141.93
320,19596.406,139.68
330,28537.223,168.26
340,23626.438,153.66
350,20385.896,142.56
360,19594.516,139.74
370,18472.443,135.57
380,18510.027,135.77
390,18366.494,135.25
400,17610.176,132.37
410,17081.838,130.31
420,16697.13,128.8
430,17137.686,130.56
440,16414.922,127.7
450,15924.271,125.74
460,17533.154,132.21
470,18007.594,133.99
480,15627.659,124.62
490,15860.632,125.59
500,15642.331,124.72
510,15937.775,125.94
520,15841.634,125.55
530,14559.237,120.2
540,15402.201,123.71
550,14643.1045,120.55
560,15439.77,124.01
570,21788.818,147.53
580,15856.4375,125.6
590,15007.37,122.2
600,15013.443,122.23
610,14235.552,118.94
620,13838.778,117.18
630,15956.478,126.18
640,14668.881,120.78
650,14779.75,121.24
660,13947.457,117.71
670,13827.482,117.21
680,14624.175,120.7
690,13548.747,115.99
700,13523.144,115.83
710,13217.649,114.53
720,12548.705,111.47
730,12358.422,110.59
740,13185.25,114.42
750,12331.402,110.47
760,12567.565,111.63
770,12393.516,110.77
780,12532.195,111.41
790,12051.511,109.26
800,12581.237,111.76
810,11932.617,108.69
820,12908.15,113.21
830,11473.29,106.49
840,12001.361,109.1
850,11215.671,105.29
860,10769.713,103.11
870,11821.796,108.34
880,13188.843,114.64
890,11850.264,108.43
900,11053.732,104.63
910,10708.199,102.79
920,10510.769,101.89
930,10694.239,102.66
940,9924.65,98.81
950,11285.0625,105.82
960,10427.69,101.49
970,10390.117,101.23
980,10369.167,101.28
990,9868.401,98.6
