iteration,trainRMSE
0,"[279.8945757128656, 280.04726896661396, 280.1821740146952, 280.304698578204, 280.3492616779782, 280.40243711884483, 280.38832921005843, 280.35943874531637, 280.3115649959374, 280.0972850589091, 280.0476449888577, 279.8963792296182]"
10,"[272.99576772546004, 261.4006714900267, 259.6285476026508, 259.3645015910063, 259.2764697594949, 259.2499189185672, 259.1961691459551, 259.1445763982855, 259.08562922416826, 258.8659090179089, 258.81135264619274, 258.6604554288053]"
20,"[267.1734639199575, 249.37516303069674, 248.02616880835765, 247.7863887686475, 247.70862099346124, 247.6780851483939, 247.62450287396464, 247.5731979569364, 247.51654863245167, 247.30407784984607, 247.25388201890266, 247.11254273013304]"
30,"[259.3200121015862, 238.0271310692859, 236.98766772299746, 236.69625442020515, 236.62005286504143, 236.58981294745266, 236.5449301124954, 236.49798865825494, 236.4517601678867, 236.25490493221855, 236.21450034050568, 236.0878275156682]"
40,"[251.23546238134261, 228.06214833932108, 226.98503595513037, 226.76288471841266, 226.7336564797952, 226.74112939955603, 226.72936300296942, 226.71573102864096, 226.69828748657912, 226.53860740737179, 226.52750098000277, 226.42511747578033]"
50,"[238.81279869851286, 219.89388613310638, 219.92656211814952, 220.11173458220387, 220.22991406331047, 220.35768991320873, 220.40196968707966, 220.45081497013376, 220.4522215101347, 220.33250862890245, 220.34263443072953, 220.27661480911885]"
60,"[221.50383971343, 214.72923264976245, 216.21511115075597, 217.24021488789023, 217.75745030370493, 218.3210621577309, 218.7087080001812, 218.9994152882205, 219.16542141855737, 219.07756258914333, 219.06509479660917, 218.93385599734754]"
70,"[214.75023385603606, 212.3014715282118, 213.1263112484697, 214.3789408610554, 215.1127080844756, 216.01125427269298, 216.71284708522165, 217.3280056361689, 217.75401702950393, 217.97660717392066, 218.1877494068356, 218.1753808640172]"
80,"[212.53238791334627, 209.4524578517588, 209.63065407798916, 210.8388763608261, 211.87643465137367, 213.06300483155078, 213.94441185652417, 214.76016858146792, 215.3412822309224, 215.64181986133048, 215.96864222324285, 216.1566277568271]"
90,"[209.01432302930021, 206.49954657630622, 205.4385382939214, 206.14000980446173, 206.83428660723015, 207.90292428818137, 209.1395831593541, 210.36083720721396, 211.4628292853643, 212.498810506168, 213.284855672427, 213.91446389002627]"
100,"[207.07154395160393, 204.485597724818, 203.0165738785151, 203.16785403461924, 203.55634354069363, 204.4272884498326, 205.46138371416777, 206.58747277341104, 207.74309550864137, 208.9795010700832, 210.21906048408857, 211.42910875036148]"
110,"[203.94064223467382, 201.01200094867215, 199.0536166101615, 198.55093430495901, 198.13871831025403, 198.04905078762198, 198.83187406772487, 199.9111439235455, 201.32397455910427, 202.9430691123889, 204.79743122144464, 206.73604738126258]"
120,"[201.20085990787948, 196.8533377792956, 194.15744445677362, 193.24835839752436, 192.3021388711855, 191.77975099268414, 192.2113552999156, 193.34682477336952, 195.42627789114445, 197.86140165028314, 200.50290880575074, 203.88108936870483]"
130,"[197.57870269423609, 191.87522612206982, 189.35526219899748, 189.66271544312588, 189.96673756767507, 190.59498336149665, 192.0167864354254, 193.62869028146437, 195.56436642957394, 198.28933080788025, 200.71338518521733, 203.762799239709]"
140,"[195.7201935807737, 190.76029177359453, 190.4763046654484, 190.5400822580493, 187.78087557128188, 184.93106907649246, 183.654485733428, 183.77460566300007, 185.62450697893468, 189.24683748017185, 193.5990464055056, 198.5160412031921]"
150,"[191.93379668954523, 185.5016009206511, 186.23439199173697, 187.49682182537524, 185.5870463969624, 182.2809429015026, 180.70390922417658, 180.24574736644604, 181.1024202418964, 183.54284312644322, 187.54922690731877, 193.2889942227318]"
160,"[187.01141083873293, 178.94571715565186, 177.76107162462944, 178.75150408733933, 178.05661309843666, 176.40985639350126, 176.64015434638995, 175.99010941248895, 177.01167789550092, 180.1024687735978, 185.106038932099, 191.30013862746432]"
170,"[182.76817087911263, 173.81496989971095, 172.49968003276064, 173.05735971802173, 172.4326775247263, 171.50133190431754, 172.2543703789468, 173.2075638090935, 176.77376133872815, 182.48126186477973, 189.78974754972876, 197.4975856219566]"
180,"[181.20496726775937, 172.83307557872598, 173.5886432991342, 174.8160662252256, 174.43436994050535, 173.51633803784162, 172.59833504855274, 170.54570637588813, 169.83165008583657, 171.7430722502821, 175.7760433275573, 183.86630889296143]"
190,"[179.67346640156413, 172.5404100086815, 172.77531570597043, 173.60166086426747, 172.5837638902105, 170.3449831233499, 169.70406653711544, 167.99385430767921, 167.98589435695564, 171.47875098546396, 177.30863770062552, 185.50350094342673]"
200,"[178.6722655776419, 171.34851479063343, 170.43234413340517, 170.66594200153182, 169.61478875452582, 167.42382057492614, 166.8572507592998, 167.82102050507683, 170.14245060121564, 175.06315172145176, 182.5111234977127, 190.95554829673438]"
210,"[177.51847834619292, 169.5543430689261, 171.88659560031027, 177.34483310342648, 180.77155606192707, 181.92157744232057, 180.5124580581899, 176.97157133485854, 174.66634223205065, 172.5323489431661, 174.60006916201453, 180.0276587591515]"
220,"[175.28475966273984, 167.70164448142722, 166.50273889916298, 165.793816639037, 163.85301353388323, 161.54116958020887, 161.3079826557726, 162.5177427347478, 164.7194789270675, 168.8698304537228, 176.37686358232042, 185.91578305359232]"
230,"[176.0611499119612, 166.91516589355768, 169.03883308889533, 173.60528112424544, 176.1405141902492, 176.6670405382781, 174.55529071494462, 172.02166933233136, 169.39008753183217, 167.0648001700628, 168.71772669654433, 174.31418836293994]"
240,"[173.77249387660794, 165.64386044013358, 165.29247418824423, 165.99855330901917, 166.0555199492872, 165.06299155794068, 165.96812236997388, 164.54741093284343, 165.45712074749943, 166.25013388020864, 168.2582607328258, 174.959226931667]"
250,"[172.21150655145112, 163.45025623508482, 162.04701167835472, 162.79320288104282, 161.61407925547078, 159.2015254598931, 157.15252455698985, 157.50936611987092, 158.2834727239083, 160.94766336454944, 166.04594620357932, 175.17582056733602]"
260,"[170.50402543766262, 162.50466965624466, 159.86847468731918, 158.5917339446907, 157.55222324594666, 156.515580651005, 157.28855003947405, 157.3399704379984, 157.47644497697004, 159.49219322234907, 164.15875373939147, 173.08792988691485]"
270,"[170.53138222111832, 162.83459337448505, 163.6081904912872, 165.62929192790202, 166.47934217776566, 164.70705675677888, 161.09570248318943, 159.2991081385943, 157.50884874585373, 158.11844789311914, 160.4784457861845, 167.6277545709211]"
280,"[170.09292271644875, 159.94118859302515, 158.49118956618076, 158.70274344601162, 157.55277414237332, 156.13219641706874, 154.59898772496217, 154.67021796172565, 154.17399064291712, 157.28519378556695, 162.7689013974801, 172.59891413848902]"
290,"[167.63654603553144, 158.91045724579575, 157.53672294047942, 158.49143180861043, 158.50856970252312, 158.69967403027792, 157.9867780497139, 156.91396010288673, 154.5310317237237, 153.61457589493807, 155.08975229289973, 161.52207699493317]"
300,"[165.20410284504064, 158.0362502275896, 155.06268249027548, 153.78025393041074, 152.82836212262762, 152.61079110745595, 152.81670631053296, 153.7920423480319, 155.90842301715634, 159.11920646991547, 166.2489503744107, 176.2512188689092]"
310,"[168.16042280996592, 157.2121253083452, 155.0773897463912, 155.47592901291975, 154.44943796802247, 152.14360379715922, 149.8243190823419, 149.46677931892157, 148.90249789542767, 149.6372978726004, 155.02884816674845, 163.9820577284321]"
320,"[161.5648310518673, 152.41686521456532, 151.5889690376374, 152.16275760240387, 152.1396682414959, 151.85394625438028, 151.8486537138171, 152.62377859871552, 153.92633182584618, 155.80202227202278, 159.88253570874443, 168.7620062223495]"
330,"[159.52643952263065, 149.6757861034445, 145.02882056780146, 143.85655769808983, 144.29784355596547, 143.83608396542374, 143.31569577981477, 142.90684765259692, 142.27638513307534, 142.796000692869, 145.58542313436368, 152.1367822310057]"
340,"[162.23683163308908, 154.06021227287877, 148.64336374218922, 147.24802479169517, 146.57979127687892, 145.86127379562348, 144.80940798719104, 146.09710387337856, 147.37742585085053, 148.3795406858583, 149.92765446785572, 156.3474592360576]"
