iteration,trainLoss,trainRMSE-avg
0,410074.44,640.37
5,298225.47,546.06
10,278501.6,527.72
15,265872.5,515.62
20,253346.8,503.33
25,241257.92,491.17
30,229263.5,478.8
35,217805.92,466.69
40,206826.45,454.77
45,196417.45,443.18
50,186628.39,431.99
55,177636.42,421.46
60,169491.45,411.68
65,162469.16,403.07
70,156753.22,395.91
75,152426.0,390.41
80,149536.34,386.7
85,147435.27,383.97
90,146057.98,382.17
95,145450.67,381.38
100,146010.52,382.11
105,143987.61,379.46
110,141493.73,376.16
115,140189.08,374.42
120,138160.1,371.7
125,135528.38,368.14
130,132075.45,363.41
135,118271.875,343.87
140,112730.68,335.74
145,109739.38,331.26
150,105572.91,324.9
155,111433.6,333.81
160,104819.65,323.74
165,100425.72,316.86
170,96720.15,310.95
175,94586.78,307.52
180,93327.94,305.41
185,92297.766,303.71
190,89921.67,299.79
195,88075.04,296.73
200,86983.89,294.89
205,87773.57,296.18
210,96647.81,310.62
215,86063.43,293.25
220,87112.1,295.03
225,83092.28,288.16
230,83121.26,288.23
235,97371.414,311.93
240,95631.72,308.83
245,82516.17,287.15
250,84375.52,290.39
255,84832.7,291.1
260,80472.66,283.54
265,88213.09,296.79
270,82862.76,287.74
275,82980.2,287.97
280,79881.914,282.56
285,78309.766,279.7
290,76903.03,277.2
295,85593.586,292.23
300,74410.85,272.68
305,75342.51,274.41
310,86640.58,293.9
315,76844.55,277.03
320,73309.47,270.61
325,72951.56,270.0
330,71312.52,266.87
335,76581.836,276.36
340,74458.55,272.77
345,72031.836,268.23
350,120704.234,346.78
355,97193.72,311.1
360,90107.414,300.03
365,80322.36,283.19
370,85111.49,291.36
375,82683.875,287.39
380,75793.46,275.24
385,75438.18,274.63
390,76985.43,277.39
395,78224.3,279.36
400,72584.89,269.33
405,67944.31,260.54
410,68882.65,262.41
415,70173.38,264.77
420,70429.63,265.34
425,68041.2,260.68
430,91045.4,301.32
435,102148.52,318.5
440,116822.16,341.32
445,83686.31,288.98
450,76990.56,277.35
455,99105.195,314.04
460,85773.58,292.36
465,72450.01,268.93
470,77625.95,278.54
475,69151.47,262.87
480,66353.13,257.48
485,68845.48,262.33
490,63558.055,252.03
495,62757.383,250.32
