iteration,trainRMSE
0,"[642.795897778264, 642.0767508970479, 641.3849613731187, 640.721295519593, 640.5423657710539, 640.2706429529042, 639.8846622442157, 639.613704882579, 639.4293063616897, 639.329679083895, 639.22069655519, 639.1615603430155]"
5,"[568.1695218737868, 550.5263890041027, 545.4804184670206, 543.8007439106253, 543.3890504765022, 543.2426530832709, 543.0977866872281, 543.0359411493262, 543.009876174724, 543.0031643511088, 542.9687703520527, 542.9389259698489]"
10,"[538.2590944393343, 529.3991614675576, 527.5068802341729, 526.6822267999164, 526.5319504606333, 526.4804804695762, 526.3723771371747, 526.3236676998803, 526.3042078575945, 526.298110159529, 526.2668239138256, 526.2380488203892]"
15,"[525.4407290461603, 517.2366620223678, 515.4210333900726, 514.6281374646894, 514.4957845678335, 514.4551242566979, 514.3550157236281, 514.3106219408088, 514.2942216420275, 514.2887861200271, 514.2617329629463, 514.2348661127946]"
20,"[513.2500726259318, 504.8817088545306, 503.0947331895381, 502.31406349486474, 502.19073272358696, 502.15652656278536, 502.0620789163063, 502.02070061110686, 502.0065603481377, 502.00146828881543, 501.9786009274599, 501.953638292326]"
25,"[501.3357365445206, 492.6934205266583, 490.8884750398653, 490.11518608700976, 490.00206960169345, 489.97575461264904, 489.88847054073415, 489.85103106256554, 489.83972945236246, 489.8350755849851, 489.8170055012776, 489.79421452872845]"
30,"[488.9888305485364, 480.2740153705943, 478.490806494637, 477.7308925758491, 477.6288524619308, 477.61083707235326, 477.5311835248235, 477.4979324284595, 477.4896719182458, 477.4854501056593, 477.47264845544544, 477.4522214164196]"
35,"[476.64317081853136, 468.1341862368368, 466.36222657609216, 465.6133871202176, 465.52259316192857, 465.5134025817643, 465.4422329812979, 465.4136111434289, 465.40867208555375, 465.4049112370532, 465.39786880792866, 465.3800519700768]"
40,"[464.606779437809, 456.18319462041245, 454.42168109475836, 453.68592970625537, 453.6075541040024, 453.608057977037, 453.5462211100815, 453.5227345857837, 453.521452847236, 453.51822285442654, 453.5175000621801, 453.50257323940656]"
45,"[452.97694110935106, 444.5434526583622, 442.7947095737532, 442.07417453572714, 442.0095444690013, 442.02069305588367, 441.9693154134567, 441.9515286936709, 441.9542535324225, 441.9516076887903, 441.95784329482603, 441.9461206974317]"
50,"[441.75752584804394, 433.29835326380544, 431.5683062674242, 430.865856308208, 430.81615900305474, 430.83889963198317, 430.79909188684195, 430.7876208459258, 430.79478516164716, 430.79276825971965, 430.80665251543076, 430.7984800743428]"
55,"[430.8466081453539, 422.6447343715978, 421.0119432937734, 420.34406828308465, 420.31324654389897, 420.3490133537469, 420.32196364802496, 420.3173535511761, 420.3292866084386, 420.32802098288994, 420.350180288622, 420.34591904544453]"
60,"[420.5084798254164, 412.72393145876913, 411.1877629824012, 410.56612684516176, 410.5720000989426, 410.63745373809337, 410.6354733662977, 410.6463480354905, 410.66599182059457, 410.6644935232142, 410.6972226958177, 410.696230140805]"
65,"[411.2612315142732, 404.05085659187785, 402.59987827373413, 401.99862543023767, 402.0039237472421, 402.0707970324696, 402.0757141974722, 402.0879904050961, 402.1148454046748, 402.1225975481561, 402.1825814509763, 402.2175219984441]"
70,"[402.90290005622956, 396.71181403549724, 395.5027715265437, 394.96366666379095, 394.99199959127316, 395.06791413001065, 395.083757634961, 395.09717128260354, 395.121624421048, 395.12560191809155, 395.18441307863156, 395.21711211111904]"
75,"[396.02420988445544, 391.0052794189596, 390.06924453465786, 389.61204727880886, 389.66413847948166, 389.7467534211369, 389.7714311164922, 389.78201121773895, 389.7945164687995, 389.78429290942796, 389.8420397233441, 389.85828009198286]"
80,"[390.2866705119277, 386.9688285137091, 386.4406913747531, 386.1015093652534, 386.19396424758514, 386.27961904890384, 386.3130646861045, 386.3249662717751, 386.34141979552857, 386.32883090028434, 386.3843109910753, 386.39409788945096]"
85,"[385.3116294233129, 383.86921836469674, 383.77413557047277, 383.56722122144345, 383.70578282305956, 383.78900373020724, 383.82718220971867, 383.87354473803936, 383.9181929325491, 383.92885315180024, 384.02029368034323, 384.0768922736627]"
90,"[380.81788060029317, 381.544846133431, 381.80122896205654, 381.7307832157283, 381.97517419825664, 382.2137059043732, 382.3645974912992, 382.46205823497496, 382.56030050461885, 382.6619130371567, 382.87868540881556, 383.0732901562738]"
95,"[379.33013219096387, 379.99666133123776, 380.3544260875383, 380.57507576793995, 381.069867497668, 381.3351965476492, 381.5336428867871, 381.82257137800804, 382.2172706932553, 382.5225481062195, 382.8124079173205, 382.9582991039219]"
100,"[382.3805572975761, 382.33056831885045, 382.0130978481865, 381.58432721340137, 381.8237677056897, 382.03508977756934, 382.0680491541995, 382.07422480887055, 382.11772176052796, 382.179836241311, 382.31938965144997, 382.41727933736297]"
