iteration,trainLoss,trainRMSE-avg
0,430016.72,655.76
5,333070.34,577.12
10,320224.97,565.88
15,307762.06,554.76
20,294835.44,542.98
25,281757.97,530.81
30,268535.2,518.2
35,255369.36,505.34
40,242169.4,492.1
45,229379.6,478.93
50,217000.14,465.83
55,205204.9,452.99
60,194094.25,440.56
65,183855.39,428.78
70,174640.66,417.9
75,166582.92,408.14
80,159862.12,399.83
85,154406.45,392.94
90,150744.0,388.26
95,147438.9,383.98
100,146273.11,382.46
105,144304.1,379.87
110,142891.48,378.01
115,141240.22,375.82
120,140531.66,374.87
125,138681.16,372.4
130,137429.83,370.71
135,136393.98,369.31
140,136358.72,369.26
145,134716.06,367.03
150,131414.84,362.51
155,131915.22,363.2
160,128841.62,358.93
165,124088.73,352.25
170,120140.82,346.58
175,115640.695,340.02
180,108988.21,330.11
185,105275.63,324.39
190,103686.74,321.92
195,100914.33,317.61
200,99471.1,315.29
205,96018.03,309.77
210,97321.98,311.83
215,95560.59,309.0
220,94669.9,307.53
225,99471.63,315.17
230,93298.414,305.29
235,94618.49,307.44
240,90137.21,300.07
245,90581.766,300.86
250,108051.06,328.55
255,97202.11,311.38
260,93050.27,304.91
265,89825.3,299.51
270,91035.2,301.51
275,87402.15,295.46
280,85041.086,291.41
285,85913.79,292.89
290,85145.4,291.58
295,85859.66,292.87
300,85120.49,291.62
305,84140.86,289.92
310,79884.47,282.46
315,91653.164,302.45
320,84159.18,289.93
325,81942.71,286.06
330,80952.34,284.35
335,91229.24,301.87
340,80250.34,283.12
345,79355.055,281.49
350,81394.875,285.12
355,78100.83,279.2
360,79745.77,282.12
365,83844.836,289.17
370,75339.03,274.24
375,74403.125,272.53
380,72096.12,268.31
385,79992.914,282.46
390,73281.8,270.51
395,71386.72,266.94
400,75790.21,275.1
405,70221.53,264.78
410,69637.92,263.67
415,68486.46,261.46
420,69184.42,262.82
425,70061.13,264.42
430,69561.01,263.55
435,71299.58,266.82
440,70720.74,265.71
445,67401.76,259.31
450,101611.06,317.96
455,106680.72,325.68
460,106275.94,325.87
465,80593.86,283.56
470,73264.14,270.42
475,72737.875,269.34
480,83426.98,288.47
485,85351.82,291.6
490,76324.05,276.0
495,75872.29,274.98
