iteration,trainRMSE
0,"[657.8609376889964, 657.8549335643395, 657.1834751587861, 656.5979878224094, 655.9748624486584, 655.8322776265376, 655.7606484465033, 655.6328448911024, 655.5754601561563, 655.5515274700729, 655.5185132294085, 655.4755718880151]"
10,"[654.7438461919098, 640.5025296531347, 636.6955267583191, 635.6262666157106, 634.8782585562622, 634.6919654844254, 634.6011181835845, 634.4570705756975, 634.3832448031627, 634.3402536536263, 634.2893299916499, 634.2357602163639]"
20,"[649.7431055778707, 622.6030173631516, 620.5798424290883, 619.5244863333289, 618.8071345187523, 618.6497476626064, 618.5800852045038, 618.4541954602597, 618.3937401008178, 618.358495266015, 618.3160439000328, 618.2644792090338]"
30,"[643.1381669175981, 603.5166635699679, 601.6527817550789, 600.4411227314782, 599.6935857908352, 599.5288007391287, 599.4546667496303, 599.3240959895871, 599.2579547058608, 599.221527772433, 599.1814808216611, 599.1312917035477]"
40,"[634.7986154628718, 581.7784191793215, 578.2864014845495, 576.9368102453873, 576.1721423646613, 576.0115961403488, 575.9426476022077, 575.8163411658412, 575.7534447705482, 575.7215507998545, 575.6874044111823, 575.6428540097651]"
50,"[626.3625761407385, 557.6000268842427, 552.7570681607748, 551.2701786211064, 550.4940404421908, 550.345440459877, 550.2862888815234, 550.1689632635466, 550.113459121598, 550.0936937176731, 550.0689895071005, 550.033243436001]"
60,"[611.5547277816904, 530.6185528560173, 525.754241738522, 524.287479720591, 523.5181812454247, 523.3912182964825, 523.355374531076, 523.258499603719, 523.2161317742675, 523.2099220637552, 523.2013358841531, 523.1779051760165]"
70,"[589.3657563715515, 502.8575584297373, 497.18993581766927, 495.6387970823453, 494.8864682541317, 494.78581802423224, 494.77097266833545, 494.6884910944518, 494.6562102362172, 494.6615305447727, 494.66753831436955, 494.65650746220103]"
80,"[563.9821305472311, 474.82711180647294, 468.0805801356091, 466.5366614816649, 465.801501622691, 465.72219048317555, 465.72296554164, 465.6644269483978, 465.6468949432305, 465.66606313345414, 465.684064656963, 465.6869463061312]"
90,"[536.1889962976255, 447.42168416292293, 440.72604675487634, 439.26228743788255, 438.5711329650513, 438.5467124165043, 438.58065814703485, 438.565551510962, 438.57525809321356, 438.6418918702521, 438.71328587930157, 438.7466247449288]"
100,"[503.568659383986, 422.04751217864947, 416.10089273659463, 414.847107705516, 414.26624888920486, 414.31359108958253, 414.4177984485335, 414.45672606174526, 414.4875281321659, 414.57766791657957, 414.6879712133191, 414.7807882544895]"
110,"[478.19008683997373, 399.90651896796174, 395.8663898896002, 395.33551873046434, 395.08531899642986, 395.2852435808791, 395.54945608056124, 395.67187417575485, 395.80791031216523, 395.9951115002833, 396.1748394773908, 396.3358569946771]"
120,"[448.246997969394, 381.9270092923883, 379.3423789615686, 379.54680612790554, 379.8133495232933, 380.3660261556258, 380.907281473793, 381.3463242508723, 381.62070026304895, 382.0629722782231, 382.40328612391386, 382.6658597783077]"
130,"[427.44186137108096, 369.0090005533531, 369.11992231957464, 370.7276683364117, 371.423653096799, 372.1575775770581, 372.95108245562494, 373.5719085508853, 374.0530052991855, 374.77252326063586, 375.2691846439899, 375.6446631185421]"
140,"[411.6239248064571, 361.2352580217896, 362.1117962438475, 363.90705091071294, 365.0961086252346, 366.1006882553574, 367.28124019301094, 367.9346129430045, 368.5381779761834, 369.37921597401316, 370.0685381673323, 370.5777607835651]"
150,"[399.6488483054821, 351.5830592637425, 352.8181776886313, 354.87586792731133, 356.15246058929097, 357.31863591558925, 358.6538125115589, 359.63828894302736, 360.536383636809, 361.79243196509316, 362.7721137879693, 363.6384534803034]"
160,"[387.80930334490165, 341.28617389220375, 343.6509639545285, 346.6062375818331, 348.3172758208229, 349.88725005600855, 351.764576854768, 352.99258413510324, 354.125360029832, 355.6996024454828, 356.94109454874507, 358.0645853664167]"
170,"[376.5179471335539, 333.58147783437005, 333.82392618609686, 336.0944244919356, 337.45379072161523, 338.7131279360746, 340.2079627420898, 341.8062532730611, 343.3378317856492, 345.18055692251266, 346.47125469725194, 347.9065465325525]"
180,"[373.2738329919045, 324.8444306607326, 326.6818213382396, 330.1362751360232, 331.2510884036754, 332.3633584360242, 333.62243014900736, 334.7720601933822, 335.95475281416026, 337.6494088931945, 339.18395539863906, 340.9133919150192]"
190,"[365.3972743758825, 318.1215009233349, 320.8896465915391, 324.2819408046482, 325.427589400824, 325.97506592881376, 327.2482325913004, 328.8833501054355, 330.5758943042762, 332.97671353146467, 334.7211852887329, 336.80999927987546]"
200,"[357.5789288138226, 314.3140949865887, 315.6416980615251, 318.23856322660527, 319.7607801202025, 321.17736006274873, 322.5296064672686, 323.52729296170367, 324.981265743819, 327.2492603363625, 329.46591653113035, 331.92998271468696]"
210,"[355.05336057158974, 314.4123988155246, 316.66600638072435, 319.1442402348226, 319.68205248515244, 320.2640485942947, 322.15512639167434, 323.0173480087476, 324.64202122470016, 326.42968578292823, 328.75788886970423, 331.582762106186]"
220,"[349.46273827962625, 310.5914515714544, 313.2826038167754, 316.7910373253677, 319.36641832170903, 320.21524321864587, 321.11478316136464, 322.09679438582504, 323.5506884906717, 324.93926547726574, 326.316225159168, 329.03451969581926]"
230,"[348.892959990792, 307.3039322235812, 310.48525315075995, 315.807324435063, 318.200555001667, 318.7242269622669, 319.89337739237595, 320.35084385529706, 321.9252008585128, 323.5787160186561, 325.7081486857019, 327.75369045418034]"
240,"[346.69640051365224, 308.1124211778972, 311.4834618633122, 315.5057123128964, 317.9651153207249, 319.3200576228778, 320.6189079169494, 322.4385177557769, 324.71691392193134, 327.69475583594124, 331.4674710585408, 335.8782849672947]"
250,"[343.6159375650972, 308.6332580396924, 313.15682402796045, 316.680913834954, 319.50467439484015, 321.2333952008623, 323.9956710844516, 327.1915967100281, 331.8753856232735, 336.1662125599993, 340.53636643503125, 344.46323771589937]"
260,"[341.4996551156183, 306.10677453150964, 308.571884069476, 312.0481006968732, 314.5551356352873, 315.59584236091644, 316.4481596430086, 316.87744251826507, 318.20307502485844, 319.8994596656345, 322.36560876957793, 325.57052419961707]"
270,"[342.6193721429024, 305.3142970164251, 308.89373815173496, 310.1378445407684, 310.96482023789514, 311.7057775083867, 312.4613727977734, 312.7482553670598, 314.3567328045949, 316.5307162169301, 319.63837244038933, 323.5908479945643]"
280,"[338.9410063643283, 302.5474318624717, 305.6021187269648, 309.0739203230524, 311.4916188282903, 312.3423121135304, 312.92885301690893, 313.6332213082562, 315.8540797088639, 318.2656144624448, 321.8222456869765, 325.519569555528]"
290,"[332.2663261456594, 299.7804880233842, 305.10008116994703, 310.0157080845412, 311.8366025296443, 311.98453410309224, 311.7524407504364, 311.3207247940033, 312.00634615735794, 314.0370589235416, 317.89177922835046, 322.39360490670117]"
300,"[329.86018442064415, 297.9303746606163, 304.6250359218601, 308.30589250668623, 309.14639844671666, 309.1995980013582, 309.76661760073887, 310.5932257512105, 313.03940407346147, 316.25795814969484, 320.3835473799778, 324.90122567326523]"
310,"[330.43857073592613, 295.66294294425984, 300.95822944893746, 303.3360726843868, 304.33182190211926, 304.67851702863715, 305.1969280766382, 305.42165729481553, 308.14563856248054, 311.6674797190994, 316.41253558605234, 320.619460253161]"
320,"[329.7077302172987, 294.3993638681569, 299.85050559837987, 303.25999745204365, 304.8455071243963, 304.4333769473981, 304.92845730628324, 304.91282225439363, 307.19906553081535, 311.4476006439022, 316.24821581015505, 320.58902508297103]"
