iteration,trainLoss,trainRMSE-avg
0,317365.06,563.35
15,291101.7,539.54
30,259722.3,509.63
45,222741.4,471.95
60,183202.44,428.02
75,145562.66,381.52
90,114865.79,338.92
105,96905.305,311.29
120,94879.84,308.02
135,101549.62,318.66
150,81751.44,285.89
165,65847.02,256.48
180,57451.906,239.3
195,45345.047,212.54
210,44798.57,211.2
225,35170.61,187.39
240,32868.49,181.17
255,31444.62,177.19
270,29643.62,172.07
285,30397.072,174.16
300,28701.781,169.29
315,27452.795,165.55
330,26416.602,162.4
345,26624.055,163.06
360,25592.645,159.86
375,24441.643,156.25
390,25220.166,158.67
405,25345.758,159.05
420,23164.268,152.12
435,22520.299,149.96
450,22225.3,148.98
465,21941.441,148.02
480,24043.084,154.89
495,23202.182,152.15
510,21223.324,145.6
525,23058.168,151.69
540,22652.248,150.37
555,20513.816,143.13
570,20550.328,143.27
585,26113.793,161.25
600,20712.863,143.81
615,20582.482,143.39
630,19542.367,139.65
645,18990.84,137.71
660,18419.045,135.63
675,19694.992,140.22
690,21459.004,146.28
705,18294.225,135.15
720,18356.441,135.36
735,17787.486,133.28
750,19726.555,140.26
765,18788.81,136.98
780,18486.914,135.88
795,17193.836,131.04
810,19068.887,137.82
825,16463.629,128.25
840,16508.943,128.41
855,16031.31,126.56
870,16502.46,128.4
885,16988.686,130.24
900,17018.633,130.39
915,15402.878,124.06
930,16547.09,128.55
945,16423.445,128.08
960,15437.463,124.18
975,16673.803,129.04
990,14886.89,121.96
1005,15471.496,124.27
1020,14535.969,120.5
1035,14169.587,118.97
1050,14622.735,120.87
1065,14424.963,120.06
1080,14612.97,120.82
1095,14776.041,121.5
1110,13442.047,115.9
1125,14218.695,119.19
1140,13669.928,116.88
1155,13123.997,114.5
1170,13997.758,118.24
1185,13026.39,114.09
1200,12475.304,111.66
1215,12425.692,111.42
1230,11919.237,109.14
1245,12322.75,110.98
1260,11951.784,109.28
1275,12041.563,109.71
1290,13457.879,115.89
1305,12353.213,111.11
1320,11823.815,108.7
1335,12691.88,112.61
1350,11218.986,105.88
1365,14794.113,121.48
1380,12018.824,109.58
1395,11205.218,105.82
1410,11013.305,104.9
1425,10771.88,103.76
1440,11262.966,106.09
1455,10481.924,102.34
1470,10981.097,104.75
1485,11022.134,104.95
