iteration,trainRMSE
0,"[562.6378587934229, 562.945376556759, 563.2047337950288, 563.2974919852225, 563.3519672049613, 563.369214575049, 563.3784138795484, 563.381474500135, 563.4466998028498, 563.5038864465484, 563.7314739411621, 563.9560935300768]"
15,"[539.5838110985683, 539.2007909836456, 539.3442958211135, 539.4131974438811, 539.4592231709345, 539.472759266332, 539.4804278224193, 539.4831805251696, 539.5467164613249, 539.6018061460046, 539.8246104824434, 540.0457477445111]"
30,"[510.33400933956943, 509.34949044224743, 509.39634309811754, 509.44593278508364, 509.48419321452866, 509.49379461007584, 509.49945847147484, 509.5014674909923, 509.5621443154037, 509.61386747367925, 509.8292925268229, 510.0448451926399]"
45,"[473.6587543313967, 471.76588231058207, 471.66282406274746, 471.6810762800878, 471.7067559441544, 471.71012635987574, 471.71262237504675, 471.71345089488045, 471.76960376389263, 471.81608629686735, 472.01974059931786, 472.2262219525293]"
60,"[430.4424199550989, 427.92616339234957, 427.7103389631228, 427.6968971204616, 427.70574896952934, 427.70012770196604, 427.69794474128804, 427.69701363658925, 427.746050890047, 427.78443693357, 427.969182938918, 428.1607408902888]"
75,"[384.50368175724503, 381.5434756944344, 381.23188122004575, 381.18116730576975, 381.16633181244134, 381.1476566799456, 381.13866831315, 381.1351392570858, 381.17293564468144, 381.19876812290096, 381.3527322508675, 381.5192911775794]"
90,"[341.5072740906096, 339.0346230471818, 338.7529318192718, 338.671349338881, 338.62530794699506, 338.58861530575973, 338.5699522959006, 338.5628009731965, 338.5828556404482, 338.58944390431236, 338.69317781471386, 338.8175550379096]"
105,"[312.71373086541763, 311.51257010860013, 311.3592697840264, 311.2496945380716, 311.16462790989726, 311.10550397077435, 311.0747017547373, 311.062958373078, 311.0570103029963, 311.03640711997303, 311.06337404945043, 311.1207888223794]"
120,"[307.87056130697795, 308.2494058602564, 308.3088700307282, 308.1996476637412, 308.0920717545854, 308.0195887633647, 307.98138623908403, 307.9668414031327, 307.94196036095764, 307.902270139477, 307.87107558571154, 307.87604410175203]"
135,"[323.5764611635728, 318.98331053909925, 318.2208832499235, 317.89571256161526, 317.90927212668566, 318.06829384748477, 318.1564617342502, 318.18538754568164, 318.1979639226339, 318.18414404141276, 318.2418304057662, 318.3296507925513]"
150,"[277.4673433396205, 277.761173137369, 287.3301435672495, 288.56243418303256, 287.89320626478514, 286.71090617748456, 286.79407122476357, 286.9550047375426, 287.21835364772204, 287.6559097391492, 287.9691011901034, 288.41655718512595]"
165,"[235.82367549094045, 244.0921512745961, 253.62919627765612, 256.4637884210558, 258.4077863116437, 259.2131448636063, 260.116732347616, 260.9244996768459, 261.4686170393962, 262.02925794622854, 262.4663651779227, 263.1061870790473]"
180,"[202.9234551797994, 227.13063902029043, 236.94814025992395, 235.40421374084085, 235.83411943756602, 238.4711469776285, 241.74080327255533, 245.3918151851702, 248.52023066080312, 251.32432358612692, 253.21608021374388, 254.7272439755478]"
195,"[185.7382071131325, 205.74898211155985, 208.4982922687379, 202.75190699713713, 200.89240295991345, 204.65387025915018, 212.59218319744133, 220.09716176259073, 225.01034635977553, 227.094151242582, 228.222479443264, 229.21080117133656]"
