iteration,trainRMSE
0,"[556.6562970332704, 556.8107000115774, 557.2120037936343, 557.4112088388699, 557.7280354476851, 557.9270562464483, 558.1503145618985, 558.4218313153807, 558.5832477974313, 558.5937688719679, 558.6274267598885, 558.6482615790452]"
15,"[442.3956844573342, 437.9103840189815, 437.5767092564379, 437.6329989378799, 437.8924495504814, 438.0441248616882, 438.2202755908973, 438.45172096460504, 438.5752056741023, 438.5821681489562, 438.6041150046046, 438.6097309805551]"
30,"[403.3924229316256, 399.3372844327231, 399.05684575607415, 399.0991821624549, 399.3336897748557, 399.45985870601686, 399.60914952501116, 399.8163976055534, 399.9183821233627, 399.92339393398004, 399.93893866918347, 399.93657488165877]"
45,"[364.04545020903134, 360.5976272805779, 360.4302207116099, 360.4561447043339, 360.6508490880047, 360.73838531643037, 360.84698609554835, 361.0163813733069, 361.08615639860335, 361.0883223366874, 361.09453514626193, 361.0809120241557]"
60,"[330.3039998377125, 327.5389188382883, 327.35359033751865, 327.32501478818597, 327.46431382877677, 327.51056607047514, 327.5711746057814, 327.69152811266804, 327.72354125756453, 327.7249638225154, 327.7228641987993, 327.6974411568514]"
75,"[307.83933948998913, 307.9502648966199, 308.1118010611978, 308.0757882010687, 308.1318525716444, 308.09763936422104, 308.07828908350905, 308.12148759146015, 308.0952042489325, 308.0974403212985, 308.08072955696133, 308.0456467745131]"
90,"[300.75925601422756, 305.12368434535847, 306.16706664556506, 306.40685307908296, 306.568199150706, 306.5306900164592, 306.42415868840965, 306.3682932050565, 306.2421335771314, 306.2098764990477, 306.1777420792716, 306.1487018464331]"
105,"[294.03652318028975, 299.88481031880247, 302.05864087077896, 302.8980946645616, 303.36199338265925, 303.3171124573265, 303.1071668586318, 302.93995916792323, 302.6993999369289, 302.61373194646137, 302.58382501114903, 302.61857688113804]"
120,"[282.71388459013957, 282.82067386901866, 287.73294102910506, 289.9696893379675, 289.29997906831386, 287.81111295411364, 287.0760927422544, 286.81455187068906, 286.72542535447155, 286.8696643394555, 287.0127104590798, 287.2557488265509]"
135,"[247.31609663007137, 240.69252218721897, 253.4122011624213, 255.03171583295702, 254.48662586452176, 254.54425629552284, 255.1408005241559, 256.1623898161456, 257.2892069524282, 258.8027429631983, 259.97549444070665, 261.5489485266899]"
150,"[196.40331488717894, 209.20851598351712, 219.80790597081887, 226.916482750536, 235.27652547343746, 241.16942607951975, 245.3778551667291, 248.2491397266372, 250.41389362975914, 252.69474976883592, 254.35466467588603, 256.34225322874084]"
165,"[192.23118003340355, 207.3920428015783, 211.92649198186555, 205.17553504379845, 199.42959918009106, 201.7587457137275, 212.01355066519892, 225.78876623779487, 239.32620391519063, 250.97826790401268, 258.6171305767784, 262.9127052320766]"
180,"[203.2830274118602, 235.29964453823774, 262.7755512630107, 267.26987215478266, 257.76196517394885, 248.06647208923454, 243.3687742551353, 243.2597858185806, 245.51472946175736, 247.76837174993332, 248.30410766166924, 247.66314907299704]"
195,"[183.95347585276104, 200.58762934361133, 212.6530150681661, 208.07685679526804, 202.5848964605666, 207.63894605368708, 220.79574145600986, 233.32859780005245, 240.24710164493573, 242.0429268254814, 243.62836480074478, 246.05737976833478]"
210,"[182.1552360951539, 194.57293421029817, 205.59895373013345, 211.68567047576445, 224.7239180962035, 230.54770992676285, 228.33466014266685, 221.11303577827437, 212.1549014667225, 205.28609354490163, 205.2151487931959, 212.1133076029683]"
225,"[180.19016512210942, 197.0632489126395, 210.34701535407703, 200.79377526718807, 187.228478199505, 190.8442236778763, 204.60699754902598, 212.1488173194497, 218.85521904752977, 233.63863830648995, 251.43403178161105, 265.5888316082452]"
240,"[177.4890378860746, 192.66450411039892, 206.95192664806908, 200.16443351977037, 189.38623522210935, 186.7199517041396, 193.2022419624376, 200.04169145884623, 205.45948273508253, 211.09506382754955, 219.70831410881615, 232.3018420400024]"
255,"[188.74538051409561, 194.21658613265353, 202.4794575384064, 203.4266590747252, 208.39998759198957, 215.32939539912314, 219.90315940816322, 219.59103111440174, 216.89675507086804, 217.4194156919109, 221.0737556538796, 226.101311937113]"
270,"[170.7712413468536, 180.63825605980966, 186.475581022466, 178.87524126031832, 175.1463983580955, 180.875005131617, 187.3329545557002, 185.42407154332403, 182.06628713722006, 181.45842179704206, 183.54860792211434, 191.23035689418936]"
285,"[161.1704480638239, 178.3682389388839, 186.81963478223952, 179.05888265513696, 175.3585933494603, 178.2880857813853, 182.39538977460913, 182.72489324255142, 185.3565754438782, 190.03600292098722, 196.53519842230244, 204.58005227626123]"
300,"[154.7373829609003, 166.51878515949696, 175.8499481184424, 172.879834791372, 171.37478413403292, 173.7785567751278, 175.49383625055103, 175.27948607477254, 174.78639175386598, 175.09819837835235, 178.25593124664604, 187.52852994043383]"
315,"[155.4633181308387, 164.6341857741395, 171.75566579807082, 169.99953015568556, 168.17744973210617, 171.47773495531368, 175.6335075554149, 177.24963219313278, 177.57207369109335, 177.59149753756083, 179.09972938854716, 184.8808030766819]"
330,"[161.47625478178918, 165.77619423649477, 171.25936787738746, 169.62650043815398, 169.34981939751094, 172.9315428662099, 176.49972051555244, 178.65993641706763, 179.96990347393057, 179.27188011582214, 177.40785427746857, 180.26053645313766]"
345,"[153.12820621825506, 162.0356166849958, 169.58691588396348, 171.29158082649624, 170.45844774615233, 171.61221404622134, 172.37466142716454, 172.27362899375518, 172.78479921200926, 173.6447119835745, 175.16614080969646, 181.2094978027762]"
360,"[151.0559749727359, 162.0074781600335, 169.66492935953138, 171.6822637417942, 171.77191440121055, 175.58108651841337, 177.57516548704845, 178.53348448545057, 179.43270282348203, 176.72488555817912, 173.87486497915302, 175.6741893981734]"
375,"[149.2692697423109, 161.66329738453345, 169.94053901434597, 170.80458370195169, 169.83222458611078, 172.85658386403085, 175.7597458152076, 176.9383672295504, 177.96428275531247, 181.15425841674275, 186.73784675797017, 197.82071344413387]"
