iteration,trainLoss,trainRMSE-avg
0,310749.2,557.45
15,161584.97,401.97
30,132971.2,364.65
45,110021.39,331.69
60,96053.96,309.92
75,92660.21,304.4
90,90170.65,300.28
105,88366.83,297.25
120,72940.5,269.99
135,57184.84,239.1
150,49862.12,223.12
165,49482.785,222.27
180,39376.98,197.84
195,34376.66,184.88
210,33044.418,181.52
225,31252.58,176.64
240,28563.803,168.71
255,26069.23,161.41
270,23350.752,152.75
285,22746.414,150.77
300,20842.863,144.3
315,19462.06,139.46
330,20292.635,142.29
345,16648.09,129.01
360,19128.033,138.18
375,15142.288,123.02
390,14116.563,118.79
405,13636.3,116.74
420,12205.979,110.46
435,11960.431,109.34
450,11470.772,107.08
465,12293.936,110.8
480,14906.614,121.99
495,10878.787,104.28
510,10962.535,104.67
525,10395.967,101.93
540,15495.636,124.36
555,10892.898,104.35
570,10112.669,100.53
585,9825.841,99.1
600,8748.357,93.5
615,8914.376,94.39
630,8823.317,93.89
645,17008.41,130.18
660,10044.874,100.18
675,8508.622,92.21
690,12353.511,111.02
705,9139.436,95.58
720,8141.184,90.2
735,8297.875,91.06
750,7439.514,86.22
765,7486.2344,86.49
780,7234.0527,85.02
795,6867.6343,82.84
810,9267.487,96.14
825,7331.168,85.59
840,6587.3003,81.12
855,7031.579,83.83
870,6419.9473,80.1
885,6968.786,83.45
900,6767.0615,82.23
915,6631.878,81.4
930,6044.6694,77.71
945,6272.8804,79.18
960,5955.93,77.14
975,6143.9614,78.34
990,6535.3447,80.82
1005,5878.117,76.63
1020,5109.7007,71.44
1035,5218.2383,72.2
1050,5164.121,71.82
1065,4656.965,68.19
1080,5391.0317,73.4
1095,4961.739,70.41
1110,4747.753,68.87
1125,7449.4546,86.05
1140,5234.4907,72.32
1155,4625.175,67.96
1170,4426.13,66.5
1185,4096.488,63.96
1200,3797.1987,61.57
1215,4418.367,66.45
1230,3638.6152,60.27
1245,4372.784,66.11
1260,3445.1267,58.63
1275,3858.8132,62.08
1290,3618.45,60.11
1305,3440.3108,58.62
1320,4784.231,69.11
1335,3528.3218,59.36
1350,3427.449,58.51
1365,2856.87,53.38
1380,2685.2683,51.73
1395,2853.4502,53.36
1410,3884.8806,62.28
1425,3308.0156,57.47
1440,4170.419,64.55
1455,3017.8447,54.9
1470,3116.2432,55.8
1485,2868.0515,53.51
