iteration,trainLoss,trainRMSE-avg
0,138419.95,372.05
10,127720.77,357.38
20,119438.6,345.6
30,110536.71,332.47
40,101576.29,318.71
50,93374.75,305.57
60,86964.16,294.89
70,83543.37,289.04
80,82614.37,287.42
90,80411.3,283.54
100,77101.57,277.64
110,74703.836,273.28
120,74432.88,272.75
130,70422.97,265.33
140,66977.54,258.77
150,65125.117,255.14
160,63533.54,252.02
170,59846.668,244.6
180,57221.168,239.16
190,54787.516,234.02
200,57972.457,240.64
210,53688.06,231.64
220,51557.5,227.01
230,50228.96,224.03
240,47618.836,218.15
250,45029.84,212.09
260,45544.773,213.25
270,41606.094,203.87
280,38679.99,196.57
290,37312.5,193.01
300,37177.17,192.63
310,34783.594,186.33
320,33331.527,182.49
330,42047.836,204.35
340,34129.234,184.59
350,30866.613,175.62
360,29449.2,171.54
370,32571.086,180.33
380,31133.537,176.31
390,31098.725,176.1
400,27761.158,166.56
410,27183.879,164.79
420,26465.396,162.64
430,26721.275,163.4
440,25377.156,159.18
450,25150.832,158.53
460,23302.121,152.59
470,23207.072,152.29
480,25466.195,159.43
490,25910.482,160.69
500,22749.404,150.69
510,24474.408,156.41
520,24377.861,155.9
530,23380.492,152.89
540,27390.135,165.32
550,23271.377,152.47
560,21085.887,145.17
570,22885.21,151.24
580,21273.898,145.76
590,19159.328,138.37
600,18943.598,137.58
610,18821.682,137.12
620,17771.764,133.25
630,17366.902,131.71
640,17020.125,130.39
650,16837.479,129.69
660,16528.992,128.5
670,15995.584,126.4
680,15636.35,124.95
690,16689.387,129.12
700,15243.478,123.38
710,16180.172,127.13
720,17548.32,132.42
730,17222.854,131.17
740,15064.304,122.66
750,16317.336,127.61
760,16811.947,129.59
770,14412.812,119.94
780,14308.326,119.5
790,13223.778,114.85
800,13988.072,118.17
810,12921.544,113.49
820,15492.85,124.41
830,12370.104,111.05
840,12730.293,112.67
850,12384.35,111.14
860,12684.092,112.47
870,11556.004,107.29
880,12900.184,113.46
890,13567.712,116.39
900,12258.41,110.58
910,13482.622,115.94
920,11335.136,106.3
930,11847.717,108.68
940,11541.96,107.2
950,10333.661,101.4
960,10516.835,102.35
970,10053.405,100.01
980,9645.184,97.93
990,12809.008,113.0
