iteration,trainRMSE
0,"[372.1975878875229, 372.2159986393493, 372.2177126856238, 372.2093529032626, 372.1961741303185, 372.17770505209415, 372.1596338735195, 372.09653086157033, 372.0047495262359, 371.84843504349897, 371.6741690204326, 371.57964192302876]"
10,"[359.09164446750293, 357.60035365709126, 357.37675585110736, 357.3374434030896, 357.3277622796104, 357.32062645202814, 357.31571275529757, 357.26914622120023, 357.1940189160247, 357.0507656506755, 356.8860984711571, 356.7956257119778]"
20,"[347.6628973203101, 345.83565291038514, 345.54949022819017, 345.5049892715174, 345.4974763917834, 345.4928144693103, 345.49014865654647, 345.4493204795038, 345.38105805876415, 345.2431754966364, 345.08312681018253, 344.9934542335443]"
30,"[334.97095989162005, 332.72130416856703, 332.3637848031197, 332.31176062361493, 332.30636060769547, 332.3048781359309, 332.3052881010574, 332.27232140466424, 332.2135420165115, 332.0834447804816, 331.93027809942976, 331.84219860348134]"
40,"[321.3745039858286, 318.94924226513865, 318.56368985752437, 318.5106238726741, 318.5091391461418, 318.5119524769837, 318.5163652539896, 318.4937445189538, 318.447543979732, 318.3282574454014, 318.1848821754419, 318.0993872148893]"
50,"[308.07615969690636, 305.7723244872037, 305.4076071062953, 305.36118100114544, 305.36561320286495, 305.3739582027894, 305.38345223262655, 305.37422678178734, 305.3444963462559, 305.2401410509982, 305.11059990223583, 305.02920874034965]"
60,"[296.8126338049275, 295.00489865988106, 294.7414436174381, 294.7136331513915, 294.7266498960514, 294.7418751157345, 294.7574838783117, 294.76492201802245, 294.7559596997574, 294.67159225503104, 294.5611032597852, 294.4860218028258]"
70,"[289.2760691408582, 288.9656353458805, 288.9790204849467, 288.9937500548786, 289.01906227631594, 289.0424003771727, 289.0649592460654, 289.09196324816475, 289.10776271309567, 289.0488469485862, 288.963253773277, 288.89724249111936]"
80,"[281.73127176361055, 285.9309460554576, 287.04114159462864, 287.4919024607606, 287.7733578986015, 288.03349217272466, 288.25417918890287, 288.45029349917235, 288.59191105172016, 288.61637104701845, 288.58096678285733, 288.5382103645823]"
90,"[274.6444748377645, 278.38866225263956, 280.5187142269474, 282.2929357334213, 283.47677043050857, 284.44113158948704, 285.1597986360914, 285.7692203705609, 286.394957495515, 286.8868183418419, 287.16197533154065, 287.3697656571967]"
100,"[267.65993104858603, 270.7398777464679, 274.4132752795623, 277.4587531628912, 278.7817485105338, 279.4108909733341, 279.70069059689274, 279.9868099464465, 280.22642709902624, 280.46103138648766, 280.95627063550864, 281.85868307592096]"
110,"[263.0164732199995, 264.97559718685307, 269.4824048740474, 272.8778868306132, 273.9376455840177, 274.4680973423068, 274.6426825364413, 275.0275600296657, 275.8269651225097, 276.8940469112136, 278.2719098425656, 279.8795176223778]"
120,"[259.31146905699086, 264.2028489621735, 269.50404336978846, 271.77690528344027, 272.1220343210529, 272.8183991439799, 273.3801739186098, 274.1358464470976, 275.8447902801083, 277.8825234348785, 279.8592687742446, 282.214039449592]"
130,"[255.31019434022565, 257.2923645948231, 262.69312000308537, 268.11348292811965, 269.48375985558937, 268.96010417763483, 267.3994087808238, 266.1380441517506, 265.6806134767844, 265.9681674906303, 267.0094527180934, 269.9564192291726]"
140,"[251.5604557008559, 253.86575125984132, 257.5222869910573, 258.98155806344715, 258.30962948440333, 258.07862897295274, 257.843987026225, 258.30372986280514, 258.98724925723116, 260.5844863908011, 263.5766742004254, 267.6086992887597]"
150,"[245.45630096327014, 247.30340318707957, 251.37408439179632, 254.2901039915074, 254.1934605552998, 254.9921108365161, 255.04935967711793, 255.8562773349802, 256.65533673526494, 258.6252298449765, 261.74596760857924, 266.1034277970963]"
160,"[241.55217972918783, 244.5301048369883, 249.83583932955437, 254.73371924487452, 254.89747915965296, 254.36966411059632, 253.33194424155295, 252.40071900829417, 251.90602850839383, 253.00241000177928, 254.84842688880653, 258.77723798560675]"
170,"[236.96700638492078, 238.2180964334243, 241.6526818876674, 245.18712486388216, 244.3220371472992, 244.93826761445004, 244.5342367808157, 244.46226278051037, 245.11986665862813, 246.38765377247952, 249.35759356505102, 254.0008282724335]"
180,"[229.4335028668857, 231.187243549997, 235.89604254440175, 240.07845447905, 240.0683057791288, 240.9576626628441, 240.6740993542442, 240.09283598743545, 240.18518671650332, 241.20310679210132, 243.25841691649242, 246.9101089694002]"
190,"[225.67385380167724, 227.02959392250875, 231.0473323365859, 235.69879140152406, 233.81611119789218, 233.64399662335515, 233.76445034857312, 234.04317536881265, 234.25836950738082, 236.05069766993972, 239.30060596927038, 243.89661469273778]"
200,"[224.63306312064287, 227.4417374629942, 231.85331559096585, 237.6122415139034, 240.3991490757603, 246.1487253315141, 247.58967468002086, 248.10706284945957, 246.59308051630245, 245.3601190262174, 245.08042171375791, 246.8556030584995]"
210,"[220.58408406759924, 222.60969835485906, 227.7711695341874, 233.23052823480253, 233.94045458592427, 234.88473891234173, 233.44481685151942, 232.33075672556808, 230.94225119813382, 232.6967271936544, 235.69778858491702, 241.5473777441053]"
220,"[216.4623208949688, 218.9495156448644, 223.41199875891218, 228.1637650358911, 227.78861956701385, 229.4864162558512, 230.26964438063453, 229.86682068860523, 228.36841889256291, 228.1129833394043, 229.68579978561647, 233.56335389455117]"
230,"[211.2555874938632, 212.73923429981926, 217.38503547739475, 223.77345359253718, 225.93049478396662, 227.16928226832877, 228.73052097841497, 229.20674363025643, 226.93750283317848, 226.2287513284632, 227.22667023322853, 231.73093745595347]"
240,"[208.15921208633645, 208.5664148383427, 212.60450714941044, 219.3669178453282, 220.02089293839143, 220.93144732486238, 220.5885650320761, 220.7936714501782, 218.7897753155816, 219.89185006248067, 221.7594072059238, 226.34202027749615]"
250,"[200.00106353556674, 202.39744325157815, 206.23106192102483, 210.8316413842862, 211.75085152175083, 212.58327371898883, 213.19809348966285, 214.33239820318317, 212.79777805830898, 215.3801658335145, 219.26588775797734, 226.32899006002046]"
260,"[195.92292024351175, 198.99248747655722, 206.25008447617603, 215.907858029208, 219.77748057476526, 221.39627993139095, 220.812102745839, 220.2104421003862, 215.92502449102915, 213.23107852961377, 213.41991823658967, 217.195188137542]"
270,"[191.55358525991213, 194.59762192435855, 197.37028019493675, 200.7173071330483, 201.45039513805588, 203.86134669516667, 206.72226375905296, 208.55695022508053, 207.59190316690203, 208.92661107169337, 210.9916980034566, 214.05461271047287]"
280,"[185.59028752986626, 188.59279172542486, 191.42659291063126, 195.20298289495886, 195.00323727883386, 195.34849615206033, 196.14100201234825, 198.31082734718885, 198.24487892876587, 200.73994928920158, 203.89134441669447, 210.30572719862153]"
290,"[180.74951083265688, 184.91867218863084, 186.4664978702638, 190.69532032926628, 191.86496103031618, 191.67229067917103, 191.99812236467054, 194.6187538789694, 193.66417118958344, 196.7193727225832, 202.12519379276648, 210.67380891926777]"
300,"[176.3810132765981, 180.91045939817786, 183.17244604713625, 187.97859091979464, 191.22020182291217, 195.47442132467899, 196.7412890496773, 198.54935776676183, 197.30739476266956, 199.63154890512686, 200.1847939426215, 204.00837329535028]"
310,"[173.16181201101867, 177.58363883136934, 180.12590625632382, 183.59049109415142, 183.5691713834472, 184.52846811915862, 185.86973980054753, 186.72800048929682, 188.57172355595142, 192.66293726034758, 196.211372067993, 203.4022944624811]"
320,"[172.84714493569152, 177.27244597420705, 178.08121703668422, 181.5605421198121, 180.47912706060188, 181.6857718408634, 182.9150347722297, 183.81949759935043, 183.78888675981506, 185.90474661580552, 188.50379329214928, 193.0738871094013]"
330,"[171.36670440236986, 179.16627268564852, 185.34178371499812, 193.84307570045732, 201.74664230119905, 210.25350164430145, 214.46294700762883, 219.08722185027636, 218.86681204597346, 220.19139361289345, 219.1693388974548, 218.71598734955694]"
340,"[169.46155638537655, 175.40222805301826, 177.38447572979572, 181.04288192634627, 182.41030314465365, 185.14612123130098, 188.51981438776542, 190.65922611992693, 188.520082624787, 190.91810618732922, 191.4005526648493, 194.26562372603962]"
350,"[168.24863038093724, 172.14273368578398, 173.32596218436737, 175.6495837079035, 175.19240580173584, 173.39774889247613, 173.499691914901, 173.35006150230643, 174.8677813359905, 178.9460938002961, 182.18545082366734, 186.65572701794397]"
