iteration,trainLoss,trainRMSE-avg
0,144593.75,380.25
10,97001.516,311.45
20,90087.4,300.14
30,84573.945,290.8
40,79543.164,281.97
50,75872.19,275.31
60,73821.95,271.57
70,69270.91,263.05
80,65171.812,255.22
90,64003.242,252.75
100,60186.938,245.27
110,60044.707,244.98
120,59483.19,243.82
130,54684.824,233.73
140,54825.543,234.05
150,52046.875,228.09
160,50817.07,225.39
170,50688.344,225.11
180,49123.176,221.61
190,48277.1,219.67
200,47986.34,219.0
210,46442.36,215.46
220,45044.863,212.21
230,43843.234,209.36
240,44049.57,209.82
250,41426.703,203.5
260,41852.484,204.52
270,40752.555,201.84
280,39719.758,199.25
290,40051.434,200.03
300,38942.17,197.21
310,38840.805,197.06
320,36716.812,191.58
330,35433.043,188.19
340,36189.387,190.18
350,36451.312,190.84
360,34949.176,186.84
370,35786.99,189.11
380,33701.703,183.52
390,31428.018,177.25
400,30804.678,175.44
410,33266.65,182.33
420,34321.688,185.15
430,34784.22,186.42
440,33038.566,181.73
450,32551.93,180.38
460,29671.23,172.19
470,28824.52,169.74
480,27315.469,165.2
490,28507.494,168.82
500,27728.727,166.48
510,26579.195,162.98
520,26571.717,162.95
530,25637.365,160.05
540,24640.672,156.9
550,28957.166,169.97
560,25470.557,159.56
570,23833.459,154.33
580,23905.771,154.55
590,23053.031,151.74
600,22206.479,148.91
610,26994.812,164.27
620,23538.023,153.36
630,22558.738,150.1
640,21657.441,146.99
650,21695.416,147.18
660,21488.635,146.51
670,22031.277,148.34
680,27846.887,166.61
690,20771.867,143.97
700,20398.904,142.7
710,19731.145,140.33
720,21415.48,146.25
730,23612.799,153.47
740,21095.465,145.13
750,19770.906,140.4
760,18997.4,137.67
770,19280.553,138.67
780,18421.695,135.55
790,18965.05,137.56
800,18513.102,135.88
810,18547.79,136.03
820,17890.664,133.6
830,19276.443,138.71
840,16897.93,129.7
850,19181.633,138.33
860,18485.406,135.84
870,16974.023,130.03
880,16865.62,129.61
890,17115.592,130.62
900,15720.855,124.99
910,16234.931,127.13
920,15644.553,124.65
930,15650.494,124.78
940,15582.434,124.55
950,16151.261,126.8
960,15266.281,123.2
970,16301.937,127.5
980,15814.188,125.47
990,14070.964,118.13
