iteration,trainRMSE
0,"[380.77124675786087, 379.84257975346094, 380.05218288037304, 380.04246740415294, 379.9969870032683, 379.89994933339057, 379.76633231708587, 379.60322245171307, 379.38673156668085, 379.18088461741974, 378.95957185503124, 378.7734607322878]"
10,"[334.26137994233443, 331.3026885581019, 330.8523952460718, 330.78433414658923, 330.77378064566915, 330.77301647215677, 330.7742612064623, 330.77529066600044, 330.7473267136644, 330.6921974187372, 330.5691382269386, 330.41769347623796]"
20,"[322.00891227986267, 319.1504651797499, 318.77064211989756, 318.7444780590251, 318.7306643563578, 318.7319571145699, 318.7424739359711, 318.7490847437464, 318.7360907185129, 318.6978272647102, 318.59447220812274, 318.4617937538765]"
30,"[309.81045193299127, 308.0636035092376, 308.01930415434487, 308.11529228631844, 308.14583076454625, 308.157373093363, 308.1714249569457, 308.1811422992898, 308.1854538702164, 308.162811568024, 308.07543984637414, 307.9675230474211]"
40,"[297.04952386531727, 296.2844079896259, 297.41038514318325, 298.350120619495, 298.78902930242515, 298.9918737481497, 299.10406781622834, 299.17293862935327, 299.24511032895015, 299.29655029774096, 299.27904030890994, 299.2323330276972]"
50,"[282.3001339105803, 282.6502316202416, 285.56186614947, 287.8966526883909, 288.98792032326224, 289.5618886194022, 290.0865405620424, 290.54174238826226, 291.0820155142893, 291.61721242026215, 292.0233652527719, 292.3043361062626]"
60,"[269.3897056562116, 269.40875574417913, 273.39824671523587, 276.18765653674143, 277.690868715212, 279.53681902687134, 280.8298778813284, 282.0816052134657, 282.9993838954593, 284.16250895596033, 285.07561854261763, 285.4412674147547]"
70,"[261.4395143117923, 261.36876772114516, 265.88459123533534, 269.70180643355866, 272.46036829273055, 274.97527080623667, 276.9853886003604, 278.8148724994729, 280.6228724780257, 282.4384303381414, 284.08891084641624, 285.4068341409877]"
80,"[257.1301633522584, 256.51983790331667, 257.6247210905124, 259.8078615929017, 261.64867491650034, 264.1204697148839, 264.9586417008184, 266.3708060139703, 268.0875166153046, 271.08273714806506, 274.3715225803211, 278.0757779141385]"
90,"[251.1093207610772, 249.9719867282634, 250.70456694417175, 253.3336489401029, 254.5564207018888, 256.48051925470526, 257.79333776089845, 259.6169321392409, 262.4632971834058, 266.9094885293394, 271.87598968931735, 277.47649295571244]"
100,"[248.71753851945383, 248.32985403492708, 250.05513137054572, 251.97359726467653, 251.5216835701554, 251.58544206626163, 250.8886151609754, 250.7998904244166, 252.48294410060106, 257.16964078550126, 262.6644223030604, 269.62853063648635]"
110,"[243.89454373513146, 242.2439672401568, 243.8702307629434, 246.28878752305934, 246.4320835007926, 247.31606633111994, 247.43284888379003, 247.92579828543685, 250.0628894382289, 255.18555493118473, 261.7760826017177, 269.77550495168697]"
120,"[240.46936303293003, 240.00422405489132, 242.85303003953175, 246.57829710500025, 248.58842810594192, 249.0129568681578, 247.48942302238606, 246.16521430544145, 245.08094104239652, 246.67898265875408, 250.12177881331962, 255.93996127978838]"
130,"[238.40717794243366, 236.37450666832234, 238.80056946911824, 240.534224532485, 240.38508066884756, 240.53757885671612, 241.51374188181617, 243.9261027730819, 247.15640479453467, 251.1162799992266, 256.8679896087693, 263.76113765867774]"
140,"[234.07674902519702, 232.81678111890838, 236.24908061525952, 239.35986839299636, 241.08327626989376, 243.4089120282124, 244.20929006722884, 243.8798530561214, 242.82512224094324, 243.32477140100585, 245.58487353691046, 251.36887418688224]"
150,"[233.8943044302601, 232.56333325326827, 235.49328317504657, 238.361870246588, 239.77302075416992, 241.06269387008655, 239.61915912214425, 236.56183513097733, 234.86331956555222, 237.2896770422161, 242.5359485157177, 250.3576045935867]"
160,"[233.85731926964434, 235.299250773348, 241.7530568849025, 248.4998134577363, 249.93605662354793, 249.30645045537054, 245.21618834416054, 239.00109660280808, 234.79957007562962, 235.75117247305278, 240.36795878190387, 248.14618813599498]"
170,"[227.52632204561476, 224.42699270089068, 227.02401309497276, 229.94858505363874, 230.1112341163516, 230.87678542838523, 231.3108125602561, 232.1001519982192, 234.9313906404513, 241.1954011799826, 249.9830310460962, 260.9644575761493]"
180,"[227.7631030123846, 227.09286120368316, 233.20550267664996, 240.34423163896122, 244.59414679635148, 244.94225215082074, 242.18008643326968, 237.9979566719334, 233.30248028187378, 232.30906661908028, 234.15307980943305, 239.44715022021737]"
190,"[222.48630498683823, 223.15302439720932, 229.87167466468597, 232.87023393442354, 235.73921442898484, 240.68247493741654, 246.38908494135316, 251.44038976195577, 257.397088411849, 264.3028126034946, 271.9598688334101, 279.9084744307098]"
200,"[222.71211551553762, 220.0355510297262, 224.2286487839118, 228.57579449099302, 229.93204825679211, 232.6533277248403, 235.31295372413265, 236.84962361446478, 238.51123474849615, 242.15268551967023, 248.64336513125153, 256.02844373164555]"
210,"[222.24097877569216, 220.2824939433922, 221.8526911617745, 223.44417428832358, 223.04416363362247, 223.74391747002824, 223.22561024270433, 221.67552357194788, 221.65260788771232, 223.7772460412351, 229.77452485426514, 239.28531656641812]"
220,"[220.2356916120559, 215.26026204328213, 216.36988291372296, 218.754610111765, 219.57002996284496, 220.16848947180387, 218.78853747417668, 217.7573705636888, 217.421258353765, 219.60915670030812, 224.9981499004878, 233.639898700098]"
230,"[219.40107906149186, 214.13522717799202, 214.56684040140212, 217.10855025028974, 217.8631175981218, 219.25573103229186, 220.2420286732208, 220.50749621332434, 221.2664447823, 221.13008217425318, 222.59688886882049, 229.15374660718595]"
240,"[216.79173668883516, 211.23236158426138, 210.70249704764788, 212.06409885479124, 212.53255604180143, 213.01856486613886, 212.88657753844063, 212.4424785512012, 213.723450693608, 215.68274381057856, 220.9662988601967, 231.21614117197691]"
250,"[214.2053627952701, 209.91921140431242, 210.49445331071215, 209.7992819498747, 209.9291064480936, 210.29253871719132, 209.5674819835398, 209.00536609138572, 209.496462137388, 211.7603827012181, 218.21085520033313, 227.4922371265424]"
260,"[212.7527755535276, 207.85765563011114, 209.99328212590163, 215.17085286685233, 218.58909450401651, 220.26175229999305, 220.96339295425193, 218.3145098320359, 215.70611497236368, 213.1144441274838, 215.22907756737698, 220.54611346253157]"
270,"[210.2872771219736, 204.47131272068486, 204.17891374055228, 204.38369018060132, 204.61983520799814, 205.79423166962275, 205.8398142417535, 205.52651142753018, 205.18748659541356, 205.93352575571234, 210.218499116143, 219.36840535036958]"
280,"[207.027675633579, 203.24169806364375, 204.13239235849505, 205.28729546890813, 206.05421596841353, 209.25920543785617, 210.6348039545496, 211.78011855437254, 212.9654235689894, 213.06770971528746, 217.11357736774087, 222.1609425991848]"
