iteration,trainLoss,trainRMSE-avg
0,312900.72,559.38
30,220040.3,469.08
60,176065.19,419.6
90,137418.39,370.7
120,111559.39,334.0
150,80983.83,284.57
180,68315.68,261.14
210,56662.93,237.54
240,41693.39,204.09
270,36798.72,191.79
300,33487.004,182.98
330,33782.84,183.76
360,28093.533,167.58
390,25165.895,158.59
420,25365.223,159.14
450,21769.52,147.48
480,20281.172,142.35
510,20014.086,141.36
540,18383.865,135.54
570,22082.605,148.44
600,16723.375,129.28
630,18367.393,135.45
660,15249.304,123.45
690,14549.03,120.58
720,13628.157,116.72
750,12926.533,113.67
780,16438.205,128.09
810,17005.238,130.22
840,15069.587,122.54
870,16298.57,127.48
900,12896.564,113.54
930,12461.323,111.6
960,15442.613,124.08
990,12443.066,111.5
1020,11571.731,107.54
1050,10947.825,104.6
1080,12249.799,110.64
1110,11172.106,105.66
1140,10309.115,101.49
1170,12311.564,110.9
1200,10875.864,104.24
1230,10063.507,100.28
1260,9714.719,98.52
1290,11206.888,105.82
1320,18112.787,134.47
1350,10143.745,100.68
1380,10035.876,100.14
1410,10498.635,102.42
1440,8701.504,93.21
1470,8796.637,93.74
1500,10332.648,101.61
1530,8430.501,91.75
1560,10496.277,102.37
1590,7981.5903,89.26
1620,11166.166,105.29
1650,11227.583,105.73
1680,8154.7686,90.25
1710,10999.694,104.79
1740,7880.3066,88.71
1770,8041.1885,89.63
1800,9819.85,99.05
1830,7469.3115,86.35
1860,7658.2134,87.44
1890,6856.8164,82.72
1920,7167.716,84.6
1950,7235.8296,85.01
1980,6839.91,82.63
2010,7117.5728,84.31
2040,8054.497,89.71
2070,6724.7085,81.91
2100,7024.542,83.75
2130,6179.124,78.49
2160,6154.2456,78.32
2190,6888.1187,82.92
2220,7240.1836,85.05
2250,6633.0244,81.36
2280,9988.664,99.88
2310,5991.101,77.28
2340,6696.366,81.68
2370,6084.5156,77.88
2400,5897.6714,76.67
2430,6659.6025,81.55
2460,5314.491,72.7
2490,5434.044,73.57
2520,4951.1035,70.14
2550,6490.1655,80.5
2580,5863.1875,76.45
2610,6287.866,79.19
2640,4854.9004,69.45
2670,5139.1235,71.44
2700,4970.542,70.32
2730,5454.536,73.68
2760,6165.7725,78.45
2790,4483.47,66.69
2820,3950.7168,62.45
2850,5608.29,74.82
2880,5686.4224,75.32
2910,4557.7188,67.31
2940,10570.886,102.48
2970,4165.5464,64.24
