iteration,trainRMSE
0,"[558.7787603301435, 558.9857751591014, 559.3002490279655, 559.3533880883869, 559.3721737561227, 559.3791581136987, 559.3795430199393, 559.3669334714477, 559.4105057521623, 559.5195582127395, 559.710098741536, 559.9482841495923]"
30,"[470.0425589051051, 468.86651312382565, 468.939871123745, 468.9343105793045, 468.9286094409346, 468.9253839127649, 468.92006814164495, 468.9157024488712, 468.9435235403831, 469.0239356885756, 469.1809564539457, 469.3854850050484]"
60,"[420.3896274827209, 419.4594663224991, 419.5400328148856, 419.51448538624874, 419.49233172937943, 419.4811553710862, 419.46864733452264, 419.4598973415533, 419.46387051777543, 419.5119260150725, 419.6340125313041, 419.8038191352835]"
90,"[371.28377835648973, 370.68711327258177, 370.75989760266856, 370.7013524993024, 370.6539329124734, 370.63068852077777, 370.60740635042566, 370.5921195689497, 370.5589135164752, 370.5551354559792, 370.61902812985403, 370.72944857794494]"
120,"[331.25787622072346, 333.74397734076643, 334.33611434979264, 334.3127418653901, 334.2594235747578, 334.256429021334, 334.2659989012581, 334.2988547287263, 334.2844043487484, 334.2785782274134, 334.3289064815942, 334.41652137272655]"
150,"[281.289580659349, 281.0448978863414, 282.24100177334253, 282.7106108418654, 283.199120904256, 283.92866762034396, 284.715804872743, 285.80002991844094, 286.68823227103945, 287.4069194013955, 287.7358308768864, 288.0207818555357]"
180,"[236.45785135274116, 246.2877310201742, 255.44079587110087, 258.1769966878913, 258.96574060333705, 259.9989619921976, 262.1789370972218, 265.2477333456447, 268.39177738986393, 271.1923382342863, 274.0641206055339, 277.22633909259406]"
210,"[220.19449920444464, 223.20611569330487, 225.53726728026749, 226.8490081171508, 230.66829038934412, 237.93830414734123, 240.37635632489793, 235.31807866619314, 233.18610576076796, 241.8930817468213, 258.0294612588235, 277.2442764702602]"
240,"[197.73135887307606, 200.80223498311645, 200.74093685705688, 198.83571681360442, 198.0415400450603, 200.68990468107592, 204.1781084145179, 204.68455926545442, 205.28745887053006, 206.94497562673064, 210.84823495643803, 220.33907102329096]"
270,"[188.70330260685682, 189.19877993556136, 189.16390460039045, 188.1027124844621, 186.25397665389661, 189.38236462283135, 193.34071234340624, 195.138142774478, 195.49846960391145, 194.10665632557973, 194.9250085129314, 197.71806514989768]"
300,"[178.52508962279182, 181.8227257359829, 181.7833194742264, 181.74215367037573, 181.94040605151798, 183.85191576612985, 185.65233032434145, 185.24681978653038, 183.13187022607437, 181.96074223480775, 182.83776593533037, 187.2456967712]"
330,"[175.4032803768981, 179.4883974419278, 181.74491126832095, 182.15955814482604, 183.48223469635587, 186.16685577063384, 188.22482455903923, 186.6400906876259, 183.87786487957854, 182.6894483130171, 184.94366290681012, 190.28239401021105]"
360,"[165.1195865608029, 166.83274671553434, 164.90674724247805, 164.3235869149866, 164.59114174128922, 165.8149526142899, 166.78423059407035, 168.50926375681243, 169.37488311556612, 170.2825661491854, 170.66746478814153, 173.79779297105145]"
390,"[155.46670812200517, 156.93635140929018, 157.3665973162576, 155.43508980008156, 155.12416224251794, 156.97671076536355, 158.69444566659524, 158.7128106714806, 157.80619134609498, 158.71852302435582, 162.5607003031972, 169.27418713854473]"
420,"[150.40628120714877, 154.5881489881854, 153.87461538313153, 152.43770222678674, 153.64303764001133, 156.15714152117252, 160.50855533255185, 163.76576858179408, 162.85408717567208, 162.58691166296856, 167.37008442364717, 171.43894732450366]"
450,"[143.21648534189234, 145.34381459199236, 146.07672834148966, 144.9023935670349, 144.04697916459833, 145.45246430978497, 145.5063741108976, 146.5555787359038, 147.44942447099808, 148.6173288781725, 153.37797141921322, 159.17895329567]"
480,"[139.6951378263954, 140.4874565503904, 140.1302915550433, 138.86236857095733, 138.8335607384997, 141.12478404131173, 141.3624964508703, 141.36062416129482, 143.69094445266467, 142.60525606490287, 147.0898622038687, 153.00826122392021]"
510,"[136.70466958768583, 138.05246461394842, 138.0306414127106, 136.8006521018182, 137.17184632844658, 139.06254184510172, 139.3440133515651, 140.09101003583334, 141.8203361089841, 144.01297691447414, 149.62245331770902, 155.57312858499537]"
540,"[133.93025002337285, 133.44376817092186, 133.4192122127869, 132.25343118687192, 132.1645010086931, 134.71865451186795, 134.71820809032465, 134.85464597485853, 136.58091545613513, 136.15908979471635, 139.6214599438881, 144.6184800068322]"
570,"[138.34989318541966, 141.1316051697701, 142.20720193916446, 142.0282073923531, 141.57785374832167, 145.78378970632738, 152.04070612150497, 156.13189004206353, 155.36988788388987, 153.5580570726357, 154.87138730078124, 158.19333086711248]"
600,"[129.8849789628322, 128.19575082536858, 126.93279123246822, 126.48827564935102, 127.16645237303685, 129.59559168508727, 128.48372077991945, 127.75756717447315, 128.78568751151838, 129.0014510228134, 131.85145470895927, 137.25825003022078]"
630,"[131.69578164854775, 132.07681202054573, 131.83408125627702, 130.9440373304686, 132.90791717077636, 135.5362981367975, 135.91387667038853, 134.75584776663817, 135.41619025454733, 137.1615148076622, 140.91639907474678, 146.2951985055768]"
660,"[125.02930279606913, 122.17042007666619, 120.23830819067503, 119.3424203954298, 120.59285730004146, 123.09912878327019, 122.91471617736474, 122.5788831298389, 123.34494861217685, 123.94045646172357, 127.36861808127725, 130.7244294710264]"
