iteration,trainRMSE
0,"[551.5371303688821, 551.7122765564194, 551.9918171290687, 552.2045372258914, 552.4933384156593, 552.8475193604579, 552.9989962977352, 553.156550403653, 553.2310843466876, 553.2642297606045, 553.343522848417, 553.4007652221841]"
10,"[512.3672824219575, 510.11830139424984, 509.92563326556245, 510.0588538467545, 510.327618679165, 510.6685573482203, 510.89941562203705, 511.1300072007765, 511.24466701514837, 511.28181071871876, 511.3233083627107, 511.3230226105625]"
20,"[496.8582521796837, 492.90734279692833, 492.6245385216049, 492.7476997479866, 493.0112387447942, 493.34572812237974, 493.5688481827684, 493.791468109111, 493.8983035503978, 493.92966140553625, 493.96523912475897, 493.96467376872965]"
30,"[479.4315214396775, 475.30595677736653, 474.9068597350475, 475.01197969957144, 475.2670476361214, 475.59292996695467, 475.80611628602367, 476.018181654353, 476.11552227234944, 476.1413005527634, 476.1705950251407, 476.1689039637183]"
40,"[461.0980653882816, 456.11164463770825, 455.56939764451835, 455.6480095691892, 455.89243632545646, 456.2087848871098, 456.4115820824331, 456.6123648385435, 456.7001089994722, 456.7211197377943, 456.7446089071156, 456.7455822002285]"
50,"[441.1713055967704, 435.5432787347057, 434.8675678844755, 434.91313684150623, 435.14868196784005, 435.4578174640291, 435.65567991773224, 435.8554181316318, 435.9454528197989, 435.97279779518703, 435.99559886783067, 436.00189965546616]"
60,"[419.81529386867015, 413.91066437911957, 413.2286985751447, 413.2450441016041, 413.4708851707178, 413.7808065086301, 413.98307822554057, 414.1877571194645, 414.296468072963, 414.3502573418524, 414.3925675712579, 414.4272236188333]"
70,"[396.76319525791945, 391.238222164309, 390.7140846050731, 390.72717324844785, 390.9146265154012, 391.214929968012, 391.4195151184151, 391.6187331291987, 391.71080580158497, 391.76295647222105, 391.8314862833113, 391.9346205808608]"
80,"[372.9431150808106, 365.87493447584296, 365.2373583869968, 365.4521727939606, 365.8095172260805, 366.23196602074034, 366.44769973567077, 366.7086615793191, 366.84926224948134, 367.0778119678109, 367.10543652201125, 367.07219336118663]"
90,"[356.50377614261464, 349.20004469511076, 348.43964906265415, 348.4904894711655, 348.83173280736435, 349.27489792955186, 349.5033682126938, 349.7218958653065, 349.885606181525, 350.0790690675178, 350.18100360522976, 350.35524700039196]"
100,"[335.27887885407796, 329.17849034839196, 328.9012520136519, 328.992760899353, 329.3137749096426, 329.71061286730566, 329.9249657945767, 330.11007189856844, 330.32617355745447, 330.5690776883413, 330.66779054670786, 330.91855633828186]"
110,"[312.22166426766006, 309.1487753441207, 310.3504902022706, 310.7659465373139, 311.14090232808076, 311.5262097801216, 311.7592946198694, 311.93601288207975, 312.0617008731901, 312.26397499647214, 312.3253427025798, 312.6823551790806]"
120,"[288.0083734021078, 289.0602341375329, 292.2219848258848, 292.98575032100655, 293.52289080305405, 293.98945306306126, 294.1790125194214, 294.37374443661025, 294.5247471309226, 294.9055852666077, 294.9696656564689, 295.4541816357162]"
130,"[265.4324496589264, 271.1955591530682, 276.97982145191673, 279.0008005226187, 279.8921313392947, 280.640934717734, 281.2417550577102, 281.6135312361345, 281.98150901908906, 282.51582044316814, 282.75814617618965, 283.4039659047574]"
140,"[250.40747620323535, 256.1475982183479, 263.072443472062, 267.7007915184145, 271.1286014675906, 273.47561888949014, 274.8706636986423, 275.4786316069377, 275.95417664572045, 276.4805588788352, 276.49536369249324, 276.8507737914917]"
150,"[244.4313700859247, 250.67833549595656, 253.95434314503694, 256.7161175006738, 261.71598665758586, 267.81320460198316, 271.6166194454019, 272.9695655203961, 273.5976922487115, 274.2044939755828, 274.27765377000367, 274.68456031464126]"
160,"[234.13857927164236, 241.66437760289477, 242.6546413308944, 242.91995685433326, 247.59558399719077, 257.0939752734418, 265.67788196053243, 269.4032843381361, 270.49987546386615, 271.0044038882477, 271.06669404833514, 271.7971394443555]"
170,"[229.98352047247803, 235.69918379918423, 236.8562091868757, 235.62327349850327, 239.62035048840988, 251.22305186354967, 262.55201593434754, 266.7645884671553, 267.545880925425, 268.3315224529636, 269.1482454500511, 270.5899989314362]"
180,"[226.51503228323364, 233.4189534197849, 235.05618767155124, 232.02966030036754, 231.37039264986365, 238.239686747802, 251.37825055394444, 262.8788632347373, 268.33470431180865, 268.97520581962686, 268.328493014024, 268.95095428839403]"
190,"[223.49281297213963, 225.51780041997418, 227.0453851277725, 228.4612619747822, 235.31177918664687, 248.8558815802022, 261.4204073129357, 266.6059384715647, 268.12581365524994, 269.20197995331904, 269.7030119066995, 270.9780799113993]"
200,"[219.23193074623057, 223.3544432587631, 225.65799914030606, 223.73857936532923, 225.21266497690172, 233.38209154792875, 244.57788404624685, 254.55940655930044, 260.49692063292997, 262.0238764827839, 262.62215913352105, 264.742387639529]"
210,"[219.52814071574784, 227.59600702848743, 229.4291333675997, 226.04269029548163, 223.60552836903506, 228.99359057023935, 238.61747046304873, 249.47818372384342, 256.95900943619716, 260.3744397411549, 261.0727170713397, 262.63130604166906]"
220,"[222.155294815209, 225.42491915643092, 227.61801180691216, 225.55526990402748, 225.93130247762767, 231.72546823134667, 238.87504084597307, 243.51769684321434, 245.52070331182077, 246.45580497284058, 247.63387018091802, 249.91736413706704]"
230,"[217.69074822382618, 220.59400775120693, 220.44859387044355, 217.64225061261638, 219.3031712834209, 226.4226860370337, 235.9934307520632, 245.02694662872833, 250.6926028347919, 251.58927661499968, 252.35076494680018, 256.2619712296185]"
240,"[218.64170084343925, 219.1390639972541, 218.63683190677042, 216.03973683626378, 217.535535360437, 227.04141452180158, 242.11836442478716, 254.00325763717046, 260.474404097366, 264.90664993736885, 267.52073664525193, 270.7666292655515]"
250,"[212.10449058264774, 223.23700799165752, 229.33157404263105, 226.23843136542982, 223.35365497754873, 228.38385399491457, 237.1768354915682, 244.42293905081695, 249.2591694382906, 252.4211706981861, 255.34073174104446, 258.11971544161736]"
260,"[213.33590971072928, 215.41030227542052, 217.94553162797877, 218.80164687943517, 219.61088401518816, 224.22557719799792, 231.05086971698285, 234.39288516542666, 236.5986416984879, 239.3182319059817, 241.11596902149586, 243.23207586995147]"
270,"[206.40385950933384, 208.54401330963302, 212.2665575293741, 214.15219004503325, 216.8125501825257, 223.73072232153544, 231.88940014284842, 239.14140013401834, 242.4760720246182, 240.2141697210222, 238.4411821216477, 240.21405589718717]"
280,"[207.55111268381083, 206.84956962880355, 208.3474339396078, 206.67224759430465, 209.13969810933818, 217.28213509258111, 228.0146121577923, 235.94367348050375, 239.06311908470613, 238.36829877233612, 239.62543114787306, 244.19213178694892]"
290,"[207.10166721211087, 205.10676380231615, 205.7579415563796, 206.23217710871597, 208.06474554674935, 212.98130226051927, 219.52848225398887, 226.09926269510288, 231.6637648763311, 235.612179837069, 234.9262841906911, 232.87062546228992]"
300,"[201.9357203108654, 200.149276595441, 199.53145089183187, 199.15151244768094, 201.69667306556136, 208.2104894315556, 215.89104459974533, 220.61442249787078, 222.68643422424617, 223.25507852777653, 225.46530725176433, 229.88250792972113]"
310,"[209.0185460161184, 209.87718692831587, 210.9963232418208, 215.9325573441004, 216.38594975670313, 218.16543176716138, 223.22343405615868, 225.51611343983203, 226.1902743784337, 229.62321069797105, 233.26633652786876, 231.76768558072996]"
320,"[200.7375114020799, 201.26530367356702, 203.4372523174139, 204.11968839450714, 206.1965081820068, 213.6840778986505, 222.80324494432247, 228.56638011324605, 232.2894933785849, 233.69425144971154, 235.11469431291943, 239.4203188879057]"
330,"[199.80805883473911, 200.3021512384473, 205.9448586020659, 209.85172207887715, 212.48616086865894, 216.1754000057777, 224.3838643215991, 235.22601075354527, 243.91427317760866, 252.8234574485988, 260.9133092481651, 270.1921756594132]"
340,"[200.68070471904682, 198.5024951400854, 199.48533878157534, 198.0453005171285, 199.00143281114111, 206.6244475188732, 217.63705298045053, 233.1016951164899, 240.50585094097232, 238.43460442338892, 236.73594987417806, 242.45932453654527]"
350,"[202.38895442225683, 199.48134910840912, 198.38323274707201, 197.71688338503577, 198.72721342783726, 205.20290560055312, 213.39041738031423, 215.9523912787912, 214.4094716364005, 213.81149640060272, 215.80761382571447, 221.64988101212546]"
360,"[196.22379199145183, 194.46876920735787, 194.26015267878077, 191.93748597558624, 193.83505820318464, 200.8711374260986, 210.45563660326974, 216.93121851229319, 218.35234825091126, 218.48120775030873, 220.18667116619858, 227.7647618217958]"
