iteration,trainLoss,trainRMSE-avg
0,305580.0,552.78999999999996
10,298440.0,546.28999999999996
20,286570.0,535.32000000000005
30,271799.0,521.34000000000003
40,254818.0,504.80000000000001
50,235203.0,484.98000000000002
60,214774.0,463.44
70,193677.0,440.07999999999998
80,172328.0,415.12
90,153180.0,391.38
100,137132.0,370.31
110,117382.0,342.61000000000001
120,100187.0,316.51999999999998
130,86408.5,293.94
140,77988.3,279.18000000000001
150,72500.3,269.13
160,65622.3,255.78
170,66571.8,257.36000000000001
180,61641.9,247.56999999999999
190,58482.3,240.99000000000001
200,59104.7,242.38999999999999
210,54820.2,233.30000000000001
220,54662.8,233.22
230,50351.7,223.58000000000001
240,49630.8,221.75
250,53033.5,228.69999999999999
260,47407.9,217.22
270,46333.4,214.56999999999999
280,47495.4,217.53
290,46846.1,215.05000000000001
300,45572.7,212.47
310,52194.7,226.80000000000001
320,42379.4,205.27000000000001
330,43215.8,207.5
340,47787.5,217.59999999999999
350,42174.6,204.84999999999999
360,40584.0,200.84999999999999
370,41640.5,203.66999999999999
380,37148.8,192.31999999999999
390,37153.2,192.46000000000001
400,40357.3,199.94
410,37036.8,192.15000000000001
420,39649.9,198.25999999999999
430,46173.2,213.19999999999999
440,43091.0,206.91
450,51433.1,223.50999999999999
460,39604.5,198.02000000000001
470,39977.8,199.13
480,39452.1,198.16999999999999
490,36563.7,190.88999999999999
500,35891.3,189.15000000000001
510,34454.8,185.40000000000001
520,35054.5,186.94
530,33963.8,184.15000000000001
540,35393.4,187.47
550,32955.1,181.34999999999999
560,32030.0,178.87
570,34548.0,185.22999999999999
580,31751.0,177.94
590,33131.7,181.50999999999999
600,31870.2,178.28
610,37002.5,191.11000000000001
620,41057.8,201.27000000000001
630,37333.2,191.97
640,40573.5,200.03999999999999
650,32132.4,178.99000000000001
660,36760.8,190.69
670,38576.9,195.05000000000001
680,31301.8,176.78999999999999
690,33348.3,182.12
700,33331.8,182.19
710,29322.2,171.09999999999999
720,30079.0,173.30000000000001
730,33788.2,183.34
740,29196.6,170.77000000000001
750,29806.3,172.49000000000001
760,33399.2,181.94
770,29169.6,170.66
780,27500.0,165.66999999999999
790,29120.5,170.53
800,27596.7,165.90000000000001
810,28671.0,169.18000000000001
820,28252.2,167.75
830,28136.1,167.59999999999999
840,27037.6,164.15000000000001
850,25919.3,160.91999999999999
860,29777.4,171.90000000000001
870,27681.1,166.08000000000001
880,27479.1,165.61000000000001
890,27301.2,165.16999999999999
900,27226.7,164.81999999999999
910,28737.6,169.31
920,28503.7,168.63
930,27653.5,166.16999999999999
940,27435.6,165.41
950,31321.8,176.58000000000001
960,26435.5,162.44999999999999
970,28243.2,167.65000000000001
980,32120.7,178.59
990,29459.8,170.94
