iteration,trainLoss,trainRMSE-avg
0,3624.5083,60.2
10,793.8988,28.17
20,758.33704,27.53
30,703.56964,26.48
40,692.68024,26.27
50,665.85547,25.74
60,655.27844,25.53
70,646.8862,25.37
80,639.1415,25.21
90,634.1175,25.11
100,647.819,25.39
110,624.36206,24.93
120,628.69867,25.02
130,640.84894,25.26
140,634.2409,25.12
150,625.8576,24.95
160,603.865,24.52
170,595.1394,24.33
180,586.009,24.12
190,569.55664,23.79
200,566.97943,23.75
210,541.9327,23.21
220,566.20233,23.73
230,529.4987,22.93
240,548.52277,23.34
250,516.585,22.66
260,545.83215,23.28
270,547.33704,23.31
280,503.2099,22.36
290,490.96664,22.1
300,490.7534,22.08
310,513.7864,22.61
320,489.16577,22.03
330,504.7006,22.39
340,462.90118,21.45
350,463.8804,21.48
360,439.1883,20.9
370,439.9456,20.92
380,445.0127,21.03
390,544.8753,23.29
400,468.54776,21.58
410,482.87567,21.89
420,453.1012,21.23
430,437.04416,20.84
440,420.8563,20.47
450,407.9682,20.16
460,434.74033,20.78
470,432.59067,20.75
480,407.27252,20.14
490,436.39456,20.85
500,427.5203,20.61
510,444.98914,21.04
520,381.6049,19.5
530,447.65063,21.14
540,374.7035,19.32
550,398.1953,19.9
560,437.16064,20.81
570,374.41782,19.31
580,378.28583,19.42
590,373.5721,19.29
600,362.1305,19.0
610,399.6084,19.94
620,474.05972,21.69
630,397.43918,19.9
640,390.22055,19.7
650,357.6636,18.88
660,469.3936,21.58
670,344.1122,18.52
680,362.2709,19.01
690,355.23898,18.82
700,333.57962,18.24
710,391.5389,19.76
720,373.4688,19.3
730,385.62085,19.61
740,411.59488,20.24
750,353.65942,18.78
760,353.44852,18.76
770,320.39838,17.87
780,332.39478,18.2
790,312.97174,17.66
800,329.31244,18.12
810,308.0809,17.53
820,349.7264,18.66
830,330.19095,18.14
840,312.01376,17.64
850,294.83096,17.15
860,328.20746,18.1
870,318.88943,17.83
880,291.02176,17.04
890,305.5218,17.46
900,390.0104,19.69
910,352.426,18.74
920,428.53522,20.65
930,321.5019,17.9
940,289.64764,17.0
950,374.17038,19.3
960,355.42065,18.83
970,346.63098,18.58
980,313.65884,17.69
990,324.00848,17.97
