iteration,trainRMSE
0,"[61.566166498470565, 61.52554493259726, 61.493083643375854, 61.441257401500515, 61.09966453997699, 60.40378849252505, 59.92446382974858, 59.6084675503695, 59.45989191922332, 59.4206817497822, 59.47580362048765, 59.6515619647772]"
10,"[22.13148839955627, 24.79773748664195, 25.84679396715871, 26.91164500356418, 27.63175730045479, 28.186640062509227, 28.603655737446154, 28.673311401336235, 28.648293345365502, 28.61140177344267, 28.51986715065685, 28.471303609267448]"
20,"[20.545516342146456, 23.371396643484363, 25.118881093606376, 26.4212641415249, 27.25582722677746, 27.79874345445753, 28.121082805625754, 28.157895731843546, 28.12025106987168, 28.053263567008802, 27.938386475500554, 27.876069083004985]"
30,"[20.493078260102877, 23.55902440371025, 24.888885500662045, 25.97043118591619, 26.623116834520083, 26.887194709889364, 26.982161847311804, 26.961987565265936, 26.89360423399745, 26.88767774477023, 26.83818861329317, 26.89196738424305]"
40,"[20.307866157223273, 22.796221182233122, 24.146627457228842, 25.0468715313175, 25.44608915633819, 25.5241292031336, 25.55723849469003, 25.729529525512298, 25.86954061062966, 25.945525091617338, 25.958916181892977, 26.144895839182887]"
50,"[19.859813922489952, 22.446775196480534, 23.562664129050457, 24.27398825082798, 24.715962923395065, 24.853848327536674, 24.99769861661669, 25.208737039073657, 25.473419704979573, 25.70213133314733, 25.857033831466495, 26.09303864338118]"
60,"[19.802517165095914, 22.125746380499706, 22.966631810770437, 23.711110868603836, 24.12605075751922, 24.297063259439554, 24.327952988719446, 24.488511227589033, 24.87227150587632, 25.266076431077874, 25.5915286763774, 25.964626079097464]"
70,"[19.74358977082577, 22.724413120192263, 24.13214346804716, 24.772960413452804, 24.758491545712698, 24.431626989557767, 24.126417854845656, 24.197895184681208, 24.49667468549944, 24.95875474702237, 25.300318967632055, 25.644946210620446]"
80,"[19.862543073932827, 22.327980148566976, 22.9014234812295, 23.414248170952288, 23.994424598841956, 24.321896104444367, 24.472031925737845, 24.869134661881617, 25.325475697756893, 25.830080662363592, 26.12531518915876, 26.295825838411705]"
90,"[19.64366821811834, 21.829203868049316, 22.415952850150223, 22.80008298503401, 23.312923374910273, 23.799572385996147, 24.064248478103096, 24.41263880951473, 24.70034019955944, 25.22504298170244, 25.600824307697366, 25.86067199855625]"
100,"[19.439619951577075, 21.03948651057043, 21.279423452747352, 21.835339783198798, 22.681638037742076, 23.6741900045128, 24.31594757276787, 24.94005944006905, 25.648997531935734, 26.41222164456735, 27.090701805847832, 27.780649346385747]"
110,"[19.501282710314168, 21.597525478714754, 21.926656717774957, 22.39132161422861, 22.775343163527975, 23.046117893518275, 23.050178207700053, 23.155703657125958, 23.30479155159256, 23.687171956097416, 23.927824407476585, 24.362137909685558]"
120,"[19.236907712584568, 21.234323539545926, 21.30953682753887, 21.549057255343623, 21.70258208383664, 22.082695455384155, 22.134962243377306, 22.298269004506693, 22.400071909732112, 22.630103152635822, 22.689759524598642, 23.10137978478386]"
130,"[18.947697516844926, 20.614165895653375, 20.887598077992305, 21.383576357967822, 21.88583999163402, 22.424027994682483, 22.24317000834494, 21.90164060603174, 21.59947065343655, 21.785506705266165, 21.993975428748087, 22.67887714322042]"
140,"[18.924199838059366, 20.48350466026215, 20.479804468498887, 20.689339583306758, 20.92533636538136, 21.314730751844756, 21.309889021223224, 21.26125628987941, 21.062620260055965, 21.26897368869385, 21.365906346819273, 22.068847723836658]"
150,"[18.627309969811417, 19.990997045315076, 20.134702630149377, 20.323452882898987, 20.5459608132843, 20.85426761715969, 20.674948231002624, 20.446082618984832, 20.233577602175703, 20.431852225429722, 20.734249820366042, 21.5331890508792]"
160,"[18.693008368249092, 19.9495765635931, 20.227790453037773, 21.061499432528915, 22.506113017719557, 24.22295373688196, 25.291843247749984, 26.171755003494788, 26.473637723660918, 26.493248820731996, 26.25983291168413, 26.12529953826404]"
170,"[18.935327252240096, 20.85275999062129, 21.34052352392459, 21.621846358597562, 21.826296890235888, 22.064622655037766, 21.958987206586514, 21.82873875564032, 21.79086941724509, 21.88124391466132, 21.798832827119586, 22.176619342880176]"
