iteration,trainLoss,trainRMSE-avg
0,3454.5415,58.76
10,733.383,27.0
20,709.7565,26.55
30,682.9715,26.05
40,645.9648,25.35
50,655.26495,25.53
60,603.5048,24.51
70,615.8975,24.75
80,568.7057,23.8
90,555.78784,23.53
100,537.391,23.14
110,523.3316,22.83
120,500.7188,22.34
130,503.5431,22.4
140,476.29276,21.79
150,459.72733,21.41
160,466.6908,21.57
170,452.18265,21.24
180,426.83075,20.64
190,420.11172,20.47
200,423.02313,20.55
210,403.2551,20.06
220,396.32617,19.89
230,366.3086,19.12
240,376.03525,19.37
250,348.95395,18.66
260,365.9195,19.12
270,348.31577,18.65
280,325.07712,18.02
290,333.99213,18.26
300,296.1084,17.19
310,334.74954,18.28
320,311.94247,17.65
330,294.04892,17.13
340,292.56427,17.09
350,285.25366,16.88
360,275.55533,16.58
370,283.63477,16.83
380,302.54477,17.38
390,281.8695,16.78
400,259.45654,16.09
410,248.69977,15.75
420,235.51512,15.33
430,246.63814,15.68
440,243.52657,15.59
450,228.34134,15.09
460,223.11899,14.92
470,232.82468,15.23
480,231.02776,15.17
490,217.63124,14.73
500,211.12604,14.51
510,209.0227,14.43
520,201.42686,14.17
530,192.97249,13.87
540,179.78029,13.38
550,178.0124,13.31
560,190.21016,13.76
570,174.40486,13.17
580,173.53531,13.14
590,167.93306,12.92
600,203.3231,14.23
610,169.50868,12.99
620,152.88487,12.32
630,148.69559,12.15
640,164.57315,12.79
650,149.24428,12.17
660,153.75363,12.35
670,152.72528,12.31
680,149.43741,12.18
690,145.93785,12.04
700,158.31264,12.55
710,132.32826,11.45
720,142.61746,11.9
730,125.30745,11.13
740,118.83058,10.84
750,124.05146,11.08
760,119.02562,10.85
770,129.40138,11.32
780,121.06012,10.95
790,117.35458,10.77
800,102.650955,10.05
810,107.799,10.31
820,102.55848,10.04
830,95.246284,9.66
840,90.99078,9.45
850,93.40942,9.58
860,95.48899,9.69
870,100.455444,9.96
880,92.26157,9.52
890,83.3593,9.03
900,78.42628,8.74
910,81.476715,8.91
920,69.43612,8.2
930,116.50281,10.75
940,91.2192,9.48
950,78.70826,8.77
960,74.41223,8.51
970,66.290085,8.01
980,69.60581,8.22
990,81.86987,8.97
