iteration,trainRMSE
0,"[667.0505958159334, 666.8732156479115, 666.8924827290806, 667.0287271878065, 667.228562268336, 667.4466727158351, 667.6403822150219, 667.7007443151534, 666.9959911231709, 666.2838067527579, 666.5837910015911, 666.0615527943434]"
100,"[373.66548438385803, 371.93995732243275, 371.70811481729936, 371.70850218657324, 371.7293067054869, 371.7654774382445, 371.7649663191075, 371.79752740772363, 371.22980007963025, 370.4958587567155, 370.71978167127526, 370.1803986040701]"
200,"[337.2861884098994, 354.93228061545943, 360.5524478862199, 363.8029309041337, 365.95896238668547, 367.43331854156634, 368.1695056109771, 368.6948499661291, 368.75492495200945, 368.5001028206151, 368.9694001311415, 368.7733298751487]"
300,"[277.3783427246486, 286.13237797070707, 293.82577970338536, 302.7096706858441, 305.63918616796343, 305.78066563743727, 306.69893014765955, 309.51648487378304, 312.8481359435675, 317.02474915995725, 323.08035646918785, 329.4204192115485]"
400,"[263.6143271371308, 278.00129095105785, 281.18450771870977, 285.20414060383365, 286.6065874896164, 292.45241098314045, 295.3155795629191, 295.8496890277239, 299.3990533911973, 304.7720751440656, 312.66016111440905, 321.2638136448246]"
500,"[271.55624444545407, 296.9358593752846, 311.8633728881699, 317.84275059670637, 317.11084963690314, 317.9941897925755, 316.1532318150507, 313.7860001915207, 313.1210081978207, 313.3112531965632, 316.60948456031974, 321.99223696114217]"
600,"[255.2357410849083, 271.27076245880863, 274.50974459962697, 280.27976656295516, 284.2013215724992, 287.2689139967534, 288.0803720246714, 287.6559937322069, 287.5204642049672, 288.99697533001137, 294.89881416617266, 302.456268989071]"
700,"[248.48101317502565, 266.03918764813557, 267.56786536585133, 274.3001621206705, 280.05373267495605, 287.46422089620654, 291.6846170253485, 293.246339932095, 290.4399851864784, 289.5107445226428, 294.99539455174823, 302.31651464672484]"
800,"[248.98249112025601, 281.0084543733814, 290.30893193869923, 296.1576763981916, 297.5535086646508, 301.0100041996001, 305.4903693126711, 307.580510495001, 311.7066662493689, 317.21014531820623, 325.1323652372074, 334.77834515790033]"
900,"[233.72738816507402, 244.11667578436715, 251.65731789018557, 264.85537532254466, 270.7297345257546, 273.36430870849296, 276.01118431413346, 277.09032007803177, 279.94847763875697, 282.707550045873, 286.8762141151481, 295.1285835078666]"
1000,"[230.5536588668714, 240.31682200731925, 248.81515891731968, 261.4742165336705, 266.28516070633924, 267.77936840981874, 270.7563712622046, 273.32323888940425, 275.27619515098274, 276.4481162564323, 279.3749184425807, 286.5454076808885]"
1100,"[237.50181061298545, 243.79125259577557, 249.68587354758984, 261.1775516709996, 266.3750493667797, 271.3978464753121, 273.35651131733016, 270.79393866497907, 272.8470671174176, 275.5318922552074, 277.02622280809425, 281.39332991388795]"
1200,"[237.36190301544718, 246.19088235747097, 251.86142171747704, 260.83617883789697, 264.40674584644694, 267.3146860401777, 273.360601628475, 274.8352127372567, 275.65794166070987, 277.8113787924118, 279.16051600482183, 282.7788025320943]"
1300,"[235.9811060135463, 243.66902789935767, 250.73663026422665, 259.2991800852537, 263.6809780734556, 267.50793849319905, 275.5732523564955, 278.6736298799458, 278.8633833119391, 279.3088572774548, 280.6175037395161, 283.14442966711243]"
1400,"[226.4681470860291, 235.50094329081065, 241.3840234211811, 251.78278534285664, 254.16314689410987, 256.41694019083906, 259.54536980516735, 262.0539429672864, 261.7703686547624, 262.0290130407518, 263.65886001736857, 269.8254099933151]"
