iteration,trainLoss,trainRMSE-avg
0,383236.9,619.06
30,254492.19,504.47
60,210261.16,458.54
90,177764.61,421.62
120,166587.02,408.15
150,166531.22,408.08
180,161698.61,402.12
210,157692.08,397.1
240,153204.64,391.41
270,132789.38,364.4
300,116980.23,341.99
330,104745.33,323.56
360,100450.664,316.86
390,91783.08,302.81
420,87698.57,295.89
450,83956.75,289.45
480,83067.195,287.75
510,79144.56,280.96
540,79713.72,281.92
570,74450.6,272.47
600,79478.805,281.24
630,71333.68,266.54
660,74222.89,271.96
690,73129.9,269.84
720,69233.22,262.54
750,67586.01,259.27
780,69141.33,262.22
810,70002.67,264.02
840,70023.65,263.86
870,69857.81,263.31
900,67368.164,258.94
930,67888.38,259.87
960,71248.07,266.17
990,70102.26,264.13
1020,72243.88,268.01
1050,70111.72,263.85
1080,68592.664,261.13
1110,70892.26,265.33
1140,71235.06,266.25
1170,69499.39,263.0
1200,67592.086,259.15
1230,70109.484,264.21
1260,68145.64,260.14
1290,67784.64,259.56
1320,65596.48,255.43
1350,71684.94,266.66
1380,70123.52,263.91
1410,71368.87,266.42
1440,73611.86,270.63
1470,67165.59,258.44
1500,66417.016,257.03
1530,66707.12,257.58
1560,65246.87,254.71
1590,65564.59,255.43
1620,67741.35,259.62
1650,68371.27,260.75
1680,65335.812,254.92
1710,66633.87,257.54
1740,64625.145,253.5
1770,63287.57,250.92
1800,62165.94,248.75
1830,62338.34,249.05
1860,67339.664,258.67
1890,62365.0,249.14
1920,65126.867,254.55
1950,79147.64,280.43
1980,65022.49,254.32
2010,66494.836,257.03
2040,68501.26,260.99
2070,73536.21,270.24
2100,67533.93,259.03
2130,73960.63,271.24
2160,67428.086,258.98
2190,65781.92,255.78
2220,63089.676,250.52
2250,62523.883,249.42
2280,62252.082,248.94
2310,65453.184,255.08
2340,78109.73,278.15
2370,71250.99,265.94
2400,71931.664,267.19
2430,70141.25,263.93
2460,71898.89,267.29
2490,73777.66,270.61
2520,71296.4,266.02
2550,110025.05,331.48
2580,71030.31,265.68
2610,115531.01,338.02
2640,81478.89,284.37
2670,77357.6,277.11
2700,74843.336,272.59
2730,71427.54,266.31
2760,67153.24,258.19
2790,72129.96,267.35
2820,66925.42,257.79
2850,65879.87,255.81
2880,67240.805,258.34
2910,65072.848,254.25
2940,67996.86,259.77
2970,63070.01,250.4
