iteration,trainRMSE
0,"[620.1939528683624, 620.0993728956585, 619.8969962310002, 619.5358008985789, 619.1903073792406, 618.9538800940664, 618.749373526707, 618.5821380222936, 618.4478445109545, 618.3727945485826, 618.337327968505, 618.3695140667134]"
30,"[504.96493114506455, 504.49424390905835, 504.4190041681201, 504.40697875747816, 504.40202994793157, 504.42700065223215, 504.43306815431, 504.43147538432663, 504.42375364101804, 504.42286028928584, 504.4186915987539, 504.42129734818144]"
60,"[458.99627647394084, 458.5582100735335, 458.4917191053145, 458.48303997561675, 458.4826621645803, 458.49614232386597, 458.4980532500314, 458.4987961193165, 458.4999108391599, 458.50000498580556, 458.49947815491896, 458.49894825901936]"
90,"[421.8479023779637, 421.61628586019356, 421.5899511443262, 421.58986088944516, 421.59640201999935, 421.5932134422418, 421.5892008299445, 421.593194338727, 421.6067240447485, 421.60820680595185, 421.61283679865187, 421.60790707493675]"
120,"[408.08896532847376, 408.12091893016935, 408.1440578738066, 408.15431200978026, 408.1689849365616, 408.14526138307247, 408.1341432687812, 408.1419155268559, 408.1699900987182, 408.1731016929821, 408.1838394222174, 408.1737644148997]"
150,"[408.04790899747985, 408.0510192221099, 408.07198006925734, 408.08239964839737, 408.0966408103393, 408.07511683720446, 408.0647410494719, 408.0721491683021, 408.0987892541398, 408.10174413336557, 408.1118736260717, 408.10230815027694]"
180,"[402.625691610659, 402.5184853851056, 402.36799812336346, 402.2853060831616, 402.2057548788011, 401.99662423449337, 401.8606814943669, 401.8076695426331, 401.86087613573085, 401.9094501443431, 401.9671720779166, 401.99275355946526]"
210,"[394.66321909424215, 395.788097182587, 396.2142249288846, 396.5238983997619, 396.7885948924965, 397.02862608315604, 397.2478446459343, 397.4701443937694, 397.7835455577435, 398.15933755965114, 398.5691006190938, 398.984666882723]"
240,"[387.30682857105984, 389.46749600602715, 390.6928824596409, 391.27340264158914, 391.59531004735027, 391.83220417317443, 391.9943573176189, 392.158501725849, 392.3465707749598, 392.48323307278014, 392.7324645568307, 393.0321429338767]"
270,"[364.822008939004, 361.3770369195008, 361.2428637050335, 361.91990581944214, 362.685167933578, 363.8086559085161, 364.5038854389964, 365.1627483667925, 365.83515351372824, 366.34830432019396, 367.1313256109124, 367.9062126073385]"
300,"[339.72543800747434, 334.6745995273944, 335.0465720801607, 336.7163894928728, 339.2343987486517, 341.54332023289135, 343.1132211571795, 344.3885769185385, 345.89378067071317, 346.7240090236504, 347.9931012555299, 348.8192082914193]"
330,"[316.8722912427709, 312.5768925556426, 313.49290692776276, 316.35663746015064, 320.08349178273494, 323.2871522119725, 325.9637424670374, 328.0490853786499, 329.68468874432926, 330.45441128377723, 332.2496114236701, 333.6785157534315]"
360,"[304.8794273805736, 307.23764024540395, 308.9158027463197, 311.7675157406938, 314.764894628483, 317.1329029357772, 319.0123025341692, 320.86627731094336, 321.862755879094, 323.5154478990306, 325.2666269895533, 327.0921527148885]"
390,"[288.23476464325654, 290.33583493250444, 291.5973728757899, 295.4247713823852, 299.31898179400196, 302.72015772017915, 305.5375164213968, 307.1165170252234, 309.4212964768169, 311.5985116711691, 314.70652809530515, 317.68457799532905]"
420,"[276.20656706890844, 279.74076973360843, 282.10963445432554, 286.506747542066, 291.50386058594995, 296.2314583708343, 300.023891056117, 302.28923186566254, 305.14888277362496, 307.2886091561291, 310.4099207135996, 313.26435196932295]"
450,"[266.7495491251546, 272.4843661324069, 275.2284053542887, 279.2984515273657, 284.7010080411748, 289.40847600114785, 293.57856473311165, 296.26025922139837, 299.01477827035467, 301.46694274015044, 305.76754452406243, 309.4316751970902]"
480,"[262.5109276511219, 264.46646193560576, 269.26691680789986, 276.2609011612075, 282.29941788291876, 286.9768734556395, 291.7796460514326, 296.15566758662175, 299.36657991005654, 303.3723556532182, 308.4459608594594, 312.1302989447049]"
510,"[254.5165077623169, 261.51958183146655, 265.18739048946054, 271.2458609056217, 278.0671295337157, 282.94663033967277, 286.2353473406363, 289.2553616937561, 291.76875845124795, 294.0753548296971, 297.53818221551853, 299.21811314892796]"
540,"[253.2216622721597, 260.51294104726003, 265.49885257853896, 273.0516283456538, 278.7581530806416, 283.3357695799048, 287.51603839072413, 289.97678321783917, 291.9643749479751, 296.28563422026565, 299.9151849494709, 302.98275797856536]"
570,"[245.63400130150117, 252.32978945827264, 256.9880155063146, 263.0961605375158, 269.0405719082197, 274.57789343960343, 277.229317855786, 279.3150041788254, 282.5099055533018, 286.24185062462146, 289.8826848514602, 292.7350931990579]"
600,"[244.55359005045995, 253.1751036221827, 260.0429933989245, 269.85270972422364, 277.52718303759747, 284.7755025933397, 288.28052238261137, 292.2471748618357, 294.8408987387864, 298.57805335309035, 303.6044799651478, 307.3979869261059]"
630,"[236.45615085148043, 243.27484596194375, 247.6517050125458, 255.49481096371576, 262.25790905194344, 267.8846570678504, 271.5996124403217, 275.7899891380448, 277.775294903719, 281.66635602408684, 286.7947467538992, 291.8379683748341]"
660,"[243.99942411918084, 249.4339907617541, 254.21077062418, 261.45218375055987, 267.69075241294524, 273.0051602676257, 276.2538806301641, 279.55143992782, 282.9202440248702, 287.6148041186038, 291.62184483455513, 295.73515521532846]"
690,"[233.95627709584025, 248.07214770314437, 253.11591386965324, 259.245730876821, 266.0106727390682, 271.56452225210126, 275.36766217353573, 278.41861713480375, 280.7556800741879, 284.73679095954503, 290.7281673171324, 296.16712298404974]"
720,"[227.31475617912346, 239.44168555904614, 245.80571845972383, 253.12982881123642, 259.7324295714158, 264.73247344251126, 267.28592918386994, 271.11815617132305, 273.7471029363445, 277.1378392062117, 282.3065119228592, 288.70443231062484]"
750,"[223.41045031459063, 233.85977232375174, 239.6822772140877, 248.00390645468846, 254.2310400306247, 260.53565132423165, 263.6086569920508, 268.55818487135645, 272.40044254347225, 277.2903270320612, 281.9956786691953, 287.6080145005114]"
