iteration,trainRMSE
0,"[632.6221146986752, 628.7047414277297, 630.8236736311709, 632.3793470454189, 633.4479870148887, 634.0472309286312, 634.2019661159042, 634.2162643896364, 634.201582642943, 634.1749866765251, 634.1921884633939, 634.1700508503948]"
10,"[590.7798717923057, 503.6548178546755, 486.8096145917191, 484.2843078018879, 483.8892610579237, 483.8239316029057, 483.80625055274936, 483.79174056508333, 483.7903850898726, 483.78093206737435, 483.7875832707665, 483.79835576941036]"
20,"[563.5862867353108, 465.05295261994786, 454.6020993788678, 453.0819493304217, 452.85685988247934, 452.8283154359278, 452.82555086046926, 452.82038064237094, 452.8278503514401, 452.8367084801802, 452.836412247544, 452.84348602222997]"
30,"[535.638402925515, 439.43601906313836, 432.40518667048053, 431.554234555407, 431.4519745268027, 431.48790586133276, 431.524585265876, 431.5415359454466, 431.58518847578097, 431.6118134339558, 431.6313119205224, 431.6571312643573]"
40,"[511.91776844634654, 417.9132515088701, 414.75046435131446, 415.51493568197134, 415.7866413713343, 416.00413837100916, 416.1916944283764, 416.3312789974282, 416.48787196975627, 416.55518563547656, 416.69494505924723, 416.75978167848814]"
50,"[490.8425815452782, 404.01975369270644, 406.59017637747, 409.2890365007501, 409.943457866134, 410.31896534724547, 410.59425208912745, 410.8445456511287, 411.04493942627914, 411.1730194756724, 411.3679585102688, 411.4440247215077]"
60,"[476.28456719313226, 391.8481389881947, 401.06042686403214, 405.61048330906436, 406.39330476270015, 406.96932808412504, 407.42903296309214, 407.8628465446351, 408.1665541798112, 408.32475383587524, 408.64751513961016, 408.7953403363416]"
70,"[467.8870779229996, 387.32874532515973, 396.4464646156554, 399.34095302069335, 400.25751375312143, 401.0569230034, 401.73412207706247, 402.4115031953999, 402.9105620799068, 403.20858173217437, 403.74826781996796, 403.95267798314296]"
80,"[461.92863984487934, 381.040155552359, 384.9577036938537, 386.28934814085136, 386.7542138710153, 387.58087432652917, 388.5401952347417, 390.0057967374861, 391.21087855431716, 391.9014995047057, 393.2441418419589, 393.5185291198071]"
90,"[455.09725984781034, 372.4783430855729, 368.37019009996845, 368.8593675234081, 371.90911914236744, 375.2118785995562, 378.148592607197, 380.79172565462517, 382.6447678237089, 383.5898225334421, 385.7123373203726, 386.30400434770553]"
100,"[445.47080785944615, 360.8605918964349, 353.0335720338709, 357.03122111326473, 362.02649829626836, 366.3784457335566, 369.90846434965505, 373.47939426855316, 375.6732883135926, 376.9289192766031, 379.6715951988173, 380.2170044951366]"
110,"[435.59745857102143, 348.86917113750127, 340.3014628750584, 346.195891217813, 352.0214736225997, 357.1985765493376, 361.5269821055308, 365.6993859645826, 368.5828175072003, 370.20216959697615, 373.53052641358533, 374.1223485700967]"
120,"[425.9560890163875, 334.46114452442845, 325.6090031339172, 332.5756040859113, 339.79385713906026, 346.08481332609693, 351.0791308728674, 355.6970923328717, 358.847989941655, 360.2563963781187, 364.02835697608106, 364.8768791006951]"
130,"[417.628412342964, 322.81561342040703, 314.1296052068242, 321.1644835888767, 328.6199158353245, 333.85057628396754, 338.87487798060914, 343.9101217193456, 346.9028008333524, 348.8843310790188, 352.64056526113484, 354.28175196992294]"
140,"[410.23644155815674, 312.9421992670905, 305.51345568556155, 313.5392648075577, 321.58643950152685, 327.9689539775794, 333.77314148625015, 338.75667860188645, 342.121668390333, 344.11603960928534, 348.28254727232707, 349.81682723689875]"
150,"[406.61038789083506, 306.6843633833972, 299.895453120865, 308.04303017580116, 315.0672169436814, 321.665373249835, 327.48496518574086, 332.71358652937056, 336.15644687197266, 338.2551584241601, 343.01691090981745, 343.7942993378264]"
160,"[401.9934070635093, 302.0194613883217, 294.1020318653643, 301.55019521915204, 307.723674617946, 313.59440339098467, 319.2797795657351, 325.17551892578047, 328.23799948033974, 330.6254577703985, 335.770011867678, 336.19078499700873]"
170,"[397.69561582541445, 297.3134960394742, 290.0019397835735, 300.59011126705013, 310.97211133077946, 316.82266142591124, 322.5112213018382, 329.43774572532124, 332.07978231587583, 335.7990779674929, 340.1706475481308, 342.0768028079724]"
180,"[396.4446923407127, 296.6503726999172, 287.23414999195546, 295.96524259090205, 305.45098510880837, 311.3411580728228, 316.32457232025695, 322.31712098663303, 325.50458535404545, 328.43861755300463, 332.6168545691426, 333.087360945879]"
190,"[393.4643998682773, 293.03551275148595, 284.01381864037137, 292.8266652043143, 300.91634192227053, 306.9937482477786, 312.62491967498346, 319.195962448896, 322.0982076003249, 325.3200592582144, 329.421662534867, 330.6416508454397]"
