iteration,trainLoss,trainRMSE-avg
0,401102.28,633.33
10,256692.69,506.6
20,233175.27,482.86
30,213217.28,461.73
40,196401.6,443.15
50,183484.58,428.33
60,174243.83,417.41
70,168939.5,411.01
80,163606.52,404.48
90,158759.81,398.44
100,157453.89,396.8
110,152529.38,390.54
120,146480.31,382.71
130,143323.75,378.57
140,139121.98,372.97
150,133956.03,365.98
160,130716.74,361.53
170,127203.87,356.63
180,123051.29,350.75
190,120843.59,347.59
200,118911.39,344.8
210,117180.87,342.28
220,115428.86,339.71
230,113664.086,337.1
240,111624.93,334.06
250,110188.54,331.91
260,109270.43,330.52
270,108892.12,329.94
280,107596.82,327.98
290,106806.02,326.76
300,105186.98,324.28
310,104568.484,323.33
320,104108.28,322.61
330,105571.54,324.87
340,102404.914,319.96
350,101342.44,318.29
360,100680.625,317.24
370,100296.18,316.64
380,100193.305,316.47
390,99345.65,315.13
400,98262.125,313.4
410,98258.17,313.38
420,99095.58,314.73
430,97493.89,312.15
440,97606.5,312.36
450,97193.734,311.7
460,96117.14,309.96
470,94847.17,307.9
480,93774.63,306.12
490,94243.16,306.92
500,93436.96,305.55
510,93091.984,305.02
520,93604.63,305.86
530,92879.945,304.66
540,94856.82,307.93
550,92208.78,303.55
560,91721.83,302.75
570,94352.6,307.08
580,90782.44,301.13
590,89833.97,299.62
600,90313.15,300.37
610,91249.305,301.93
620,90345.62,300.42
630,92277.79,303.68
640,91056.82,301.56
650,89768.164,299.47
660,90269.06,300.37
670,88859.914,297.95
680,89375.63,298.83
690,88468.56,297.29
700,89808.01,299.58
710,98686.28,313.88
720,90232.3,300.23
730,87827.09,296.16
740,87906.64,296.34
750,88397.16,297.11
760,89443.984,298.97
770,87141.15,295.04
780,89170.42,298.32
790,88221.11,296.86
800,94133.54,306.37
810,87309.04,295.3
820,86213.31,293.41
830,86820.07,294.4
840,85525.47,292.17
850,89828.01,299.57
860,85814.516,292.68
870,85277.195,291.85
880,84176.79,289.92
890,85222.54,291.78
900,83645.67,289.0
910,85705.54,292.46
920,84913.87,291.2
930,84346.375,290.22
940,84228.586,290.01
950,84290.27,290.09
960,85118.54,291.6
970,84191.15,289.83
980,82727.82,287.43
990,82763.07,287.39
